年份,地市级公共图书馆机构数,地市级公共图书馆从业人员数,地市级公共图书馆总藏量,地市级公共图书馆当年购买的报刊种类数,地市级公共图书馆累计发放有效借书证数,地市级公共图书馆流通人次,地市级公共图书馆书刊文献外借人次,地市级公共图书馆书刊外借册数,地市级公共图书馆组织各类讲座次数,地市级公共图书馆举办展览数,地市级公共图书馆举办培训班数,地市级公共图书馆计算机台数,地市级公共图书馆电子阅览室终端数,地市级公共图书馆阅览室座席
2019,379,15100,29084,30.6,3132.2879,27527,7905,19044,26791,7827,19869,52738,31119,32.4
2018,376,15251,27359,31.9,2735.0,25383,8007,17955,23514,7500,18649,52166,31598,30.0
2017,373,15366,25649.334,33.399,2425.4845,22982.367,8059.242,17554.045,21495,6471,14510,50869,31058,28.2977
2016,369,15070,24106.076,32.8598,2123.1847,20053.521,7394.747,16030.571,19174,5288,10707,48332,28870,26.1422
2015,365,14453,22226.683,31.0311,2642.5113,17425.184,6811.165,14544.798,15970,4536,9352,46119,26439,22.83
2014,361,14131,20736.032,30.0103,1428.524,15712.438,7084.605,13192.134,14714,3923,7988,44248,24005,20.9001
2013,360,14183,19501,28.61,1010.0,14615,6054,11878,13280,3371,6104,41929,22369,20.02
2012,354,13855,21120.926,27.2758,859.5866,13238.076,5453.136,10448.17,12027,2830,5671,37436,18046,17.9077
2011,343,13858,18434.567,25.3926,739.1934,12389.292,4593.755,8666.414,9280,2356,8344,33421,16266,16.0649
2010,334,14010,16104.5,,668.0291,10761,4543.3,8827.7,,,,30430,15464,
2009,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,
