省份编码,省份,年份,地面观测业务站点个数(个),高空探测业务站点个数(个),自动气象站站点个数(个),天气雷达观测业务站点个数(个),大气成分观测业务站点个数(个),农业气象观测业务站点个数(个),生态与农业气象试验业务站点个数(个),大气本底站站点个数(个),海洋气象台站站点个数(个),闪电定位监测业务站点个数(个),太阳辐射观测业务站点个数(个),沙尘暴监测业务站点个数(个),紫外线观测业务站点个数(个),酸雨观测业务站点个数(个),臭氧观测业务站点个数(个),卫星云图接收业务站点个数(个)
110000,北京市,2019,54,1,489,6,,7,44,,,1,,,,,,1
110000,北京市,2018,55,1,398,6,,7,34,,,1,,,,,,1
110000,北京市,2017,20,1,348,1,,7,21,,,1,,,,,,3
110000,北京市,2016,20,1,348,1,,7,23,,,1,,,,,,3
110000,北京市,2015,20,1,347,1,,7,34,,,1,,,,,,3
110000,北京市,2014,20,1,315,1,,7,20,,,1,,,,,,3
110000,北京市,2013,20,1,299,1,,7,6,,,1,,,,,,3
110000,北京市,2012,20,1,275,2,,7,13,,,1,,,,,,3
110000,北京市,2011,20,1,212,3,1,7,,1,,1,1,1,3,3,5,3
110000,北京市,2010,20,1,212,4,1,7,,1,,4,1,1,,3,,3
110000,北京市,2009,20,1,221,3,2,7,,1,,4,1,9,4,3,,3
110000,北京市,2008,20,1,186,3,1,7,,1,,2,1,9,1,3,,2
110000,北京市,2007,20,1,161,2,1,7,,1,,2,1,1,1,3,,2
110000,北京市,2006,21,1,106,2,3,7,,1,,1,1,1,2,3,2,4
110000,北京市,2005,21,1,85,2,1,7,,1,,5,1,1,3,3,1,4
110000,北京市,2004,,,,,,,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,,,,,,
120000,天津市,2019,54,,257,3,,5,23,,,4,,,,,,2
120000,天津市,2018,54,,256,3,,5,16,,,4,,,,,,2
120000,天津市,2017,13,,261,1,,5,14,,,4,,,,,,2
120000,天津市,2016,13,,261,1,,5,4,,,4,,,,,,2
120000,天津市,2015,13,,261,1,,5,4,,,4,,,,,,2
120000,天津市,2014,13,,248,1,,5,4,,,1,,,,,,2
120000,天津市,2013,14,,255,1,,5,4,,,1,,,,,,2
120000,天津市,2012,14,,228,1,,5,4,,,1,,,,,,2
120000,天津市,2011,14,,225,1,,5,,,1,1,1,1,,3,,2
120000,天津市,2010,14,,227,1,,5,,,3,4,1,1,1,3,,2
120000,天津市,2009,14,,247,1,,5,,,2,1,1,1,,3,,3
120000,天津市,2008,14,,240,1,,5,,,,,1,2,1,1,,5
120000,天津市,2007,14,,220,1,,5,,,,,1,1,1,1,,5
120000,天津市,2006,14,,210,1,,7,,,,3,1,1,1,1,,3
120000,天津市,2005,14,,18,1,,7,,,,3,1,1,1,1,,3
120000,天津市,2004,,,,,,,,,,,,,,,,
120000,天津市,2003,,,,,,,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,,,,,,,
130000,河北省,2019,411,3,2761,12,,30,58,,,11,,,,,,8
130000,河北省,2018,411,3,2847,6,,30,34,,,11,,,,,,8
130000,河北省,2017,142,3,2888,5,,30,35,,,11,,,,,,7
130000,河北省,2016,142,3,2888,5,,30,34,,,11,,,,,,7
130000,河北省,2015,142,3,2887,5,,30,35,,,11,,,,,,6
130000,河北省,2014,142,3,2860,5,,30,35,,,11,,,,,,6
130000,河北省,2013,142,3,2773,4,,30,22,,,11,,,,,,6
130000,河北省,2012,142,3,2650,5,,30,32,,,11,,,,,,6
130000,河北省,2011,142,3,1673,5,1,30,,,2,11,1,1,10,5,,6
130000,河北省,2010,142,3,1682,12,1,30,,,7,23,1,1,5,5,,6
130000,河北省,2009,142,2,1805,11,1,30,,,4,24,2,7,1,5,,7
130000,河北省,2008,144,3,1767,11,1,30,,,,27,1,8,1,5,,8
130000,河北省,2007,144,3,1606,11,,30,,,,16,1,2,,5,,7
130000,河北省,2006,142,3,1444,11,,121,,,,22,1,2,,5,,7
130000,河北省,2005,142,3,794,11,1,121,,,,12,1,2,,5,,7
130000,河北省,2004,,,,,,,,,,,,,,,,
130000,河北省,2003,,,,,,,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,,,,,,,
140000,山西省,2019,262,1,1570,7,,31,52,,,7,,,,,,17
140000,山西省,2018,262,1,1571,7,,31,46,,,7,,,,,,15
140000,山西省,2017,109,1,1727,9,,31,34,,,7,,,,,,14
140000,山西省,2016,109,1,1727,9,,31,34,,,7,,,,,,14
140000,山西省,2015,109,1,1737,9,,31,16,,,7,,,,,,13
140000,山西省,2014,109,1,1740,8,,31,16,,,7,,,,,,13
140000,山西省,2013,109,1,1651,8,,31,16,,,7,,,,,,13
140000,山西省,2012,109,1,1516,8,,31,16,,,7,,,,,,13
140000,山西省,2011,109,1,1128,8,1,31,,,,7,3,2,2,5,,13
140000,山西省,2010,109,1,875,10,1,31,,,,7,3,2,1,5,,13
140000,山西省,2009,109,1,774,10,1,31,,,,8,3,12,1,5,,13
140000,山西省,2008,109,1,780,15,1,31,,,,8,3,11,5,2,1,18
140000,山西省,2007,109,1,616,14,1,31,,,,8,3,2,1,5,,18
