省份编码,省份,年份,规模以上工业企业R&D人员全时当量(人年),规模以上工业企业R&D经费(万元),规模以上工业企业R&D项目数(项)
110000,北京市,2019,44241,2851858.7,7671
110000,北京市,2018,46929,2740102.7,7039
110000,北京市,2017,52719,2690851.2,7904
110000,北京市,2016,51143,2548433.3,7262
110000,北京市,2015,50773,2440874.5,7554
110000,北京市,2014,57760.6,2335010.1,9010
110000,北京市,2013,58036.1,2130617.5,10037
110000,北京市,2012,53509.8,1973442.3,8226
110000,北京市,2011,49829.1,1648537.8,7048
110000,北京市,2010,,,
110000,北京市,2009,41546,1137030.0,7494
110000,北京市,2008,43209,1010862.0,10320
110000,北京市,2007,,,
110000,北京市,2006,,,
110000,北京市,2005,,,
110000,北京市,2004,29998,602546.0,3409
110000,北京市,2003,,,
110000,北京市,2002,,,
110000,北京市,2001,,,
110000,北京市,2000,,,
120000,天津市,2019,45685,2134320.2,10825
120000,天津市,2018,53280,2528761.0,11440
120000,天津市,2017,57881,2411417.7,13456
120000,天津市,2016,78336,3499550.5,12019
120000,天津市,2015,84291,3526665.1,11393
120000,天津市,2014,79014.4,3228056.5,15055
120000,天津市,2013,68174.8,3000377.2,12904
120000,天津市,2012,60681.4,2558684.6,12062
120000,天津市,2011,47827.5,2107771.6,10515
120000,天津市,2010,,,
120000,天津市,2009,30074,1238392.0,7609
120000,天津市,2008,28340,1082657.0,6626
120000,天津市,2007,,,
120000,天津市,2006,,,
120000,天津市,2005,,,
120000,天津市,2004,12124,284454.0,1565
120000,天津市,2003,,,
120000,天津市,2002,,,
120000,天津市,2001,,,
120000,天津市,2000,,,
130000,河北省,2019,76096,4385826.3,13340
130000,河北省,2018,68956,3819915.7,9921
130000,河北省,2017,79135,3509683.7,11295
130000,河北省,2016,82971,3086607.6,9533
130000,河北省,2015,79452,2858050.6,8358
130000,河北省,2014,75141.7,2606711.3,8714
130000,河北省,2013,65048.5,2327418.3,7618
130000,河北省,2012,55979.2,1980850.3,7574
130000,河北省,2011,51498.4,1586188.6,6055
130000,河北省,2010,,,
130000,河北省,2009,36418,933016.0,4445
130000,河北省,2008,27259,766113.0,3813
130000,河北省,2007,,,
130000,河北省,2006,,,
130000,河北省,2005,,,
130000,河北省,2004,19451,260405.0,1744
130000,河北省,2003,,,
130000,河北省,2002,,,
130000,河北省,2001,,,
130000,河北省,2000,,,
140000,山西省,2019,27478,1380812.7,3826
140000,山西省,2018,27228,1312531.1,3243
140000,山西省,2017,31757,1122322.9,3454
140000,山西省,2016,29450,976282.5,2471
140000,山西省,2015,28927,1008949.7,2232
140000,山西省,2014,35774.8,1247027.3,2726
140000,山西省,2013,34023.6,1237697.8,2885
140000,山西省,2012,31541.6,1069589.7,2795
140000,山西省,2011,32475.9,895890.9,2348
140000,山西省,2010,,,
140000,山西省,2009,32703,603934.0,2044
140000,山西省,2008,31412,488855.0,1473
140000,山西省,2007,,,
140000,山西省,2006,,,
140000,山西省,2005,,,
140000,山西省,2004,9384,165503.0,782
140000,山西省,2003,,,
140000,山西省,2002,,,
140000,山西省,2001,,,
140000,山西省,2000,,,
150000,内蒙古自治区,2019,15001,1183624.6,2283
150000,内蒙古自治区,2018,15777,1033594.4,2318
150000,内蒙古自治区,2017,23243,1082639.6,2353
150000,内蒙古自治区,2016,30126,1279853.0,2260
150000,内蒙古自治区,2015,29190,1186260.5,1801
150000,内蒙古自治区,2014,27067.8,1080287.4,2265
150000,内蒙古自治区,2013,26989.6,1004405.6,2133
150000,内蒙古自治区,2012,21508.8,858476.8,1857
150000,内蒙古自治区,2011,17644.8,701634.5,1320
150000,内蒙古自治区,2010,,,
150000,内蒙古自治区,2009,12307,390612.0,898
150000,内蒙古自治区,2008,11752,291985.0,688
150000,内蒙古自治区,2007,,,
150000,内蒙古自治区,2006,,,
150000,内蒙古自治区,2005,,,
150000,内蒙古自治区,2004,5579,49782.0,232
150000,内蒙古自治区,2003,,,
150000,内蒙古自治区,2002,,,
150000,内蒙古自治区,2001,,,
150000,内蒙古自治区,2000,,,
210000,辽宁省,2019,52104,3102481.8,10370
210000,辽宁省,2018,53133,3006013.9,9225
210000,辽宁省,2017,49463,2749477.3,8533
210000,辽宁省,2016,49254,2420636.6,6399
210000,辽宁省,2015,49097,2418802.6,5422
210000,辽宁省,2014,63374.2,3242303.4,8608
210000,辽宁省,2013,59090,3331302.6,7813
210000,辽宁省,2012,52063.5,2894568.8,7710
210000,辽宁省,2011,47513.2,2747062.6,6799
210000,辽宁省,2010,,,
210000,辽宁省,2009,48112,1654323.0,7472
210000,辽宁省,2008,45568,1378167.0,5931
210000,辽宁省,2007,,,
210000,辽宁省,2006,,,
210000,辽宁省,2005,,,
210000,辽宁省,2004,32436,759634.0,2565
210000,辽宁省,2003,,,
210000,辽宁省,2002,,,
210000,辽宁省,2001,,,
210000,辽宁省,2000,,,
220000,吉林省,2019,11849,684086.4,2049
220000,吉林省,2018,11124,575014.9,1715
220000,吉林省,2017,21056,749958.4,2439
220000,吉林省,2016,23469,908602.3,2253
220000,吉林省,2015,23202,861540.5,2014
220000,吉林省,2014,24394.5,789431.0,2264
220000,吉林省,2013,23708.9,698136.0,6421
220000,吉林省,2012,24364.6,604325.7,1990
220000,吉林省,2011,17883.8,488722.8,1885
220000,吉林省,2010,,,
220000,吉林省,2009,14671,329615.0,1597
220000,吉林省,2008,9470,267007.0,1079
220000,吉林省,2007,,,
220000,吉林省,2006,,,
220000,吉林省,2005,,,
220000,吉林省,2004,5074,124848.0,541
220000,吉林省,2003,,,
220000,吉林省,2002,,,
220000,吉林省,2001,,,
220000,吉林省,2000,,,
230000,黑龙江省,2019,15054,714862.2,2920
230000,黑龙江省,2018,13110,605680.1,2631
230000,黑龙江省,2017,24046,825853.8,3826
230000,黑龙江省,2016,32219,884925.1,3068
230000,黑龙江省,2015,31762,880392.4,3080
230000,黑龙江省,2014,37509.1,955820.4,4324
230000,黑龙江省,2013,37295.6,950335.3,4307
230000,黑龙江省,2012,36255.8,906170.1,4231
230000,黑龙江省,2011,39661,838042.3,4343
230000,黑龙江省,2010,,,
230000,黑龙江省,2009,27658,627240.0,3968
230000,黑龙江省,2008,28283,505877.0,3107
230000,黑龙江省,2007,,,
230000,黑龙江省,2006,,,
230000,黑龙江省,2005,,,
230000,黑龙江省,2004,21775,196428.0,2590
230000,黑龙江省,2003,,,
230000,黑龙江省,2002,,,
230000,黑龙江省,2001,,,
230000,黑龙江省,2000,,,
310000,上海市,2019,80694,5906504.0,13636
310000,上海市,2018,88016,5548768.1,12442
310000,上海市,2017,88967,5399952.8,12557
310000,上海市,2016,98671,4900778.0,10909
310000,上海市,2015,94981,4742443.3,11089
310000,上海市,2014,93867.9,4492192.0,13821
310000,上海市,2013,92136.4,4047800.2,13441
310000,上海市,2012,82354.8,3715074.5,12833
310000,上海市,2011,79146.7,3437626.6,12378
310000,上海市,2010,,,
310000,上海市,2009,67420,2365150.0,9667
310000,上海市,2008,43815,2005734.0,6998
310000,上海市,2007,,,
310000,上海市,2006,,,
310000,上海市,2005,,,
310000,上海市,2004,21854,927730.0,3007
310000,上海市,2003,,,
310000,上海市,2002,,,
310000,上海市,2001,,,
310000,上海市,2000,,,
320000,江苏省,2019,508375,22061580.8,95240
320000,江苏省,2018,455530,20245195.4,72426
320000,江苏省,2017,455468,18338831.7,67205
320000,江苏省,2016,451885,16575417.9,59535
320000,江苏省,2015,441304,15065065.2,51720
320000,江苏省,2014,422864.5,13765378.2,53117
320000,江苏省,2013,393942.1,12395745.4,48530
320000,江苏省,2012,342262.4,10803107.2,44570
320000,江苏省,2011,287447.1,8998943.5,31933
320000,江苏省,2010,,,
320000,江苏省,2009,222625,5707105.0,27454
320000,江苏省,2008,155781,4808289.0,17944
320000,江苏省,2007,,,
320000,江苏省,2006,,,
