省份编码,省份,年份,省级监督抽查产品种类(种),省级监督抽查企业(家),省级监督抽查产品批次(批),省级监督抽查不合格产品批次(批)
110000,北京市,2019,,3952,7261,841
110000,北京市,2018,,2125,1627,95
110000,北京市,2017,,1387,1812,86
110000,北京市,2016,,1707,2185,165
110000,北京市,2015,,1910,2162,196
110000,北京市,2014,119,2081,2341,183
110000,北京市,2013,134,2528,2742,275
110000,北京市,2012,222,6051,6364,505
110000,北京市,2011,167,4133,6370,591
110000,北京市,2010,136,4497,5686,492
110000,北京市,2009,165,6129,7076,570
110000,北京市,2008,73,1194,1526,57
110000,北京市,2007,,,,
110000,北京市,2006,,,,
110000,北京市,2005,,,,
110000,北京市,2004,,,,
110000,北京市,2003,,,,
110000,北京市,2002,,,,
110000,北京市,2001,,,,
110000,北京市,2000,,,,
120000,天津市,2019,,2245,6424,176
120000,天津市,2018,,1032,1127,20
120000,天津市,2017,,773,943,13
120000,天津市,2016,,1634,2016,28
120000,天津市,2015,,1709,1968,31
120000,天津市,2014,97,2237,2609,51
120000,天津市,2013,79,2121,2243,51
120000,天津市,2012,54,2940,3295,152
120000,天津市,2011,40,2331,4132,159
120000,天津市,2010,41,1624,4050,320
120000,天津市,2009,51,1764,2038,463
120000,天津市,2008,45,890,1252,261
120000,天津市,2007,,,,
120000,天津市,2006,,,,
120000,天津市,2005,,,,
120000,天津市,2004,,,,
120000,天津市,2003,,,,
120000,天津市,2002,,,,
120000,天津市,2001,,,,
120000,天津市,2000,,,,
130000,河北省,2019,,5995,8452,650
130000,河北省,2018,,6841,9227,288
130000,河北省,2017,,4698,5161,211
130000,河北省,2016,,4879,5466,260
130000,河北省,2015,,3247,3560,257
130000,河北省,2014,76,4144,4583,515
130000,河北省,2013,66,2773,3024,346
130000,河北省,2012,79,3278,3578,439
130000,河北省,2011,86,5946,6859,1201
130000,河北省,2010,61,4523,5049,701
130000,河北省,2009,61,2945,3254,943
130000,河北省,2008,24,1488,1674,265
130000,河北省,2007,,,,
130000,河北省,2006,,,,
130000,河北省,2005,,,,
130000,河北省,2004,,,,
130000,河北省,2003,,,,
130000,河北省,2002,,,,
130000,河北省,2001,,,,
130000,河北省,2000,,,,
140000,山西省,2019,,8039,11480,716
140000,山西省,2018,,7350,10554,560
140000,山西省,2017,,2317,3380,68
140000,山西省,2016,,3243,5703,168
140000,山西省,2015,,3974,6148,210
140000,山西省,2014,135,3924,5702,98
140000,山西省,2013,58,2149,2840,88
140000,山西省,2012,65,3961,6580,519
140000,山西省,2011,61,3662,5680,481
140000,山西省,2010,62,2881,2986,375
140000,山西省,2009,61,1858,1858,523
140000,山西省,2008,52,914,1201,194
140000,山西省,2007,,,,
140000,山西省,2006,,,,
140000,山西省,2005,,,,
140000,山西省,2004,,,,
140000,山西省,2003,,,,
140000,山西省,2002,,,,
140000,山西省,2001,,,,
140000,山西省,2000,,,,
150000,内蒙古自治区,2019,,4086,6119,692
150000,内蒙古自治区,2018,,1879,3076,219
150000,内蒙古自治区,2017,,2173,3546,163
150000,内蒙古自治区,2016,,3050,4761,333
150000,内蒙古自治区,2015,,1801,2645,179
150000,内蒙古自治区,2014,46,1152,1513,152
150000,内蒙古自治区,2013,82,2127,2736,305
150000,内蒙古自治区,2012,135,2945,3656,350
150000,内蒙古自治区,2011,85,2822,3442,339
150000,内蒙古自治区,2010,132,2761,3275,508
150000,内蒙古自治区,2009,76,2334,2917,397
150000,内蒙古自治区,2008,72,2496,3196,476
150000,内蒙古自治区,2007,,,,
150000,内蒙古自治区,2006,,,,
150000,内蒙古自治区,2005,,,,
150000,内蒙古自治区,2004,,,,
150000,内蒙古自治区,2003,,,,
150000,内蒙古自治区,2002,,,,
150000,内蒙古自治区,2001,,,,
150000,内蒙古自治区,2000,,,,
210000,辽宁省,2019,,3234,4273,381
210000,辽宁省,2018,,6991,8222,284
210000,辽宁省,2017,,2933,3658,178
210000,辽宁省,2016,,2931,3631,204
210000,辽宁省,2015,,2749,3426,206
210000,辽宁省,2014,73,2921,3470,278
210000,辽宁省,2013,69,2576,2933,258
210000,辽宁省,2012,64,2530,2906,281
210000,辽宁省,2011,67,2478,2760,215
210000,辽宁省,2010,66,2303,2589,282
210000,辽宁省,2009,93,3458,3782,515
210000,辽宁省,2008,88,2616,2795,480
210000,辽宁省,2007,,,,
210000,辽宁省,2006,,,,
210000,辽宁省,2005,,,,
210000,辽宁省,2004,,,,
210000,辽宁省,2003,,,,
210000,辽宁省,2002,,,,
210000,辽宁省,2001,,,,
210000,辽宁省,2000,,,,
220000,吉林省,2019,,628,670,14
220000,吉林省,2018,,1488,807,25
220000,吉林省,2017,,651,690,16
220000,吉林省,2016,,600,654,11
220000,吉林省,2015,,485,570,7
220000,吉林省,2014,30,563,625,31
220000,吉林省,2013,35,664,725,35
220000,吉林省,2012,35,668,755,74
220000,吉林省,2011,28,598,625,29
220000,吉林省,2010,34,735,775,96
220000,吉林省,2009,57,1177,1254,156
220000,吉林省,2008,50,820,892,121
220000,吉林省,2007,,,,
220000,吉林省,2006,,,,
220000,吉林省,2005,,,,
220000,吉林省,2004,,,,
220000,吉林省,2003,,,,
220000,吉林省,2002,,,,
220000,吉林省,2001,,,,
220000,吉林省,2000,,,,
230000,黑龙江省,2019,,2259,3202,345
230000,黑龙江省,2018,,3182,4647,216
230000,黑龙江省,2017,,123,182,2
230000,黑龙江省,2016,,,,
230000,黑龙江省,2015,,,,
230000,黑龙江省,2014,,,,
230000,黑龙江省,2013,,,,
230000,黑龙江省,2012,27,1810,2584,95
230000,黑龙江省,2011,354,663,5681,227
230000,黑龙江省,2010,184,919,1974,147
230000,黑龙江省,2009,12,1323,1921,171
230000,黑龙江省,2008,5,114,216,36
230000,黑龙江省,2007,,,,
230000,黑龙江省,2006,,,,
230000,黑龙江省,2005,,,,
230000,黑龙江省,2004,,,,
230000,黑龙江省,2003,,,,
230000,黑龙江省,2002,,,,
230000,黑龙江省,2001,,,,
230000,黑龙江省,2000,,,,
310000,上海市,2019,,7595,8433,1238
310000,上海市,2018,,5726,6942,670
310000,上海市,2017,,4121,5451,528
310000,上海市,2016,,4723,6408,582
310000,上海市,2015,,4218,5371,573
310000,上海市,2014,202,4453,6241,621
310000,上海市,2013,211,4760,6054,507
310000,上海市,2012,243,6464,9802,848
310000,上海市,2011,219,5737,6659,728
310000,上海市,2010,219,6323,7457,682
310000,上海市,2009,159,7167,8466,1064
310000,上海市,2008,158,7066,9157,1335
310000,上海市,2007,,,,
310000,上海市,2006,,,,
310000,上海市,2005,,,,
310000,上海市,2004,,,,
310000,上海市,2003,,,,
310000,上海市,2002,,,,
310000,上海市,2001,,,,
310000,上海市,2000,,,,
320000,江苏省,2019,,7306,7306,472
320000,江苏省,2018,,9785,7964,796
320000,江苏省,2017,,12412,12412,1655
320000,江苏省,2016,,4839,4839,289
320000,江苏省,2015,,4882,4882,242
320000,江苏省,2014,173,10745,10745,574
320000,江苏省,2013,314,19523,19523,664
320000,江苏省,2012,374,26144,33632,797
320000,江苏省,2011,308,25989,33507,1074
320000,江苏省,2010,339,28520,28520,1353
320000,江苏省,2009,365,29017,29017,2158
320000,江苏省,2008,311,24615,24615,1696
320000,江苏省,2007,,,,
320000,江苏省,2006,,,,
320000,江苏省,2005,,,,
320000,江苏省,2004,,,,
320000,江苏省,2003,,,,
320000,江苏省,2002,,,,
320000,江苏省,2001,,,,
320000,江苏省,2000,,,,
330000,浙江省,2019,,17048,18127,839
330000,浙江省,2018,,13994,13995,654
330000,浙江省,2017,,4870,4870,334
330000,浙江省,2016,,5327,5327,290
330000,浙江省,2015,,5477,5477,309
330000,浙江省,2014,195,4823,4823,336
330000,浙江省,2013,414,19644,19644,1170
330000,浙江省,2012,246,5442,5442,422
330000,浙江省,2011,474,26593,26615,1731
330000,浙江省,2010,475,27948,27951,2021
330000,浙江省,2009,462,28617,28628,2529
330000,浙江省,2008,465,30021,30219,3069
330000,浙江省,2007,,,,
330000,浙江省,2006,,,,
330000,浙江省,2005,,,,
330000,浙江省,2004,,,,
330000,浙江省,2003,,,,
330000,浙江省,2002,,,,
330000,浙江省,2001,,,,
330000,浙江省,2000,,,,
340000,安徽省,2019,,4036,4563,499
340000,安徽省,2018,,6311,8410,346
340000,安徽省,2017,,3013,3213,145
340000,安徽省,2016,,2527,2812,117
340000,安徽省,2015,,2291,2670,112
340000,安徽省,2014,88,2828,3100,153
340000,安徽省,2013,74,10079,12376,890
340000,安徽省,2012,82,2995,3641,426
340000,安徽省,2011,126,8837,15012,846
340000,安徽省,2010,105,3500,4382,445
340000,安徽省,2009,162,9482,14158,1769
340000,安徽省,2008,81,2508,2700,709
340000,安徽省,2007,,,,
340000,安徽省,2006,,,,
340000,安徽省,2005,,,,
340000,安徽省,2004,,,,
340000,安徽省,2003,,,,
340000,安徽省,2002,,,,
340000,安徽省,2001,,,,
340000,安徽省,2000,,,,
350000,福建省,2019,,3762,5644,232
350000,福建省,2018,,4663,7144,378
350000,福建省,2017,,4742,6315,232
350000,福建省,2016,,5749,8631,295
350000,福建省,2015,,5313,8401,365
350000,福建省,2014,205,4995,7013,473
350000,福建省,2013,189,5134,7006,477
350000,福建省,2012,198,10493,15930,626
350000,福建省,2011,158,7175,8019,333
350000,福建省,2010,71,3759,3812,118
350000,福建省,2009,121,4968,5786,589
350000,福建省,2008,86,3009,3015,470
350000,福建省,2007,,,,
350000,福建省,2006,,,,
350000,福建省,2005,,,,
350000,福建省,2004,,,,
350000,福建省,2003,,,,
350000,福建省,2002,,,,
350000,福建省,2001,,,,
350000,福建省,2000,,,,
360000,江西省,2019,,13,458,10
360000,江西省,2018,,6358,6626,579
360000,江西省,2017,,1559,1791,139
360000,江西省,2016,,2089,2140,132
360000,江西省,2015,,1600,1679,146
360000,江西省,2014,56,1631,1783,204
360000,江西省,2013,47,1364,1472,200
360000,江西省,2012,41,1251,1341,129
360000,江西省,2011,54,1810,1989,302
360000,江西省,2010,58,2318,2626,2129
360000,江西省,2009,104,4951,5397,902
360000,江西省,2008,67,2747,3080,673
360000,江西省,2007,,,,
360000,江西省,2006,,,,
360000,江西省,2005,,,,
360000,江西省,2004,,,,
360000,江西省,2003,,,,
360000,江西省,2002,,,,
360000,江西省,2001,,,,
360000,江西省,2000,,,,
370000,山东省,2019,,4588,5985,432
370000,山东省,2018,,3590,3713,174
370000,山东省,2017,,2428,2503,116
370000,山东省,2016,,4491,4838,220
370000,山东省,2015,,6617,7274,421
370000,山东省,2014,136,4062,4383,383
370000,山东省,2013,80,2359,2819,465
370000,山东省,2012,77,9136,11464,1191
370000,山东省,2011,85,9746,11907,1322
370000,山东省,2010,98,9762,13126,1685
370000,山东省,2009,53,3442,3474,621
370000,山东省,2008,69,2637,2857,442
370000,山东省,2007,,,,
370000,山东省,2006,,,,
370000,山东省,2005,,,,
370000,山东省,2004,,,,
370000,山东省,2003,,,,
370000,山东省,2002,,,,
370000,山东省,2001,,,,
370000,山东省,2000,,,,
410000,河南省,2019,,6813,7555,493
410000,河南省,2018,,6813,11523,370
410000,河南省,2017,,6767,10683,501
410000,河南省,2016,,6015,9644,311
410000,河南省,2015,,6530,10020,432
410000,河南省,2014,99,3432,5647,312
410000,河南省,2013,49,1048,1662,72
410000,河南省,2012,101,9336,15683,806
410000,河南省,2011,101,19481,26964,1728
410000,河南省,2010,57,12870,16209,1465
410000,河南省,2009,10,4582,5542,1025
410000,河南省,2008,86,5006,6355,1001
410000,河南省,2007,,,,
410000,河南省,2006,,,,
410000,河南省,2005,,,,
410000,河南省,2004,,,,
410000,河南省,2003,,,,
410000,河南省,2002,,,,
410000,河南省,2001,,,,
410000,河南省,2000,,,,
420000,湖北省,2019,,436,755,30
420000,湖北省,2018,,4600,8135,660
420000,湖北省,2017,,1822,3517,138
420000,湖北省,2016,,2108,3935,185
420000,湖北省,2015,,2478,4797,293
420000,湖北省,2014,52,3403,6429,495
420000,湖北省,2013,41,3120,5679,316
420000,湖北省,2012,76,4421,6617,388
420000,湖北省,2011,74,4153,6270,563
420000,湖北省,2010,84,5180,6994,1030
420000,湖北省,2009,58,4907,6298,1491
420000,湖北省,2008,44,4739,6456,741
420000,湖北省,2007,,,,
420000,湖北省,2006,,,,
420000,湖北省,2005,,,,
420000,湖北省,2004,,,,
420000,湖北省,2003,,,,
420000,湖北省,2002,,,,
420000,湖北省,2001,,,,
420000,湖北省,2000,,,,
430000,湖南省,2019,,7107,15326,2155
430000,湖南省,2018,,7065,13951,1734
430000,湖南省,2017,,3829,7384,436
430000,湖南省,2016,,3646,7268,319
430000,湖南省,2015,,4936,10342,567
430000,湖南省,2014,104,4593,9971,653
430000,湖南省,2013,85,6363,9236,993
430000,湖南省,2012,99,19112,36781,3081
430000,湖南省,2011,85,19225,31549,2950
430000,湖南省,2010,122,13795,52011,8822
430000,湖南省,2009,1932,33644,41501,3437
430000,湖南省,2008,80,2420,2663,1089
430000,湖南省,2007,,,,
430000,湖南省,2006,,,,
430000,湖南省,2005,,,,
430000,湖南省,2004,,,,
430000,湖南省,2003,,,,
430000,湖南省,2002,,,,
430000,湖南省,2001,,,,
430000,湖南省,2000,,,,
440000,广东省,2019,,11905,16179,2733
440000,广东省,2018,,16660,24383,1885
440000,广东省,2017,,7132,9156,1278
440000,广东省,2016,,7134,10771,1374
440000,广东省,2015,,4376,6535,694
440000,广东省,2014,118,4593,5923,945
440000,广东省,2013,75,4114,5439,1019
440000,广东省,2012,120,8191,10204,1687
440000,广东省,2011,67,3944,5189,1135
440000,广东省,2010,64,4594,5945,1300
440000,广东省,2009,80,6693,8358,2183
440000,广东省,2008,75,39240,53998,6354
440000,广东省,2007,,,,
440000,广东省,2006,,,,
440000,广东省,2005,,,,
440000,广东省,2004,,,,
440000,广东省,2003,,,,
440000,广东省,2002,,,,
440000,广东省,2001,,,,
440000,广东省,2000,,,,
450000,广西壮族自治区,2019,,3412,3994,398
450000,广西壮族自治区,2018,,1749,3075,123
450000,广西壮族自治区,2017,,1262,1965,95
450000,广西壮族自治区,2016,,479,1838,146
450000,广西壮族自治区,2015,,1196,1611,131
450000,广西壮族自治区,2014,35,1422,1881,163
450000,广西壮族自治区,2013,32,1203,1449,141
450000,广西壮族自治区,2012,141,3114,3496,429
450000,广西壮族自治区,2011,50,1809,1951,207
450000,广西壮族自治区,2010,38,1842,2097,293
450000,广西壮族自治区,2009,11,774,868,210
450000,广西壮族自治区,2008,13,1074,1074,93
450000,广西壮族自治区,2007,,,,
450000,广西壮族自治区,2006,,,,
450000,广西壮族自治区,2005,,,,
450000,广西壮族自治区,2004,,,,
450000,广西壮族自治区,2003,,,,
450000,广西壮族自治区,2002,,,,
450000,广西壮族自治区,2001,,,,
450000,广西壮族自治区,2000,,,,
460000,海南省,2019,,746,1307,219
460000,海南省,2018,,634,581,74
460000,海南省,2017,,536,1552,106
460000,海南省,2016,,6568,16445,999
460000,海南省,2015,,373,545,22
460000,海南省,2014,17,365,497,65
460000,海南省,2013,16,393,507,74
460000,海南省,2012,24,699,1240,149
460000,海南省,2011,17,416,544,88
460000,海南省,2010,86,527,1922,683
460000,海南省,2009,28,1417,2415,523
