省份编码,省份,年份,规模以上工业企业专利申请数(件),规模以上工业企业发明专利申请数(件),规模以上工业企业有效发明专利数(件)
110000,北京市,2019,22552,11543,48656
110000,北京市,2018,20655,10386,42851
110000,北京市,2017,19653,10119,34497
110000,北京市,2016,20065,9392,28290
110000,北京市,2015,20024,10281,23749
110000,北京市,2014,19916,9835,18721
110000,北京市,2013,19210,9240,16402
110000,北京市,2012,20189,10318,14051
110000,北京市,2011,13041,6997,7342
110000,北京市,2010,,,
110000,北京市,2009,7016,3573,5168
110000,北京市,2008,7124,4256,5618
110000,北京市,2007,,,
110000,北京市,2006,,,
110000,北京市,2005,,,
110000,北京市,2004,2330,931,2367
110000,北京市,2003,,,
110000,北京市,2002,,,
110000,北京市,2001,,,
110000,北京市,2000,,,
120000,天津市,2019,15634,4676,20856
120000,天津市,2018,15051,4939,23407
120000,天津市,2017,15770,5463,22346
120000,天津市,2016,17170,7300,22021
120000,天津市,2015,16721,6507,17422
120000,天津市,2014,16832,6996,12263
120000,天津市,2013,16302,6446,10191
120000,天津市,2012,13173,5195,7341
120000,天津市,2011,11889,4410,5193
120000,天津市,2010,,,
120000,天津市,2009,7162,2782,3663
120000,天津市,2008,5227,2754,3050
120000,天津市,2007,,,
120000,天津市,2006,,,
120000,天津市,2005,,,
120000,天津市,2004,3198,2613,807
120000,天津市,2003,,,
120000,天津市,2002,,,
120000,天津市,2001,,,
120000,天津市,2000,,,
130000,河北省,2019,21570,8431,21487
130000,河北省,2018,16707,6067,18762
130000,河北省,2017,13855,4798,14750
130000,河北省,2016,13189,4120,13074
130000,河北省,2015,10396,3393,7740
130000,河北省,2014,9929,3519,4999
130000,河北省,2013,9171,3054,4049
130000,河北省,2012,7841,2631,3358
130000,河北省,2011,5771,1756,2601
130000,河北省,2010,,,
130000,河北省,2009,3190,1009,1539
130000,河北省,2008,1855,603,1058
130000,河北省,2007,,,
130000,河北省,2006,,,
130000,河北省,2005,,,
130000,河北省,2004,1205,398,638
130000,河北省,2003,,,
130000,河北省,2002,,,
130000,河北省,2001,,,
130000,河北省,2000,,,
140000,山西省,2019,6201,2543,8619
140000,山西省,2018,5423,2416,7917
140000,山西省,2017,4398,1632,6567
140000,山西省,2016,3786,1410,5350
140000,山西省,2015,3569,1303,4468
140000,山西省,2014,4723,1777,3505
140000,山西省,2013,5083,1807,3008
140000,山西省,2012,3765,1390,2345
140000,山西省,2011,2848,1104,1659
140000,山西省,2010,,,
140000,山西省,2009,1798,694,856
140000,山西省,2008,1238,401,603
140000,山西省,2007,,,
140000,山西省,2006,,,
140000,山西省,2005,,,
140000,山西省,2004,320,107,1079
140000,山西省,2003,,,
140000,山西省,2002,,,
140000,山西省,2001,,,
140000,山西省,2000,,,
150000,内蒙古自治区,2019,5064,2050,5491
150000,内蒙古自治区,2018,3769,1440,3909
150000,内蒙古自治区,2017,3796,1733,3837
150000,内蒙古自治区,2016,2970,1321,3103
150000,内蒙古自治区,2015,2585,1031,2175
150000,内蒙古自治区,2014,2269,974,1660
150000,内蒙古自治区,2013,2062,981,1444
150000,内蒙古自治区,2012,1650,770,922
150000,内蒙古自治区,2011,1250,564,467
150000,内蒙古自治区,2010,,,
150000,内蒙古自治区,2009,1050,495,422
150000,内蒙古自治区,2008,673,346,288
150000,内蒙古自治区,2007,,,
150000,内蒙古自治区,2006,,,
