省份编码,省份,年份,技术市场成交额(亿元)
110000,北京市,2019,5695.284256653
110000,北京市,2018,4957.82455942588
110000,北京市,2017,4486.8872016653
110000,北京市,2016,3940.9751787293
110000,北京市,2015,3453.8854574683
110000,北京市,2014,3137.1853967038
110000,北京市,2013,2851.7239477128
110000,北京市,2012,2458.5033615988
110000,北京市,2011,1890.2752020194
110000,北京市,2010,1579.5367215046
110000,北京市,2009,1236.2450438413
110000,北京市,2008,1027.2173087326
110000,北京市,2007,882.5602702372
110000,北京市,2006,697.325602
110000,北京市,2005,489.592195
110000,北京市,2004,424.9975
110000,北京市,2003,265.3574
110000,北京市,2002,221.1738
110000,北京市,2001,191.0065
110000,北京市,2000,140.2871
120000,天津市,2019,909.2549434733
120000,天津市,2018,685.58753952161
120000,天津市,2017,551.4410520242
120000,天津市,2016,552.63606931
120000,天津市,2015,503.4368645675
120000,天津市,2014,388.5630992063
120000,天津市,2013,276.1575081854
120000,天津市,2012,232.3275305081
120000,天津市,2011,169.3818681742
120000,天津市,2010,119.3390031931
120000,天津市,2009,105.4610926301
120000,天津市,2008,86.6121956371
120000,天津市,2007,72.3356134576
120000,天津市,2006,58.862449
120000,天津市,2005,50.709287
120000,天津市,2004,45.0276
120000,天津市,2003,42.0008
120000,天津市,2002,36.3262
120000,天津市,2001,30.6009
120000,天津市,2000,26.2581
130000,河北省,2019,381.1904428309
130000,河北省,2018,275.984006593902
130000,河北省,2017,88.9244700191
130000,河北省,2016,58.9959276982
130000,河北省,2015,39.5437700184
130000,河北省,2014,29.2228384024
130000,河北省,2013,31.5580760169
130000,河北省,2012,37.8178096708
130000,河北省,2011,26.2470760782
130000,河北省,2010,19.2930910346
130000,河北省,2009,17.2111802055
130000,河北省,2008,16.590637304
130000,河北省,2007,16.4328679907
130000,河北省,2006,15.609934
130000,河北省,2005,10.382698
130000,河北省,2004,7.2718
130000,河北省,2003,6.7969
130000,河北省,2002,6.0406
130000,河北省,2001,4.6784
130000,河北省,2000,9.4143
140000,山西省,2019,109.5226928202
140000,山西省,2018,150.756660919
140000,山西省,2017,94.1470767168
140000,山西省,2016,42.5621665296
140000,山西省,2015,51.2007135779
140000,山西省,2014,48.4595038172
140000,山西省,2013,52.768095132
140000,山西省,2012,30.6087660529
140000,山西省,2011,22.482466533
140000,山西省,2010,18.49105092
140000,山西省,2009,16.2067531815
140000,山西省,2008,12.842497156
140000,山西省,2007,8.267705693
140000,山西省,2006,5.921324
140000,山西省,2005,4.797983
140000,山西省,2004,5.996
140000,山西省,2003,3.2251
140000,山西省,2002,3.9014
140000,山西省,2001,1.4693
140000,山西省,2000,0.5258
150000,内蒙古自治区,2019,22.4792597317
150000,内蒙古自治区,2018,19.8398305648
150000,内蒙古自治区,2017,19.6086808862
150000,内蒙古自治区,2016,12.04920385
150000,内蒙古自治区,2015,15.38715165
150000,内蒙古自治区,2014,13.9393146175
150000,内蒙古自治区,2013,38.7389679545
150000,内蒙古自治区,2012,106.0961765085
150000,内蒙古自治区,2011,22.671905273
150000,内蒙古自治区,2010,27.14644417
150000,内蒙古自治区,2009,14.765146013
150000,内蒙古自治区,2008,9.44234774
150000,内蒙古自治区,2007,10.98352064
150000,内蒙古自治区,2006,10.712697
150000,内蒙古自治区,2005,10.993877
150000,内蒙古自治区,2004,10.4085
150000,内蒙古自治区,2003,10.8452
150000,内蒙古自治区,2002,5.8197
150000,内蒙古自治区,2001,6.2359
150000,内蒙古自治区,2000,6.0287
210000,辽宁省,2019,557.5904111711
210000,辽宁省,2018,474.4910340889
210000,辽宁省,2017,385.8316823333
210000,辽宁省,2016,323.2179582437
210000,辽宁省,2015,267.4926938553
210000,辽宁省,2014,217.4648017299
210000,辽宁省,2013,173.3774667582
210000,辽宁省,2012,230.664788485
210000,辽宁省,2011,159.6633204741
210000,辽宁省,2010,130.6811465306
210000,辽宁省,2009,119.7095444175
210000,辽宁省,2008,99.7290104601
210000,辽宁省,2007,92.9289533023
210000,辽宁省,2006,80.649421
210000,辽宁省,2005,86.51666
210000,辽宁省,2004,75.2817
210000,辽宁省,2003,62.02
210000,辽宁省,2002,50.8326
210000,辽宁省,2001,40.8698
210000,辽宁省,2000,34.7817
220000,吉林省,2019,474.1326884319
220000,吉林省,2018,341.9460336168
220000,吉林省,2017,219.9199464008
220000,吉林省,2016,116.4197794115
220000,吉林省,2015,26.4697101112
