省份编码,省份,年份,公有经济企事业单位专业技术人员数(人),公有经济企事业单位工程技术人员(人),公有经济企事业单位农业技术人员(人),公有经济企事业单位科学研究人员(人),公有经济企事业单位卫生技术人员(人),公有经济企事业单位教学人员(人)
110000,北京市,2019,,,,,,
110000,北京市,2018,,,,,,
110000,北京市,2017,,,,,,
110000,北京市,2016,,,,,,
110000,北京市,2015,,,,,,
110000,北京市,2014,,,,,,
110000,北京市,2013,,,,,,
110000,北京市,2012,,,,,,
110000,北京市,2011,364568,109459,4548,5744,87543,157274
110000,北京市,2010,341509,99145,4521,5205,82872,149766
110000,北京市,2009,352533,99917,4687,5304,83790,158835
110000,北京市,2008,348675,97441,4544,5226,82149,159315
110000,北京市,2007,340120,93475,4898,5227,76992,159528
110000,北京市,2006,338690,94190,4922,4261,76110,159207
110000,北京市,2005,339209,95517,5323,4832,73343,160194
110000,北京市,2004,333896,92697,5183,4331,72914,158771
110000,北京市,2003,448505,198751,6555,6570,74368,162261
110000,北京市,2002,443535,194934,5644,6093,72772,164092
110000,北京市,2001,347390,109749,4971,4053,66466,162151
110000,北京市,2000,356902,114354,5064,3974,68021,165489
120000,天津市,2019,,,,,,
120000,天津市,2018,,,,,,
120000,天津市,2017,,,,,,
120000,天津市,2016,,,,,,
120000,天津市,2015,,,,,,
120000,天津市,2014,,,,,,
120000,天津市,2013,,,,,,
120000,天津市,2012,,,,,,
120000,天津市,2011,254234,69407,2984,3548,57220,121075
120000,天津市,2010,239596,64516,2709,2421,54415,115535
120000,天津市,2009,250599,66425,3091,3145,56417,121521
120000,天津市,2008,249716,66362,2988,2846,55907,121613
120000,天津市,2007,247584,65725,3014,2636,54736,121473
120000,天津市,2006,247307,64632,2995,2548,54137,122995
120000,天津市,2005,247879,63530,3822,2570,55000,122957
120000,天津市,2004,245774,65415,2989,2540,54902,11928
120000,天津市,2003,227381,56307,2611,1716,50823,115924
120000,天津市,2002,240725,63645,2888,1958,52606,119628
120000,天津市,2001,268957,83349,2684,2178,56727,124019
120000,天津市,2000,275793,88110,2760,2305,57824,124794
130000,河北省,2019,,,,,,
130000,河北省,2018,,,,,,
130000,河北省,2017,,,,,,
130000,河北省,2016,,,,,,
130000,河北省,2015,,,,,,
130000,河北省,2014,,,,,,
130000,河北省,2013,,,,,,
130000,河北省,2012,,,,,,
130000,河北省,2011,1031070,126730,27115,3420,172677,701128
130000,河北省,2010,1015463,125593,27096,2917,163372,696485
130000,河北省,2009,1039693,127438,26778,7311,165368,712798
130000,河北省,2008,1026897,123140,25899,3470,156500,717888
130000,河北省,2007,1004636,122426,24371,3262,144729,709848
130000,河北省,2006,1004491,117702,26256,3491,145179,711863
130000,河北省,2005,994818,124277,26311,3666,141955,698609
130000,河北省,2004,979980,126256,25109,3508,138666,686441
130000,河北省,2003,981541,147308,25129,3198,132307,673599
130000,河北省,2002,974033,154490,24511,3087,124352,667593
130000,河北省,2001,955477,155957,25078,2860,123013,648569
130000,河北省,2000,931231,161423,23951,3167,122883,619807
140000,山西省,2019,,,,,,
140000,山西省,2018,,,,,,
140000,山西省,2017,,,,,,
140000,山西省,2016,,,,,,
140000,山西省,2015,,,,,,
140000,山西省,2014,,,,,,
140000,山西省,2013,,,,,,
140000,山西省,2012,,,,,,
140000,山西省,2011,738002,153618,23823,3613,122011,434937
