省份编码,省份,年份,GPS测量(点),水准测量(公里),地理信息数据生产(幅),地形图编制(幅),专题地图编制(种),地图集编制(种)
110000,北京市,2019,,,,,,
110000,北京市,2018,,,,,,
110000,北京市,2017,,,,,,
110000,北京市,2016,,,,,,
110000,北京市,2015,,,,,,
110000,北京市,2014,,,,,,
110000,北京市,2013,,,,,,
110000,北京市,2012,,,,,,
110000,北京市,2011,1664,2162,1246,,21,5
110000,北京市,2010,1586,3227,19912,,118,8
110000,北京市,2009,2461,2114,12582,3188,10,8
110000,北京市,2008,3850,2133,11389,,95,9
110000,北京市,2007,4306,1929,11662,135,59,2
110000,北京市,2006,3458,350,14829,933,136,5
110000,北京市,2005,5383,1403,24373,,16,3
110000,北京市,2004,2018,371,11053,,38,5
110000,北京市,2003,2582,512,10633,,52,1
110000,北京市,2002,3776,887,4457,121,36,4
110000,北京市,2001,2239,440,2919,110,32,39
110000,北京市,2000,,,,,,
120000,天津市,2019,,,,,,
120000,天津市,2018,,,,,,
120000,天津市,2017,,,,,,
120000,天津市,2016,,,,,,
120000,天津市,2015,,,,,,
120000,天津市,2014,,,,,,
120000,天津市,2013,,,,,,
120000,天津市,2012,,,,,,
120000,天津市,2011,,5517,25960,258,3,
120000,天津市,2010,3121,5435,29734,12676,50,
120000,天津市,2009,3012,5362,9353,508,27,1
120000,天津市,2008,2133,5790,41867,117,2,
120000,天津市,2007,1966,2612,12831,1453,26,1
120000,天津市,2006,968,4602,3405,147,9,4
120000,天津市,2005,1120,5983,4206,67,1,1
120000,天津市,2004,1319,2979,6855,58,5,
120000,天津市,2003,841,2572,6883,87,2,
120000,天津市,2002,160,2223,3763,,18,2
120000,天津市,2001,143,2197,3258,,93,
120000,天津市,2000,,,,,,
130000,河北省,2019,,,,,,
130000,河北省,2018,,,,,,
130000,河北省,2017,,,,,,
130000,河北省,2016,,,,,,
130000,河北省,2015,,,,,,
130000,河北省,2014,,,,,,
130000,河北省,2013,,,,,,
130000,河北省,2012,,,,,,
130000,河北省,2011,1750,7854,121173,,15,2
130000,河北省,2010,4468,2988,39764,,607,2
130000,河北省,2009,3473,6000,14133,41,377,3
130000,河北省,2008,3891,8513,14133,35,18,3
130000,河北省,2007,4447,10216,13126,736,30,4
130000,河北省,2006,2970,2960,5394,400,116,2
130000,河北省,2005,4420,6643,5274,5,251,2
130000,河北省,2004,3712,2298,8757,70,483,2
130000,河北省,2003,157,1320,9865,,44,4
130000,河北省,2002,2451,2448,10554,,28,6
130000,河北省,2001,2722,1782,4510,,14,4
130000,河北省,2000,,,,,,
140000,山西省,2019,,,,,,
140000,山西省,2018,,,,,,
140000,山西省,2017,,,,,,
140000,山西省,2016,,,,,,
140000,山西省,2015,,,,,,
140000,山西省,2014,,,,,,
140000,山西省,2013,,,,,,
140000,山西省,2012,,,,,,
140000,山西省,2011,1939,3244,25958,6690,91,3
140000,山西省,2010,968,1380,17157,,183,2
140000,山西省,2009,1387,1330,13256,,100,5
140000,山西省,2008,2060,1735,22569,973,1263,9
140000,山西省,2007,1858,1712,23746,,20,4
140000,山西省,2006,1597,1111,5356,10,273,6
140000,山西省,2005,1497,4850,9478,,35,6
140000,山西省,2004,890,236,4055,,51,6
140000,山西省,2003,1352,3252,5630,,58,2
140000,山西省,2002,25,40,2051,,25,7
