年份,大中型工业企业固定资产合计,煤炭采选业大中型工业企业固定资产合计,石油和天然气开采业大中型工业企业固定资产合计,黑色金属矿采选业大中型工业企业固定资产合计,有色金属矿采选业大中型工业企业固定资产合计,非金属矿采选业大中型工业企业固定资产合计,其他矿采选业大中型工业企业固定资产合计,木材及竹材采运业大中型工业企业固定资产合计,食品加工业大中型工业企业固定资产合计,食品制造业大中型工业企业固定资产合计,饮料制造业大中型工业企业固定资产合计,烟草加工业大中型工业企业固定资产合计,纺织业大中型工业企业固定资产合计,服装及其他纤维制品制造业大中型工业企业固定资产合计,皮革、毛皮、羽绒及其制品业大中型工业企业固定资产合计,木材加工及竹、藤、棕、草制品业大中型工业企业固定资产合计,家具制造业大中型工业企业固定资产合计,造纸及纸制品业大中型工业企业固定资产合计,印刷业、记录媒介的复制大中型工业企业固定资产合计,文教体育用品制造业大中型工业企业固定资产合计,石油加工及炼焦业大中型工业企业固定资产合计,化学原料及化学制品制造业大中型工业企业固定资产合计,医药制造业大中型工业企业固定资产合计,化学纤维制造业大中型工业企业固定资产合计,橡胶制品业大中型工业企业固定资产合计,塑料制品业大中型工业企业固定资产合计,非金属矿物制造业大中型工业企业固定资产合计,黑色金属冶炼及压延加工业大中型工业企业固定资产合计,有色金属冶炼及压延加工业大中型工业企业固定资产合计,金属制品业大中型工业企业固定资产合计,普通机械制造业大中型工业企业固定资产合计,专用设备制造业大中型工业企业固定资产合计,交通运输设备制造业大中型工业企业固定资产合计,电气机械及器材制造业大中型工业企业固定资产合计,电子及通信设备制造业大中型工业企业固定资产合计,仪器仪表及文化办公用机械制造业大中型工业企业固定资产合计,其它制造业大中型工业企业固定资产合计,电力、蒸汽、热水的生产和供应业大中型工业企业固定资产合计,煤气生产和供应业大中型工业企业固定资产合计,自来水的生产和供应业大中型工业企业固定资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,50723.71981,2380.51909,3382.01,87.90279,178.88833,281.45524,0.10647,164.99961,715.39045,499.0674,918.03105,649.19682,1568.35782,238.20501,106.1201,181.51481,45.19177,1072.80173,255.4533,63.43509,1992.89486,3678.99986,828.97939,683.19668,354.29265,466.52723,1760.46742,4666.94272,1327.39503,404.54981,1105.5485,679.1467,2579.29392,1058.53505,2064.713,201.5842,77.60891,12468.89475,316.95807,889.11321
2001,47837.06396,2023.31333,3153.59171,78.20029,178.39401,272.15927,0.10647,163.99404,682.76614,435.85605,889.44517,655.10377,1545.54597,213.16211,104.729,179.90437,42.99654,1026.39618,246.19271,53.69702,2136.15158,3525.39068,728.86596,739.1653,338.7778,424.70144,1703.72711,4565.90855,1209.81996,422.98011,1091.98986,693.70642,2511.0637,1059.40129,1765.55558,197.68903,76.05843,11306.48735,300.35044,773.15902
2000,43378.97113,1869.39197,3040.80051,79.04885,179.06742,256.96008,0.10647,169.49523,651.3335,379.58629,843.813,631.00578,1478.6304,177.04505,92.99709,156.35747,36.575,700.09879,212.89367,46.45227,1969.53729,3249.88655,606.24742,820.56777,309.20335,349.02555,1578.92637,4369.16706,1115.59405,317.85384,1103.05218,729.71964,2257.43963,965.72453,1332.40527,166.16788,56.49456,9715.23647,295.89949,714.09731
