年份,大中型工业企业存货,煤炭采选业大中型工业企业存货,石油和天然气开采业大中型工业企业存货,黑色金属矿采选业大中型工业企业存货,有色金属矿采选业大中型工业企业存货,非金属矿采选业大中型工业企业存货,其他矿采选业大中型工业企业存货,木材及竹材采运业大中型工业企业存货,食品加工业大中型工业企业存货,食品制造业大中型工业企业存货,饮料制造业大中型工业企业存货,烟草加工业大中型工业企业存货,纺织业大中型工业企业存货,服装及其他纤维制品制造业大中型工业企业存货,皮革、毛皮、羽绒及其制品业大中型工业企业存货,木材加工及竹、藤、棕、草制品业大中型工业企业存货,家具制造业大中型工业企业存货,造纸及纸制品业大中型工业企业存货,印刷业、记录媒介的复制大中型工业企业存货,文教体育用品制造业大中型工业企业存货,石油加工及炼焦业大中型工业企业存货,化学原料及化学制品制造业大中型工业企业存货,医药制造业大中型工业企业存货,化学纤维制造业大中型工业企业存货,橡胶制品业大中型工业企业存货,塑料制品业大中型工业企业存货,非金属矿物制造业大中型工业企业存货,黑色金属冶炼及压延加工业大中型工业企业存货,有色金属冶炼及压延加工业大中型工业企业存货,金属制品业大中型工业企业存货,普通机械制造业大中型工业企业存货,专用设备制造业大中型工业企业存货,交通运输设备制造业大中型工业企业存货,电气机械及器材制造业大中型工业企业存货,电子及通信设备制造业大中型工业企业存货,仪器仪表及文化办公用机械制造业大中型工业企业存货,其它制造业大中型工业企业存货,电力、蒸汽、热水的生产和供应业大中型工业企业存货,煤气生产和供应业大中型工业企业存货,自来水的生产和供应业大中型工业企业存货
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,11339.91227,216.60534,109.30927,15.66174,27.19013,34.40974,0.01356,29.84101,295.85681,118.04932,335.395,702.12737,605.68342,114.97193,85.68809,46.00696,20.33958,202.10178,58.90651,35.69558,388.48516,632.39813,295.8527,114.37798,117.72649,137.46152,373.0604,898.36889,384.95299,189.38833,695.30204,485.28883,1344.82718,656.1999,1071.77396,118.07,49.74977,202.11444,17.67631,10.7159
2001,11007.77461,202.44872,96.73794,14.06467,31.28573,33.77657,0.01347,30.4532,266.02099,108.61298,341.98618,632.7267,618.89578,127.42212,92.06429,46.60546,20.41669,194.94511,57.52897,28.17674,379.17532,613.76455,276.01228,123.18771,119.87755,125.75267,371.29788,960.44405,379.23802,187.02273,650.59678,470.50115,1242.78846,661.48447,1020.72641,119.23039,51.24232,184.95422,15.45782,10.60574
2000,9918.26922,204.34098,103.04115,14.1109,33.9076,34.73266,0.02903,33.38959,223.75315,90.37102,314.50784,281.97359,614.30518,110.60961,81.01567,38.5821,15.72897,156.67579,47.53174,24.25526,418.06919,591.43186,232.04546,148.93882,111.28726,107.4126,333.83633,891.98487,332.13889,161.67637,633.67212,477.56261,1107.72135,588.61666,915.75246,97.68017,41.49559,170.99506,17.00003,8.95426
