年份,大中型工业企业港澳台资本金,煤炭采选业大中型工业企业港澳台资本金,石油和天然气开采业大中型工业企业港澳台资本金,黑色金属矿采选业大中型工业企业港澳台资本金,有色金属矿采选业大中型工业企业港澳台资本金,非金属矿采选业大中型工业企业港澳台资本金,其他矿采选业大中型工业企业港澳台资本金,木材及竹材采运业大中型工业企业港澳台资本金,食品加工业大中型工业企业港澳台资本金,食品制造业大中型工业企业港澳台资本金,饮料制造业大中型工业企业港澳台资本金,烟草加工业大中型工业企业港澳台资本金,纺织业大中型工业企业港澳台资本金,服装及其他纤维制品制造业大中型工业企业港澳台资本金,皮革、毛皮、羽绒及其制品业大中型工业企业港澳台资本金,木材加工及竹、藤、棕、草制品业大中型工业企业港澳台资本金,家具制造业大中型工业企业港澳台资本金,造纸及纸制品业大中型工业企业港澳台资本金,印刷业、记录媒介的复制大中型工业企业港澳台资本金,文教体育用品制造业大中型工业企业港澳台资本金,石油加工及炼焦业大中型工业企业港澳台资本金,化学原料及化学制品制造业大中型工业企业港澳台资本金,医药制造业大中型工业企业港澳台资本金,化学纤维制造业大中型工业企业港澳台资本金,橡胶制品业大中型工业企业港澳台资本金,塑料制品业大中型工业企业港澳台资本金,非金属矿物制造业大中型工业企业港澳台资本金,黑色金属冶炼及压延加工业大中型工业企业港澳台资本金,有色金属冶炼及压延加工业大中型工业企业港澳台资本金,金属制品业大中型工业企业港澳台资本金,普通机械制造业大中型工业企业港澳台资本金,专用设备制造业大中型工业企业港澳台资本金,交通运输设备制造业大中型工业企业港澳台资本金,电气机械及器材制造业大中型工业企业港澳台资本金,电子及通信设备制造业大中型工业企业港澳台资本金,仪器仪表及文化办公用机械制造业大中型工业企业港澳台资本金,其它制造业大中型工业企业港澳台资本金,电力、蒸汽、热水的生产和供应业大中型工业企业港澳台资本金,煤气生产和供应业大中型工业企业港澳台资本金,自来水的生产和供应业大中型工业企业港澳台资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1548.98219,0.10661,69.42108,,0.04,1.13176,,,34.92828,39.234,84.92832,0.01,86.20878,25.12258,28.48966,12.99086,5.58944,47.42128,20.63635,24.47751,34.89227,76.27527,32.38356,32.40101,16.83694,73.92239,106.90961,56.02615,37.28992,62.84173,34.29171,14.41645,65.20549,71.76641,184.92909,16.82076,18.98898,128.95668,1.50186,1.5894
2001,1467.52631,0.10472,94.50323,,0.23116,1.1704,,,38.13185,45.41352,79.2825,0.64936,87.01259,25.06418,23.04143,10.42601,6.63478,47.6423,19.79516,21.17998,34.45541,44.44958,32.15939,48.18986,25.93205,56.77886,106.31991,59.43015,27.64409,61.29764,20.80149,13.5994,62.30123,61.16294,145.74356,14.473,18.44006,131.66955,0.83557,1.5594
2000,958.15871,0.1943,21.9905,,0.002,0.54423,,,25.38659,37.28991,54.03161,,59.36448,10.60846,16.83273,8.19065,2.88408,24.36403,8.36431,16.17029,11.08049,32.99591,25.16485,55.3585,14.2085,32.33913,59.21384,50.63348,26.56973,27.9013,17.8558,11.07313,44.39293,46.38897,91.34208,9.21582,6.99287,105.16712,0.56057,2.28552
