年份,大中型工业企业外商资本金,煤炭采选业大中型工业企业外商资本金,石油和天然气开采业大中型工业企业外商资本金,黑色金属矿采选业大中型工业企业外商资本金,有色金属矿采选业大中型工业企业外商资本金,非金属矿采选业大中型工业企业外商资本金,其他矿采选业大中型工业企业外商资本金,木材及竹材采运业大中型工业企业外商资本金,食品加工业大中型工业企业外商资本金,食品制造业大中型工业企业外商资本金,饮料制造业大中型工业企业外商资本金,烟草加工业大中型工业企业外商资本金,纺织业大中型工业企业外商资本金,服装及其他纤维制品制造业大中型工业企业外商资本金,皮革、毛皮、羽绒及其制品业大中型工业企业外商资本金,木材加工及竹、藤、棕、草制品业大中型工业企业外商资本金,家具制造业大中型工业企业外商资本金,造纸及纸制品业大中型工业企业外商资本金,印刷业、记录媒介的复制大中型工业企业外商资本金,文教体育用品制造业大中型工业企业外商资本金,石油加工及炼焦业大中型工业企业外商资本金,化学原料及化学制品制造业大中型工业企业外商资本金,医药制造业大中型工业企业外商资本金,化学纤维制造业大中型工业企业外商资本金,橡胶制品业大中型工业企业外商资本金,塑料制品业大中型工业企业外商资本金,非金属矿物制造业大中型工业企业外商资本金,黑色金属冶炼及压延加工业大中型工业企业外商资本金,有色金属冶炼及压延加工业大中型工业企业外商资本金,金属制品业大中型工业企业外商资本金,普通机械制造业大中型工业企业外商资本金,专用设备制造业大中型工业企业外商资本金,交通运输设备制造业大中型工业企业外商资本金,电气机械及器材制造业大中型工业企业外商资本金,电子及通信设备制造业大中型工业企业外商资本金,仪器仪表及文化办公用机械制造业大中型工业企业外商资本金,其它制造业大中型工业企业外商资本金,电力、蒸汽、热水的生产和供应业大中型工业企业外商资本金,煤气生产和供应业大中型工业企业外商资本金,自来水的生产和供应业大中型工业企业外商资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3359.81531,1.75211,25.13507,,0.15916,0.35012,,0.0096,78.74117,155.96038,162.5095,0.80518,97.15493,32.91625,21.83705,21.76262,6.95325,151.69068,15.63811,10.47517,31.62849,243.07716,72.85722,51.98,69.99628,88.61401,166.52627,35.3755,28.70682,78.44912,194.59018,46.25373,314.89109,245.89791,683.11271,51.75061,22.6875,132.85829,6.55039,10.07168
2001,2873.9293,2.40865,0.17168,,0.12,0.42325,,0.0096,67.54101,134.87804,146.66623,1.66167,75.62165,31.1774,23.86561,14.94887,3.94424,136.31003,10.95254,7.55805,17.90351,222.10925,65.90779,38.88715,43.59737,55.52721,145.27165,31.41729,26.04549,67.25454,190.56582,40.63331,298.24778,239.553,524.39172,44.91009,15.63874,141.26962,4.7594,1.67215
2000,2035.14496,2.18873,,,0.2,0.50258,,0.0096,59.75521,102.07727,135.47251,,53.6521,22.92637,12.38719,14.93721,3.92919,60.58056,10.71226,5.16093,4.84275,167.2881,57.64797,25.4215,31.13776,40.46625,106.80401,22.69992,14.81273,54.18886,138.87427,32.11152,253.17049,176.93125,309.14717,31.43901,11.83305,68.74974,1.42993,1.65697
