年份,大中型工业企业应收账款净额,煤炭采选业大中型工业企业应收账款净额,石油和天然气开采业大中型工业企业应收账款净额,黑色金属矿采选业大中型工业企业应收账款净额,有色金属矿采选业大中型工业企业应收账款净额,非金属矿采选业大中型工业企业应收账款净额,其他矿采选业大中型工业企业应收账款净额,木材及竹材采运业大中型工业企业应收账款净额,食品加工业大中型工业企业应收账款净额,食品制造业大中型工业企业应收账款净额,饮料制造业大中型工业企业应收账款净额,烟草加工业大中型工业企业应收账款净额,纺织业大中型工业企业应收账款净额,服装及其他纤维制品制造业大中型工业企业应收账款净额,皮革、毛皮、羽绒及其制品业大中型工业企业应收账款净额,木材加工及竹、藤、棕、草制品业大中型工业企业应收账款净额,家具制造业大中型工业企业应收账款净额,造纸及纸制品业大中型工业企业应收账款净额,印刷业、记录媒介的复制大中型工业企业应收账款净额,文教体育用品制造业大中型工业企业应收账款净额,石油加工及炼焦业大中型工业企业应收账款净额,化学原料及化学制品制造业大中型工业企业应收账款净额,医药制造业大中型工业企业应收账款净额,化学纤维制造业大中型工业企业应收账款净额,橡胶制品业大中型工业企业应收账款净额,塑料制品业大中型工业企业应收账款净额,非金属矿物制造业大中型工业企业应收账款净额,黑色金属冶炼及压延加工业大中型工业企业应收账款净额,有色金属冶炼及压延加工业大中型工业企业应收账款净额,金属制品业大中型工业企业应收账款净额,普通机械制造业大中型工业企业应收账款净额,专用设备制造业大中型工业企业应收账款净额,交通运输设备制造业大中型工业企业应收账款净额,电气机械及器材制造业大中型工业企业应收账款净额,电子及通信设备制造业大中型工业企业应收账款净额,仪器仪表及文化办公用机械制造业大中型工业企业应收账款净额,其它制造业大中型工业企业应收账款净额,电力、蒸汽、热水的生产和供应业大中型工业企业应收账款净额,煤气生产和供应业大中型工业企业应收账款净额,自来水的生产和供应业大中型工业企业应收账款净额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,9757.63763,343.50202,69.87497,19.97874,16.35355,49.67763,0.07121,20.16005,138.62602,115.26726,154.46941,142.90507,300.34787,79.4788,71.96162,26.60213,12.59025,182.47064,60.79737,28.10524,122.75913,528.88341,365.13137,53.7499,108.31006,136.23314,386.85922,434.06104,161.51471,188.65127,599.93729,311.67498,803.36769,674.10013,1575.69359,139.8984,34.20701,1171.16514,28.61632,47.91782
2001,9499.84921,381.93054,87.60461,21.29997,19.24965,54.53884,0.07218,20.70087,121.46508,96.71893,154.54294,184.01589,279.63586,79.06137,61.34781,23.41479,15.11951,171.02513,57.19926,26.84747,148.28209,530.16604,337.76609,60.39698,115.07294,114.3353,363.67614,505.83647,174.5866,155.50945,585.89398,309.15266,833.79559,631.60177,1416.42619,116.52339,30.88527,1080.19919,31.07656,44.93707
2000,9238.2724,444.38313,192.61507,23.28285,18.32775,56.19471,0.00043,24.15323,132.55071,90.72678,158.15889,139.72074,282.41981,66.63366,49.64496,21.29358,10.23575,152.53954,51.12538,23.86785,240.48662,601.21623,312.15655,64.76405,117.63223,98.48489,357.45542,571.4022,173.55445,149.46422,581.25816,333.57141,844.16853,556.7703,1055.36695,95.32965,21.88244,983.47154,34.2044,41.47387
