年份,大中型工业企业应交所得税,煤炭采选业大中型工业企业应交所得税,石油和天然气开采业大中型工业企业应交所得税,黑色金属矿采选业大中型工业企业应交所得税,有色金属矿采选业大中型工业企业应交所得税,非金属矿采选业大中型工业企业应交所得税,其他矿采选业大中型工业企业应交所得税,木材及竹材采运业大中型工业企业应交所得税,食品加工业大中型工业企业应交所得税,食品制造业大中型工业企业应交所得税,饮料制造业大中型工业企业应交所得税,烟草加工业大中型工业企业应交所得税,纺织业大中型工业企业应交所得税,服装及其他纤维制品制造业大中型工业企业应交所得税,皮革、毛皮、羽绒及其制品业大中型工业企业应交所得税,木材加工及竹、藤、棕、草制品业大中型工业企业应交所得税,家具制造业大中型工业企业应交所得税,造纸及纸制品业大中型工业企业应交所得税,印刷业、记录媒介的复制大中型工业企业应交所得税,文教体育用品制造业大中型工业企业应交所得税,石油加工及炼焦业大中型工业企业应交所得税,化学原料及化学制品制造业大中型工业企业应交所得税,医药制造业大中型工业企业应交所得税,化学纤维制造业大中型工业企业应交所得税,橡胶制品业大中型工业企业应交所得税,塑料制品业大中型工业企业应交所得税,非金属矿物制造业大中型工业企业应交所得税,黑色金属冶炼及压延加工业大中型工业企业应交所得税,有色金属冶炼及压延加工业大中型工业企业应交所得税,金属制品业大中型工业企业应交所得税,普通机械制造业大中型工业企业应交所得税,专用设备制造业大中型工业企业应交所得税,交通运输设备制造业大中型工业企业应交所得税,电气机械及器材制造业大中型工业企业应交所得税,电子及通信设备制造业大中型工业企业应交所得税,仪器仪表及文化办公用机械制造业大中型工业企业应交所得税,其它制造业大中型工业企业应交所得税,电力、蒸汽、热水的生产和供应业大中型工业企业应交所得税,煤气生产和供应业大中型工业企业应交所得税,自来水的生产和供应业大中型工业企业应交所得税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,758.18588,26.01288,92.23147,0.34615,3.46399,1.27095,,0.68697,12.49694,11.79746,25.26241,61.35022,20.20243,7.09409,2.64971,1.20318,0.75666,12.87399,7.69936,2.25879,15.93946,38.22705,27.95138,6.96644,4.15813,7.27332,16.10003,81.53991,11.34765,7.7459,19.96227,14.96937,59.70926,26.57062,43.59621,3.88796,1.79448,76.98641,1.23397,2.23355
2001,632.15171,17.63038,86.05954,0.47642,3.16978,1.01199,,0.39358,11.35057,7.78271,21.19276,51.09109,17.75553,8.00264,2.28671,1.24009,0.60431,10.44336,7.67836,1.85869,7.48668,35.27724,23.92369,6.90093,3.39302,5.55862,15.7086,57.38222,13.06558,6.39752,14.9842,11.22946,41.64379,25.0285,37.06211,4.47761,2.50103,66.35199,0.79494,2.58168
2000,540.05764,7.02262,84.58889,0.25971,3.44316,1.8239,,0.71811,7.3024,5.60306,24.04755,34.36399,16.20793,4.70067,1.43816,0.63158,0.38745,7.65489,6.4655,1.57942,8.82802,30.81274,17.53596,12.29246,2.17056,4.23632,11.67528,51.27769,11.2588,5.15411,12.60967,10.20865,30.04771,19.73053,30.69193,3.44938,1.07835,65.55349,0.73933,2.10166
