年份,大中型工业企业流动负债合计,煤炭采选业大中型工业企业流动负债合计,石油和天然气开采业大中型工业企业流动负债合计,黑色金属矿采选业大中型工业企业流动负债合计,有色金属矿采选业大中型工业企业流动负债合计,非金属矿采选业大中型工业企业流动负债合计,其他矿采选业大中型工业企业流动负债合计,木材及竹材采运业大中型工业企业流动负债合计,食品加工业大中型工业企业流动负债合计,食品制造业大中型工业企业流动负债合计,饮料制造业大中型工业企业流动负债合计,烟草加工业大中型工业企业流动负债合计,纺织业大中型工业企业流动负债合计,服装及其他纤维制品制造业大中型工业企业流动负债合计,皮革、毛皮、羽绒及其制品业大中型工业企业流动负债合计,木材加工及竹、藤、棕、草制品业大中型工业企业流动负债合计,家具制造业大中型工业企业流动负债合计,造纸及纸制品业大中型工业企业流动负债合计,印刷业、记录媒介的复制大中型工业企业流动负债合计,文教体育用品制造业大中型工业企业流动负债合计,石油加工及炼焦业大中型工业企业流动负债合计,化学原料及化学制品制造业大中型工业企业流动负债合计,医药制造业大中型工业企业流动负债合计,化学纤维制造业大中型工业企业流动负债合计,橡胶制品业大中型工业企业流动负债合计,塑料制品业大中型工业企业流动负债合计,非金属矿物制造业大中型工业企业流动负债合计,黑色金属冶炼及压延加工业大中型工业企业流动负债合计,有色金属冶炼及压延加工业大中型工业企业流动负债合计,金属制品业大中型工业企业流动负债合计,普通机械制造业大中型工业企业流动负债合计,专用设备制造业大中型工业企业流动负债合计,交通运输设备制造业大中型工业企业流动负债合计,电气机械及器材制造业大中型工业企业流动负债合计,电子及通信设备制造业大中型工业企业流动负债合计,仪器仪表及文化办公用机械制造业大中型工业企业流动负债合计,其它制造业大中型工业企业流动负债合计,电力、蒸汽、热水的生产和供应业大中型工业企业流动负债合计,煤气生产和供应业大中型工业企业流动负债合计,自来水的生产和供应业大中型工业企业流动负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,40870.31623,1459.07745,878.10774,82.73318,143.11363,184.22781,0.156,183.32199,968.17174,534.14745,1002.28356,991.45153,1801.98714,347.43091,212.06719,150.13429,50.34535,828.31162,218.18341,90.92268,1145.47384,2761.10239,1125.27674,461.97324,396.35264,486.54618,1567.037,3266.81475,1122.14211,597.79316,1887.34433,1251.76349,4175.64674,2032.36582,3649.8008,346.07634,121.89118,3581.25064,159.89296,238.14117
2001,37602.82709,1250.33088,801.49771,72.8518,132.85561,173.94772,0.15875,177.63577,882.44828,458.26784,933.56873,984.13218,1772.06667,335.56672,210.93857,141.23992,52.32875,756.26109,214.23142,71.12457,1192.62157,2534.8322,1000.6843,452.45041,403.36744,416.84837,1477.36286,2987.84909,1042.86675,558.41216,1747.54707,1153.094,3670.31938,1900.3352,3177.06809,331.53515,114.48035,3321.74358,131.23968,207.19997
2000,33935.96739,1131.56553,786.24488,57.18523,126.87184,162.39894,0.16217,180.67403,858.0091,402.24038,895.4854,635.07658,1776.20387,289.04571,194.70098,129.2875,43.2556,584.33663,172.78503,75.13178,1135.80714,2411.07599,827.51937,487.58961,356.97298,363.65669,1349.37068,2909.34619,918.89261,490.76674,1670.66169,1167.9947,3216.77195,1664.20197,2480.99073,276.75792,91.36606,2921.47578,133.53491,185.27119
