年份,大中型工业企业单位数,煤炭采选业大中型工业企业单位数,石油和天然气开采业大中型工业企业单位数,黑色金属矿采选业大中型工业企业单位数,有色金属矿采选业大中型工业企业单位数,非金属矿采选业大中型工业企业单位数,其他矿采选业大中型工业企业单位数,木材及竹材采运业大中型工业企业单位数,食品加工业大中型工业企业单位数,食品制造业大中型工业企业单位数,饮料制造业大中型工业企业单位数,烟草加工业大中型工业企业单位数,纺织业大中型工业企业单位数,服装及其他纤维制品制造业大中型工业企业单位数,皮革、毛皮、羽绒及其制品业大中型工业企业单位数,木材加工及竹、藤、棕、草制品业大中型工业企业单位数,家具制造业大中型工业企业单位数,造纸及纸制品业大中型工业企业单位数,印刷业、记录媒介的复制大中型工业企业单位数,文教体育用品制造业大中型工业企业单位数,石油加工及炼焦业大中型工业企业单位数,化学原料及化学制品制造业大中型工业企业单位数,医药制造业大中型工业企业单位数,化学纤维制造业大中型工业企业单位数,橡胶制品业大中型工业企业单位数,塑料制品业大中型工业企业单位数,非金属矿物制造业大中型工业企业单位数,黑色金属冶炼及压延加工业大中型工业企业单位数,有色金属冶炼及压延加工业大中型工业企业单位数,金属制品业大中型工业企业单位数,普通机械制造业大中型工业企业单位数,专用设备制造业大中型工业企业单位数,交通运输设备制造业大中型工业企业单位数,电气机械及器材制造业大中型工业企业单位数,电子及通信设备制造业大中型工业企业单位数,仪器仪表及文化办公用机械制造业大中型工业企业单位数,其它制造业大中型工业企业单位数,电力、蒸汽、热水的生产和供应业大中型工业企业单位数,煤气生产和供应业大中型工业企业单位数,自来水的生产和供应业大中型工业企业单位数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,23323.0,269.0,40.0,41.0,151.0,166.0,1.0,93.0,1100.0,596.0,759.0,138.0,1778.0,458.0,231.0,184.0,88.0,612.0,449.0,157.0,142.0,1828.0,888.0,225.0,245.0,763.0,1772.0,371.0,395.0,750.0,1510.0,1073.0,1387.0,1223.0,1233.0,376.0,222.0,1168.0,104.0,235.0
2001,22987.0,276.0,39.0,42.0,164.0,175.0,1.0,94.0,1136.0,560.0,770.0,143.0,1851.0,460.0,226.0,169.0,86.0,630.0,439.0,136.0,133.0,1831.0,833.0,237.0,264.0,658.0,1772.0,383.0,398.0,684.0,1472.0,1093.0,1370.0,1213.0,1114.0,362.0,210.0,1124.0,102.0,229.0
2000,21724.0,283.0,39.0,45.0,170.0,178.0,1.0,99.0,1108.0,534.0,757.0,140.0,1889.0,392.0,216.0,162.0,73.0,575.0,379.0,112.0,119.0,1764.0,712.0,240.0,260.0,615.0,1654.0,369.0,370.0,616.0,1470.0,1109.0,1286.0,1129.0,856.0,321.0,189.0,1059.0,97.0,221.0
