年份,大中型工业企业国家资本金,煤炭采选业大中型工业企业国家资本金,石油和天然气开采业大中型工业企业国家资本金,黑色金属矿采选业大中型工业企业国家资本金,有色金属矿采选业大中型工业企业国家资本金,非金属矿采选业大中型工业企业国家资本金,其他矿采选业大中型工业企业国家资本金,木材及竹材采运业大中型工业企业国家资本金,食品加工业大中型工业企业国家资本金,食品制造业大中型工业企业国家资本金,饮料制造业大中型工业企业国家资本金,烟草加工业大中型工业企业国家资本金,纺织业大中型工业企业国家资本金,服装及其他纤维制品制造业大中型工业企业国家资本金,皮革、毛皮、羽绒及其制品业大中型工业企业国家资本金,木材加工及竹、藤、棕、草制品业大中型工业企业国家资本金,家具制造业大中型工业企业国家资本金,造纸及纸制品业大中型工业企业国家资本金,印刷业、记录媒介的复制大中型工业企业国家资本金,文教体育用品制造业大中型工业企业国家资本金,石油加工及炼焦业大中型工业企业国家资本金,化学原料及化学制品制造业大中型工业企业国家资本金,医药制造业大中型工业企业国家资本金,化学纤维制造业大中型工业企业国家资本金,橡胶制品业大中型工业企业国家资本金,塑料制品业大中型工业企业国家资本金,非金属矿物制造业大中型工业企业国家资本金,黑色金属冶炼及压延加工业大中型工业企业国家资本金,有色金属冶炼及压延加工业大中型工业企业国家资本金,金属制品业大中型工业企业国家资本金,普通机械制造业大中型工业企业国家资本金,专用设备制造业大中型工业企业国家资本金,交通运输设备制造业大中型工业企业国家资本金,电气机械及器材制造业大中型工业企业国家资本金,电子及通信设备制造业大中型工业企业国家资本金,仪器仪表及文化办公用机械制造业大中型工业企业国家资本金,其它制造业大中型工业企业国家资本金,电力、蒸汽、热水的生产和供应业大中型工业企业国家资本金,煤气生产和供应业大中型工业企业国家资本金,自来水的生产和供应业大中型工业企业国家资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,11303.68587,1179.86677,911.17938,92.46419,57.26974,107.95839,0.08528,70.63875,128.98343,57.73199,175.42155,295.28535,290.22942,17.42243,6.95664,25.92823,4.95246,183.24868,74.1362,6.59354,324.29931,668.24107,201.28824,95.23406,65.27669,55.13406,340.35143,1392.36861,333.5428,69.51711,293.48609,254.62651,723.64413,162.60179,290.68969,52.24558,4.62183,1669.5741,216.80146,365.64406
2001,11868.83302,902.56567,1527.83889,94.26837,57.69539,129.37796,0.08528,73.28373,136.22856,56.27369,180.15531,290.75435,293.75086,20.36879,9.7932,25.9527,5.46923,169.66673,89.62622,7.36647,242.74665,699.09374,156.98945,102.02384,77.46398,58.65999,328.24573,1827.90065,330.63411,65.94373,291.1046,239.60671,609.13916,192.57727,297.62238,50.2931,5.67909,1669.3953,215.8657,309.39677
2000,11372.59758,809.21052,1458.99218,97.04711,63.68594,101.68568,0.08528,77.77047,146.59005,68.21054,185.6436,285.34915,295.99191,23.72111,9.62435,23.61614,6.33884,138.06009,75.66275,5.94087,230.004,726.70827,135.79426,156.78061,73.38083,40.12238,346.01361,1751.83159,331.7195,63.69254,317.17847,222.24156,642.33767,161.09539,262.22471,43.73271,3.88449,1407.02234,213.88981,327.69807
