年份,大中型工业企业利润总额,煤炭采选业大中型工业企业利润总额,石油和天然气开采业大中型工业企业利润总额,黑色金属矿采选业大中型工业企业利润总额,有色金属矿采选业大中型工业企业利润总额,非金属矿采选业大中型工业企业利润总额,其他矿采选业大中型工业企业利润总额,木材及竹材采运业大中型工业企业利润总额,食品加工业大中型工业企业利润总额,食品制造业大中型工业企业利润总额,饮料制造业大中型工业企业利润总额,烟草加工业大中型工业企业利润总额,纺织业大中型工业企业利润总额,服装及其他纤维制品制造业大中型工业企业利润总额,皮革、毛皮、羽绒及其制品业大中型工业企业利润总额,木材加工及竹、藤、棕、草制品业大中型工业企业利润总额,家具制造业大中型工业企业利润总额,造纸及纸制品业大中型工业企业利润总额,印刷业、记录媒介的复制大中型工业企业利润总额,文教体育用品制造业大中型工业企业利润总额,石油加工及炼焦业大中型工业企业利润总额,化学原料及化学制品制造业大中型工业企业利润总额,医药制造业大中型工业企业利润总额,化学纤维制造业大中型工业企业利润总额,橡胶制品业大中型工业企业利润总额,塑料制品业大中型工业企业利润总额,非金属矿物制造业大中型工业企业利润总额,黑色金属冶炼及压延加工业大中型工业企业利润总额,有色金属冶炼及压延加工业大中型工业企业利润总额,金属制品业大中型工业企业利润总额,普通机械制造业大中型工业企业利润总额,专用设备制造业大中型工业企业利润总额,交通运输设备制造业大中型工业企业利润总额,电气机械及器材制造业大中型工业企业利润总额,电子及通信设备制造业大中型工业企业利润总额,仪器仪表及文化办公用机械制造业大中型工业企业利润总额,其它制造业大中型工业企业利润总额,电力、蒸汽、热水的生产和供应业大中型工业企业利润总额,煤气生产和供应业大中型工业企业利润总额,自来水的生产和供应业大中型工业企业利润总额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,4008.97,53.87864,902.49098,2.7236,9.04316,2.82229,,2.85679,46.05843,45.97046,103.64625,208.23081,76.57763,39.86551,12.04062,3.80086,4.32946,58.95493,32.56184,10.43662,29.22491,146.71096,144.77634,23.51311,20.46414,44.44974,51.07755,259.25126,57.10908,35.69307,91.15344,53.2383,411.86574,155.84411,327.55137,24.2995,8.55027,508.24572,-1.50861,3.85067
2001,3440.56,28.71027,970.23399,2.30504,9.86877,3.12119,,2.41939,49.2299,37.34302,97.29431,177.14561,59.46314,39.87352,8.16262,3.80792,4.56604,31.81599,32.94733,8.61856,-22.60235,69.1969,118.9161,15.91331,12.81133,36.06499,48.19233,177.1811,53.29893,32.20624,52.47929,28.09692,242.12112,125.47639,369.16257,25.09061,13.64989,480.7416,-1.34302,5.68387
2000,3183.28,-3.57648,1145.54176,1.25253,10.97235,1.49605,,1.84393,29.04811,26.38647,91.95501,139.09756,68.80852,27.11116,7.42417,3.74711,3.09735,32.05015,26.47449,7.35572,-9.91291,101.1887,90.81863,49.04117,-0.95091,24.81399,41.56986,137.6831,45.33608,19.78863,42.42032,22.93438,145.45336,98.66034,327.54988,17.89067,4.65461,413.89524,-2.4155,4.88447
