年份,大中型工业企业固定资产原价合计,煤炭采选业大中型工业企业固定资产原价合计,石油和天然气开采业大中型工业企业固定资产原价合计,黑色金属矿采选业大中型工业企业固定资产原价合计,有色金属矿采选业大中型工业企业固定资产原价合计,非金属矿采选业大中型工业企业固定资产原价合计,其他矿采选业大中型工业企业固定资产原价合计,木材及竹材采运业大中型工业企业固定资产原价合计,食品加工业大中型工业企业固定资产原价合计,食品制造业大中型工业企业固定资产原价合计,饮料制造业大中型工业企业固定资产原价合计,烟草加工业大中型工业企业固定资产原价合计,纺织业大中型工业企业固定资产原价合计,服装及其他纤维制品制造业大中型工业企业固定资产原价合计,皮革、毛皮、羽绒及其制品业大中型工业企业固定资产原价合计,木材加工及竹、藤、棕、草制品业大中型工业企业固定资产原价合计,家具制造业大中型工业企业固定资产原价合计,造纸及纸制品业大中型工业企业固定资产原价合计,印刷业、记录媒介的复制大中型工业企业固定资产原价合计,文教体育用品制造业大中型工业企业固定资产原价合计,石油加工及炼焦业大中型工业企业固定资产原价合计,化学原料及化学制品制造业大中型工业企业固定资产原价合计,医药制造业大中型工业企业固定资产原价合计,化学纤维制造业大中型工业企业固定资产原价合计,橡胶制品业大中型工业企业固定资产原价合计,塑料制品业大中型工业企业固定资产原价合计,非金属矿物制造业大中型工业企业固定资产原价合计,黑色金属冶炼及压延加工业大中型工业企业固定资产原价合计,有色金属冶炼及压延加工业大中型工业企业固定资产原价合计,金属制品业大中型工业企业固定资产原价合计,普通机械制造业大中型工业企业固定资产原价合计,专用设备制造业大中型工业企业固定资产原价合计,交通运输设备制造业大中型工业企业固定资产原价合计,电气机械及器材制造业大中型工业企业固定资产原价合计,电子及通信设备制造业大中型工业企业固定资产原价合计,仪器仪表及文化办公用机械制造业大中型工业企业固定资产原价合计,其它制造业大中型工业企业固定资产原价合计,电力、蒸汽、热水的生产和供应业大中型工业企业固定资产原价合计,煤气生产和供应业大中型工业企业固定资产原价合计,自来水的生产和供应业大中型工业企业固定资产原价合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,71606.08205,3338.15906,6246.51464,128.54671,242.20067,344.59494,0.1652,211.89762,953.39304,670.2494,1229.95182,948.57706,2250.14066,307.15517,153.96725,235.05244,63.59828,1245.19779,385.17629,90.91073,3280.01245,5190.64126,994.39299,980.793,461.53591,643.81296,2383.64838,6637.77392,1750.35184,580.96067,1627.84459,1019.38582,3501.50544,1544.48605,2882.77733,306.04316,107.71853,16712.4356,389.02356,1146.66208
2001,66145.71458,2844.58934,5792.22967,107.18858,245.67682,335.63368,0.1652,205.22064,905.16861,571.86778,1146.63206,890.36077,2192.25264,282.90361,151.40317,221.98183,57.39172,1164.16267,359.25085,76.16,3233.35396,4787.58487,870.86809,992.10977,440.81338,566.70425,2243.14641,6462.47144,1588.45341,574.71411,1563.07193,1021.9328,3298.98633,1500.64366,2446.61263,290.86909,105.64394,14851.09522,354.70519,996.20882
2000,58348.1498,2579.98284,5122.789,106.8327,234.50952,309.39892,0.1652,215.01887,853.45247,491.7486,1053.99426,823.65048,2067.47387,229.09017,126.01734,188.08912,47.58279,786.16699,301.40502,61.88019,2877.16459,4229.82858,726.69165,1129.12009,362.19976,464.23638,2041.28863,5961.24317,1457.93029,441.23462,1512.73839,1025.60664,2911.52052,1303.84257,1797.91581,238.82437,77.65921,12511.53816,352.19647,890.60078
