年份,大中型工业企业利息支出,煤炭采选业大中型工业企业利息支出,石油和天然气开采业大中型工业企业利息支出,黑色金属矿采选业大中型工业企业利息支出,有色金属矿采选业大中型工业企业利息支出,非金属矿采选业大中型工业企业利息支出,其他矿采选业大中型工业企业利息支出,木材及竹材采运业大中型工业企业利息支出,食品加工业大中型工业企业利息支出,食品制造业大中型工业企业利息支出,饮料制造业大中型工业企业利息支出,烟草加工业大中型工业企业利息支出,纺织业大中型工业企业利息支出,服装及其他纤维制品制造业大中型工业企业利息支出,皮革、毛皮、羽绒及其制品业大中型工业企业利息支出,木材加工及竹、藤、棕、草制品业大中型工业企业利息支出,家具制造业大中型工业企业利息支出,造纸及纸制品业大中型工业企业利息支出,印刷业、记录媒介的复制大中型工业企业利息支出,文教体育用品制造业大中型工业企业利息支出,石油加工及炼焦业大中型工业企业利息支出,化学原料及化学制品制造业大中型工业企业利息支出,医药制造业大中型工业企业利息支出,化学纤维制造业大中型工业企业利息支出,橡胶制品业大中型工业企业利息支出,塑料制品业大中型工业企业利息支出,非金属矿物制造业大中型工业企业利息支出,黑色金属冶炼及压延加工业大中型工业企业利息支出,有色金属冶炼及压延加工业大中型工业企业利息支出,金属制品业大中型工业企业利息支出,普通机械制造业大中型工业企业利息支出,专用设备制造业大中型工业企业利息支出,交通运输设备制造业大中型工业企业利息支出,电气机械及器材制造业大中型工业企业利息支出,电子及通信设备制造业大中型工业企业利息支出,仪器仪表及文化办公用机械制造业大中型工业企业利息支出,其它制造业大中型工业企业利息支出,电力、蒸汽、热水的生产和供应业大中型工业企业利息支出,煤气生产和供应业大中型工业企业利息支出,自来水的生产和供应业大中型工业企业利息支出
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1321.01603,47.74524,22.96076,1.54249,6.27939,5.14819,0.00021,3.7865,28.62381,15.84492,19.81215,25.36284,53.52105,6.68942,4.30063,5.13583,1.56504,35.63989,5.26401,1.67962,48.60946,98.93336,30.94951,19.70915,14.02623,14.22907,47.70972,99.68291,44.15978,14.81185,42.99373,27.08786,73.83477,45.66241,56.12147,6.34255,2.40745,323.87739,2.46983,6.09918
2001,1284.59006,33.89702,27.1433,1.70086,5.61381,5.58912,0.00048,3.54455,28.29392,12.18477,19.67761,26.38438,57.17215,7.42138,4.45613,5.48139,1.24808,34.59562,5.03654,1.81426,52.0897,91.00933,29.2467,19.64394,13.88301,13.51484,50.44917,92.66864,40.39993,16.05069,47.2458,29.10867,77.46725,47.64968,58.43218,6.82051,2.87401,299.27979,1.29287,4.42601
2000,1281.16899,30.6394,40.3104,1.57802,5.62085,3.84571,0.00218,3.61417,28.64842,13.00113,21.27402,14.59636,66.0645,7.10002,4.31757,5.98387,1.38449,23.8491,4.91076,1.44752,54.80203,98.99008,26.33426,26.21909,12.43916,12.48184,51.3601,117.36868,55.03841,15.2432,48.05563,31.63096,86.22475,49.27161,54.32176,7.869,2.6791,233.67241,1.96797,4.46854
