年份,大中型工业企业主营业务成本,煤炭采选业大中型工业企业主营业务成本,石油和天然气开采业大中型工业企业主营业务成本,黑色金属矿采选业大中型工业企业主营业务成本,有色金属矿采选业大中型工业企业主营业务成本,非金属矿采选业大中型工业企业主营业务成本,其他矿采选业大中型工业企业主营业务成本,木材及竹材采运业大中型工业企业主营业务成本,食品加工业大中型工业企业主营业务成本,食品制造业大中型工业企业主营业务成本,饮料制造业大中型工业企业主营业务成本,烟草加工业大中型工业企业主营业务成本,纺织业大中型工业企业主营业务成本,服装及其他纤维制品制造业大中型工业企业主营业务成本,皮革、毛皮、羽绒及其制品业大中型工业企业主营业务成本,木材加工及竹、藤、棕、草制品业大中型工业企业主营业务成本,家具制造业大中型工业企业主营业务成本,造纸及纸制品业大中型工业企业主营业务成本,印刷业、记录媒介的复制大中型工业企业主营业务成本,文教体育用品制造业大中型工业企业主营业务成本,石油加工及炼焦业大中型工业企业主营业务成本,化学原料及化学制品制造业大中型工业企业主营业务成本,医药制造业大中型工业企业主营业务成本,化学纤维制造业大中型工业企业主营业务成本,橡胶制品业大中型工业企业主营业务成本,塑料制品业大中型工业企业主营业务成本,非金属矿物制造业大中型工业企业主营业务成本,黑色金属冶炼及压延加工业大中型工业企业主营业务成本,有色金属冶炼及压延加工业大中型工业企业主营业务成本,金属制品业大中型工业企业主营业务成本,普通机械制造业大中型工业企业主营业务成本,专用设备制造业大中型工业企业主营业务成本,交通运输设备制造业大中型工业企业主营业务成本,电气机械及器材制造业大中型工业企业主营业务成本,电子及通信设备制造业大中型工业企业主营业务成本,仪器仪表及文化办公用机械制造业大中型工业企业主营业务成本,其它制造业大中型工业企业主营业务成本,电力、蒸汽、热水的生产和供应业大中型工业企业主营业务成本,煤气生产和供应业大中型工业企业主营业务成本,自来水的生产和供应业大中型工业企业主营业务成本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,53839.14,996.42852,1345.3719,54.38908,121.74932,91.2254,0.00202,44.85311,1693.52745,687.69217,848.81712,732.9433,2386.20014,558.81098,348.22881,182.19506,62.43375,780.18056,235.70782,156.99101,3748.95471,3418.16674,954.45572,699.31934,433.80283,666.78382,1300.89263,4269.34384,1321.81981,747.33358,1646.76372,1131.21786,5077.99531,2523.91807,6935.93169,496.63,182.48646,6365.54209,218.78572,174.35218
2001,47033.65,779.0323,1276.41733,48.53839,111.48183,78.12781,0.00867,46.96648,1482.52719,579.8612,793.95412,662.67557,2194.00336,514.83621,314.22965,163.68076,57.72903,691.31274,221.38121,139.30898,3681.94788,3076.69761,814.23747,654.57697,390.37564,575.96185,1169.95885,3833.08634,1223.81734,633.19801,1332.82339,961.84457,3961.43674,2309.41036,5785.97415,430.04943,172.06062,5355.78565,178.92591,157.04084
2000,39768.89,658.32559,1343.55476,43.5858,103.32982,70.57094,0.01008,52.64759,1218.09755,471.41403,743.88295,582.52333,2057.17176,391.50677,260.17023,146.80912,43.91227,524.71375,171.68375,114.00868,3580.41875,2676.81043,661.22037,770.13296,334.79291,456.01995,978.0259,3263.75298,1082.62479,523.83523,1184.07903,924.84616,3178.29081,1916.73572,3627.28354,320.73668,123.20158,4677.15262,166.42064,150.04072
