年份,农、林、牧产品批发商品进口额,食品、饮料及烟草制品批发商品进口额,米、面制品及食用油批发商品进口额,烟草制品批发商品进口额,纺织、服装及日用品批发商品进口额,服装批发商品进口额,文化、体育用品及器材批发商品进口额,医药及医疗器材批发商品进口额,矿产品、建材及化工产品批发商品进口额,煤炭及制品批发商品进口额,石油及制品批发商品进口额,金属及金属矿批发商品进口额,建材批发商品进口额,化肥批发商品进口额,机械设备、五金交电及电子产品批发商品进口额,汽车、摩托车及零配件批发商品进口额,日用家电批发商品进口额,计算机、软件及辅助设备批发商品进口额,贸易经纪与代理商品进口额,其他批发商品进口额
2019,1665.2365,2780.3122,999.6233,58.8492,2962.6698,813.501,660.3089,2323.2264,21437.6097,1578.4255,5814.0765,7908.3426,1146.822,280.6562,14644.472,4019.416,164.7603,1537.3893,1146.9204,621.0212
2018,1344.8,1540.3,594.3,59.3,2402.7,608.7,738.9,2168.8,17508.9,909.0,4597.0,7015.7,812.6,220.4,15077.8,4693.7,128.7,1467.0,950.3,486.7
2017,885.101,1902.777,954.335,46.208,1945.495,397.584,533.393,3071.124,16681.977,693.602,4594.179,6943.926,765.938,187.004,14026.787,4292.645,360.958,942.908,1103.652,603.698
2016,770.1335,1395.3205,702.9418,68.748,1614.3347,347.7182,516.7907,1424.1076,12220.9945,528.1314,3687.5375,4110.7337,776.2398,157.6842,12196.2608,3986.4663,293.9619,542.2334,940.0925,1027.9683
2015,858.4749,1342.0351,705.096,78.0085,1725.0949,341.3273,482.8439,1390.1802,12865.0151,597.5815,3751.2383,4566.5712,900.6607,252.407,10407.0581,3400.5803,321.5844,456.2534,980.277,1198.6221
2014,854.98464,1197.20556,546.72567,68.25843,2688.8575,449.99946,431.53847,1244.579,16301.46508,1020.63757,4280.84984,6127.02787,860.25175,186.5615,10064.30454,4484.07395,1148.38886,642.85429,1034.75702,1637.37213
2013,986.21714,1072.7042,447.42801,56.12942,3111.18668,432.93884,330.55186,1026.73001,16832.84917,974.73676,5191.00205,6421.96413,810.52646,180.94063,9077.36829,4320.22618,1436.70152,624.42876,723.8067,1651.45777
2012,830.45285,1006.05735,488.15831,128.55816,2661.27369,473.99284,311.45724,916.83057,13389.60794,1055.11415,3656.00015,5234.24214,817.16092,170.88635,8328.50071,3536.75797,1216.28744,789.35644,603.98852,1240.4912
2011,683.9703,603.7759,262.6518,42.7494,1326.6425,474.605,213.0075,728.4907,11506.1062,682.3971,2365.3671,5485.3291,750.5437,139.3804,8102.811,3403.5869,1029.4499,1126.2233,1022.2767,1196.7644
2010,621.322,502.66313,291.05129,33.52087,929.37793,244.71505,138.39141,416.73161,9029.32582,581.65017,1326.49577,4673.17911,537.574,91.4873,5370.06705,1864.48684,988.68264,496.80185,750.3757,704.76319
2009,388.57757,357.32626,191.37813,38.1153,702.89543,226.25205,107.20699,404.99899,6134.36473,310.20242,871.0496,3153.94851,393.39582,86.86193,3443.84547,1131.17561,502.88122,401.46504,774.38994,385.54446
2008,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,
