年份,实现产品创新的规模以上制造业内资企业占全部规模以上制造业企业的比重,实现产品创新的规模以上制造业国有企业占全部规模以上制造业企业的比重,实现产品创新的规模以上制造业集体企业占全部规模以上制造业企业的比重,实现产品创新的规模以上制造业股份合作企业占全部规模以上制造业企业的比重,实现产品创新的规模以上制造业联营企业占全部规模以上制造业企业的比重,实现产品创新的规模以上制造业有限责任公司数占全部规模以上制造业企业的比重,实现产品创新的规模以上制造业国有独资公司数占全部规模以上制造业企业的比重,实现产品创新的规模以上制造业股份有限公司数占全部规模以上制造业企业的比重,实现产品创新的规模以上制造业私营企业占全部规模以上制造业企业的比重,实现产品创新的规模以上制造业其他企业占全部规模以上制造业企业的比重,实现产品创新的规模以上制造业港、澳、台商投资企业占全部规模以上制造业企业的比重,实现产品创新的规模以上制造业外商投资企业占全部规模以上制造业企业的比重
2019,,,,,,,,,,,,
2018,,,,,,,,,,,,
2017,27.129,33.887,11.146,25.066,11.25,28.659,43.7,54.884,25.154,9.847,33.738,33.384
2016,25.08,34.186,11.317,26.322,13.83,25.017,43.454,51.184,23.818,9.848,30.953,31.867
2015,,,,,,,,,,,,
2014,,,,,,,,,,,,
2013,,,,,,,,,,,,
2012,,,,,,,,,,,,
2011,,,,,,,,,,,,
2010,,,,,,,,,,,,
2009,,,,,,,,,,,,
2008,,,,,,,,,,,,
2007,,,,,,,,,,,,
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
