年份,实现产品创新的规模以上制造业企_业占全部规模以上制造业企业的比重,实现产品创新的规模以上农副食品_加工业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上食品制造_业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上酒、饮料_和精制茶制造业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上烟草制品_业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上纺织业企_业占全部规模以上制造业企业的比重,实现产品创新的规模以上纺织服装、_服饰业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上皮革、毛皮_、羽毛及其制品和制鞋业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上木材加工_和木、竹、藤、棕、草制品业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上家具制造_业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上造纸和纸_制品业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上印刷和记_录媒介复制业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上文教、工美_、体育和娱乐用品制造业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上石油加工、_炼焦和核燃料加工业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上化学原料_和化学制品制造业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上医药制造_业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上化学纤维_制造业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上橡胶和塑_料制品业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上非金属矿_物制品业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上黑色金属_冶炼和压延加工业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上有色金属_冶炼和压延加工业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上金属制品_业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上通用设备_制造业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上专用设备_制造业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上汽车制造_业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上铁路、船_舶、航空航天和其他运输设备制造业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上电气机械_和器材制造业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上计算机、_通信和其他电子设备制造业企业占全部规模以上制造业企业的比重,实现产品创新的规模以上仪器仪表_制造业企业占全部规模以上制造业企业的比重
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,27.974,15.654,26.0,21.197,40.984,20.533,15.007,19.016,12.801,21.418,18.271,19.384,24.854,17.953,30.556,39.341,34.63,26.261,14.1,19.227,26.465,24.349,38.974,42.643,38.502,37.731,45.276,51.174,55.504
2016,25.943,14.983,24.339,20.842,39.063,20.049,15.921,18.804,13.439,20.789,16.824,17.357,24.196,17.013,28.262,36.87,32.033,23.281,13.142,17.096,24.452,22.73,36.559,39.074,36.12,35.638,41.104,47.254,53.862
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
