年份,有电子商务交易活动的企业数比重,采矿业有电子商务交易活动的企业数比重,制造业有电子商务交易活动的企业数比重,电力、热力、燃气及水生产和供应业有电子商务交易活动的企业数比重,建筑业有电子商务交易活动的企业数比重,批发和零售业有电子商务交易活动的企业数比重,交通运输、仓储和邮政业有电子商务交易活动的企业数比重,住宿和餐饮业有电子商务交易活动的企业数比重,信息传输、软件和信息技术服务业有电子商务交易活动的企业数比重,房地产业有电子商务交易活动的企业数比重,租赁和商务服务业有电子商务交易活动的企业数比重,科学研究和技术服务业有电子商务交易活动的企业数比重,水利、环境和公共设施管理业有电子商务交易活动的企业数比重,居民服务、修理和其他服务业有电子商务交易活动的企业数比重,教育有电子商务交易活动的企业数比重,卫生和社会工作有电子商务交易活动的企业数比重,文化、体育和娱乐业有电子商务交易活动的企业数比重
2019,10.5,3.3,10.2,6.1,3.7,13.6,6.1,32.1,21.4,3.1,9.2,8.3,13.2,8.1,7.5,7.5,20.5
2018,10.0495909029563,3.05681350349938,10.0991908193936,6.08577725038142,3.69636653835321,12.0631439208104,6.19146332325982,31.5839944207131,21.7101449275362,3.26412194301201,9.19742412497764,8.46142726352817,13.7188400881804,8.02478241628559,6.90836940836941,7.32453316162267,20.9308939235947
2017,9.5,2.7,9.7,6.2,3.8,10.5,5.6,31.2,22.7,3.4,8.3,8.1,13.4,7.7,6.1,6.7,20.3
2016,10.9,3.2,11.3,8.0,4.8,10.8,6.8,32.3,27.4,5.0,10.8,9.5,16.2,8.9,7.3,9.8,26.8
2015,9.57173712425327,2.17977691915142,10.1954217430184,5.60936238902341,4.08371003579129,8.95426430487507,5.80754325637247,30.8162940387109,25.0470946239675,4.13974950560316,9.50864727175225,8.49345439189189,13.3643476422077,7.64308567365802,6.30444750114626,7.83388390750354,25.3240440699935
2014,7.16145315791566,1.14986584898429,8.61832711528718,3.18097926392357,2.45827305508173,6.1855041958623,3.98442606644499,24.39838828165,18.856641683942,1.5844268846687,6.42944785276074,4.6604086140254,10.3056970819824,4.65970610982212,3.31217223295611,4.08382590005373,20.1193361924296
2013,5.1878576323203,1.11405516078526,7.22662544612483,2.24279102883588,2.69584343804636,4.00939776389889,3.24633164524088,8.92967198520852,14.0254351943718,1.26947426369392,4.8443041427959,3.58489360342514,6.98191933240612,3.1703775411423,2.59218692953633,3.29260013577733,12.7170342562177
2012,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
