年份,电子商务采购额,采矿业电子商务采购额,制造业电子商务采购额,电力、热力、燃气及水生产和供应业电子商务采购额,建筑业电子商务采购额,批发和零售业电子商务采购额,交通运输、仓储和邮政业电子商务采购额,住宿和餐饮业电子商务采购额,信息传输、软件和信息技术服务业电子商务采购额,房地产业电子商务采购额,租赁和商务服务业电子商务采购额,科学研究和技术服务业电子商务采购额,水利、环境和公共设施管理业电子商务采购额,居民服务、修理和其他服务业电子商务采购额,教育电子商务采购额,卫生和社会工作电子商务采购额,文化、体育和娱乐业电子商务采购额
2019,101275.083908,746.452689,41302.298319,3693.42816,7673.325816,42730.235293,711.0618,48.773265,1756.613243,39.381039,1881.500154,613.97886,9.660832,12.577907,7.727745,27.295315,20.773471
2018,85597.7763,718.6870047,37842.6979292,2691.5406587,5440.7795706,33508.0634278,364.8988165,26.4360475,2540.657418,44.6781791,1839.4023454,510.5308494,3.8723083,9.8205497,3.1667604,25.284901,27.2594493
2017,74365.1217,929.0049,30767.2185,4809.3282,4370.0134,26855.533,324.8001,25.8348,2690.1754,44.1825,3278.3223,233.0969,4.5854,9.0527,2.5852,9.5281,11.8603
2016,63347.2438,647.0064,27691.0619,5529.5117,3467.0197,22293.3429,220.584,27.606,1487.4113,27.4391,1663.4835,246.823,12.3371,11.1273,1.2123,14.2704,7.0072
2015,53499.1197,489.4654,23805.8887,5124.1264,2172.2325,19396.7312,292.6205,35.7586,866.0448,51.532,1013.0877,214.4686,10.7557,5.3042,1.1093,14.2666,5.7275
2014,48681.57427,940.08283,24455.58326,4303.51368,1521.43644,15794.9768,226.04515,20.99517,898.51098,57.08523,291.93272,143.83999,2.67924,2.6595,0.38956,7.80496,14.03876
2013,34662.88323,928.49177,20521.70536,2640.26301,735.05171,8968.62303,95.97963,8.61677,459.52737,5.96134,171.65142,108.36657,0.3407,5.85793,0.19335,4.14017,8.1131
2012,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
