年份,电子商务销售额,采矿业电子商务销售额,制造业电子商务销售额,电力、热力、燃气及水生产和供应业电子商务销售额,建筑业电子商务销售额,批发和零售业电子商务销售额,交通运输、仓储和邮政业电子商务销售额,住宿和餐饮业电子商务销售额,信息传输、软件和信息技术服务业电子商务销售额,房地产业电子商务销售额,租赁和商务服务业电子商务销售额,科学研究和技术服务业电子商务销售额,水利、环境和公共设施管理业电子商务销售额,居民服务、修理和其他服务业电子商务销售额,教育电子商务销售额,卫生和社会工作电子商务销售额,文化、体育和娱乐业电子商务销售额
2019,169325.88976,601.42733,56339.80871,1645.69077,186.06373,84183.351,7294.34874,1168.73344,11465.58743,394.4658,4860.57781,273.68343,74.09485,84.57777,330.4874,18.44636,404.54521
2018,152424.4774,1984.1565162,55925.7583391,2739.6156942,156.1327584,68984.7232257,5227.172636,881.2289227,11164.8833059,249.6140541,4294.115254,236.5379668,58.4595085,47.271779,133.311737,8.5616522,332.9340699
2017,130480.6799,878.5653,50114.7045,2471.7282,117.8509,56264.5297,4440.3345,697.927,10215.9101,39.2692,4040.5008,727.0683,47.1424,84.3914,69.1467,8.0375,263.5734
2016,107321.7819,687.7751,41682.0433,277.2745,61.5963,44035.6524,3843.9503,482.2915,11274.5663,96.0485,3862.8463,650.0555,43.1524,14.4651,29.722,2.8749,277.4675
2015,91724.2457,191.4411,38714.9959,73.9331,86.4904,37858.9919,3275.0167,436.7456,7829.5617,73.069,2345.3845,559.269,36.2695,15.8102,20.8234,3.7879,202.6558
2014,79657.93968,154.52605,40314.37429,72.58501,72.11231,27651.50151,2941.56366,240.53642,5750.2758,71.91645,2068.42748,173.30142,28.77342,10.02135,17.8233,2.42595,87.77526
2013,56683.57176,151.91375,31358.17088,2986.46355,66.6424,17365.25316,1963.46795,85.68766,1883.79274,22.94621,665.46007,63.10697,9.4554,1.81777,9.4154,1.16446,48.81339
2012,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
