年份,中国对非洲承包工程派出人数,中国对阿尔及利亚承包工程派出人数,中国对安哥拉承包工程派出人数,中国对贝宁承包工程派出人数,中国对博茨瓦纳承包工程派出人数,中国对布隆迪承包工程派出人数,中国对喀麦隆承包工程派出人数,中国对加那利群岛承包工程派出人数,中国对佛得角承包工程派出人数,中国对中非承包工程派出人数,中国对塞卜泰(休达)承包工程派出人数,中国对乍得承包工程派出人数,中国对科摩罗承包工程派出人数,中国对刚果(布)承包工程派出人数,中国对吉布提承包工程派出人数,中国对埃及承包工程派出人数,中国对赤道几内亚承包工程派出人数,中国对埃塞俄比亚承包工程派出人数,中国对加蓬承包工程派出人数,中国对冈比亚承包工程派出人数,中国对加纳承包工程派出人数,中国对几内亚承包工程派出人数,中国对几内亚(比绍)承包工程派出人数,中国对科特迪瓦承包工程派出人数,中国对肯尼亚承包工程派出人数,中国对利比里亚承包工程派出人数,中国对利比亚承包工程派出人数,中国对马达加斯加承包工程派出人数,中国对马拉维承包工程派出人数,中国对马里承包工程派出人数,中国对毛里塔尼亚承包工程派出人数,中国对毛里求斯承包工程派出人数,中国对摩洛哥承包工程派出人数,中国对莫桑比克承包工程派出人数,中国对纳米比亚承包工程派出人数,中国对尼日尔承包工程派出人数,中国对尼日利亚承包工程派出人数,中国对留尼汪承包工程派出人数,中国对卢旺达承包工程派出人数,中国对圣多美和普林西比承包工程派出人数,中国对塞内加尔承包工程派出人数,中国对塞舌尔承包工程派出人数,中国对塞拉利昂承包工程派出人数,中国对索马里承包工程派出人数,中国对南非承包工程派出人数,中国对西撒哈拉承包工程派出人数,中国对苏丹承包工程派出人数,中国对坦桑尼亚承包工程派出人数,中国对多哥承包工程派出人数,中国对突尼斯承包工程派出人数,中国对乌干达承包工程派出人数,中国对布基纳法索承包工程派出人数,中国对刚果(金)承包工程派出人数,中国对赞比亚承包工程派出人数,中国对津巴布韦承包工程派出人数,中国对莱索托承包工程派出人数,中国对梅利利亚承包工程派出人数,中国对斯威士兰承包工程派出人数,中国对厄立特里亚承包工程派出人数,中国对马约特岛承包工程派出人数,中国对南苏丹承包工程派出人数,中国对非洲其他国家(地区)承包工程派出人数
2019,55896,14706,1984,830,82,261,1478,,53,295,,1066,63,654,310,1223,348,3642,336,107,516,1785,3,903,2585,194,1,197,163,422,432,146,329,957,228,388,5187,,291,8,441,95,169,,248,,852,2281,33,68,2820,,2732,2746,523,125,,,101,,489,
2018,57436,14159,4188,301,75,351,2102,,79,42,,358,91,567,141,885,1103,3422,56,33,886,979,15,1277,4571,192,,155,127,396,421,321,361,551,492,130,3279,,129,5,1037,100,218,,560,,614,1577,190,196,3617,25.0,3257,3138,236,85,,,14,,332,
2017,58712,13784,7379,58,76,23,1211,,91,163,,621,76,822,727,1744,1514,4170,258,242,2096,1474,,910,2899,662,28,93,84,257,217,256,329,843,216,309,1725,,343,,652,57,269,3.0,200,,1234,1024,121,222,2076,3.0,3058,3473,201,5,,,117,,297,
2016,71548,21783,5542,143,85,82,2798,,71,20,,776,79,2392,856,1783,2050,6439,1042,54,874,1957,16,230,2700,546,106,21,41,315,229,105,371,1432,277,720,1866,,295,,752,82,354,30.0,200,,1637,2034,342,101,2287,,1546,3090,366,162,,,258,,211,
2015,97555,35363,11268,40,158,172,2213,,66,4,,1265,19,3046,1326,2686,2450,5092,766,30,703,964,19,346,1746,526,100,23,28,354,660,407,1582,2090,744,1396,2495,,147,1,677,44,346,,375,,2797,3404,43,153,2589,,2445,3095,306,170,,,406,,388,0.0
2014,107842,21985,15017,338,439,399,2589,,85,325,,1951,41,6308,14,159,5117,8858,2407,42,1105,1647,344,298,1747,504,774,155,120,659,608,441,271,3227,949,1554,4904,,607,1,722,124,622,,2413,,4196,3132,543,741,1915,75.0,3004,3040,292,288,,,227,,504,
2013,111959,23566,24662,695,869,75,2393,,35,5,,2168,75,5995,77,851,6084,3202,1985,32,1923,1297,156,870,2312,771,498,139,152,823,587,863,269,2962,405,813,3778,,546,4,393,218,456,,489,,5932,3610,779,774,593,119.0,2436,2733,462,451,,,191,,386,
2012,90249,19829,17445,392,683,109,2136,,112,100,,2018,104,3326,15,691,4942,3695,1103,14,1368,901,181,206,1669,891,146,281,212,544,951,1265,393,1207,231,330,3163,,99,5,356,208,365,,1540,,5872,2315,890,146,577,,1835,4296,292,286,,,50,,,
2011,100021,14641,19954,163,4089,159,956,,12,288,,2656,64,1543,185,1361,8717,4997,1142,,930,319,102,95,1497,192,2828,577,230,656,697,1040,1173,611,238,1892,4247,,72,,1143,210,284,2.0,741,,8545,2767,167,160,501,3.0,2854,3431,468,117,,4.0,153,,148,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
