年份,中国对亚洲承包工程派出人数,中国对阿富汗承包工程派出人数,中国对巴林承包工程派出人数,中国对孟加拉国承包工程派出人数,中国对不丹承包工程派出人数,中国对文莱承包工程派出人数,中国对缅甸承包工程派出人数,中国对柬埔寨承包工程派出人数,中国对塞浦路斯承包工程派出人数,中国对朝鲜承包工程派出人数,中国对中国香港承包工程派出人数,中国对印度承包工程派出人数,中国对印度尼西亚承包工程派出人数,中国对伊朗承包工程派出人数,中国对伊拉克承包工程派出人数,中国对以色列承包工程派出人数,中国对日本承包工程派出人数,中国对约旦承包工程派出人数,中国对科威特承包工程派出人数,中国对老挝承包工程派出人数,中国对黎巴嫩承包工程派出人数,中国对中国澳门承包工程派出人数,中国对马来西亚承包工程派出人数,中国对马尔代夫承包工程派出人数,中国对蒙古承包工程派出人数,中国对尼泊尔承包工程派出人数,中国对阿曼承包工程派出人数,中国对巴基斯坦承包工程派出人数,中国对巴勒斯坦承包工程派出人数,中国对菲律宾承包工程派出人数,中国对卡塔尔承包工程派出人数,中国对沙特阿拉伯承包工程派出人数,中国对新加坡承包工程派出人数,中国对韩国承包工程派出人数,中国对斯里兰卡承包工程派出人数,中国对叙利亚承包工程派出人数,中国对泰国承包工程派出人数,中国对土耳其承包工程派出人数,中国对阿联酋承包工程派出人数,中国对也门共和国承包工程派出人数,中国对越南承包工程派出人数,中国对中国台湾承包工程派出人数,中国对东帝汶承包工程派出人数,中国对哈萨克斯坦承包工程派出人数,中国对吉尔吉斯斯坦承包工程派出人数,中国对塔吉克斯坦承包工程派出人数,中国对土库曼斯坦承包工程派出人数,中国对乌兹别克斯坦承包工程派出人数,中国对亚洲其他国家承包工程派出人数
2019,128841,31,,7770,,1163,3674,6617,,,2284,1375,16107,977,5216,845,17,174,6508,14512,,1009,5455,1305,1753,941,875,8537,,1653,244,15234,775,46,2135,,2781,551,5073,,5006,98,303,3898,813,968,109,2009,
2018,148040,33,63.0,6739,,8449,2093,3706,,,279,1040,15896,2132,6110,1354,,465,11163,15128,5.0,116,12837,3569,2695,855,1782,15540,0.0,1551,482,11953,689,67,2379,,1829,766,2696,,3557,49,488,4468,479,2127,245,2139,
2017,140657,152,118.0,4858,,3678,2143,2207,,,300,797,10910,1155,6218,426,2,378,7444,15957,,260,15482,524,2562,1141,890,17493,0.0,3130,1901,16625,2210,118,2287,,1026,1468,1900,,3735,9,317,6864,991,1464,357,1145,
2016,140888,36,174.0,2669,,303,3639,2715,,28.0,230,706,11252,1006,12140,80,15,160,4117,8747,,410,9294,240,3448,1129,156,11830,,1437,1223,27520,1809,206,2648,,1810,5750,984,,4928,15,711,9550,1634,2194,611,630,2704.0
2015,133373,90,,2402,,150,4131,3033,,311.0,225,926,8062,1393,7294,,,49,2968,11815,,479,9756,163,5363,1150,44,6292,0.0,1427,1553,23836,3298,146,1582,5.0,2257,4596,1628,69.0,4933,5,244,13588,1947,1670,1013,1352,2112.0
2014,134534,35,,3690,,34,2988,3575,,542.0,351,1036,15689,645,7816,7,11,3,1832,11570,1.0,1116,7536,169,6701,1538,35,5122,,1182,1188,17062,1951,37,1550,,2411,3359,1421,1027.0,9878,26,80,9720,2153,2033,1877,1970,3567.0
2013,130888,93,1.0,1287,,235,2373,4060,,638.0,367,1628,7985,1016,9826,8,31,,3254,11203,5.0,447,5615,98,7951,1277,368,3541,,519,2594,19648,2917,24,5223,,1561,3398,5972,784.0,5746,11,98,7109,3258,2032,334,2505,3848.0
2012,117007,106,5.0,1492,,167,7290,4272,,1250.0,527,2294,3523,1498,9069,96,44,19,1503,9109,5.0,334,3837,161,7896,793,328,4204,,1142,4385,19100,2788,77,2575,10.0,1984,1630,4360,187.0,5377,39,232,3394,3049,1199,822,943,
2011,130283,318,23.0,3075,,188,6612,3433,39.0,1458.0,2182,3666,21109,1632,4777,,26,85,3151,6531,1.0,54,3225,297,10935,763,907,3606,,669,3379,16792,3756,92,2587,444.0,698,1333,4377,580.0,8752,38,527,3455,1575,1060,497,763,816.0
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
