年份,医疗保健和个人用品类城市居民消费价格指数(上年=100),医疗保健类城市居民消费价格指数(上年=100),医疗器具及用品类城市居民消费价格指数(上年=100),中药材及中成药类城市居民消费价格指数(上年=100),西药类城市居民消费价格指数(上年=100),保健器具及用品类城市居民消费价格指数(上年=100),医疗保健服务类城市居民消费价格指数(上年=100),个人用品及服务类城市居民消费价格指数(上年=100),化妆美容用品类城市居民消费价格指数(上年=100),清洁化妆用品类城市居民消费价格指数(上年=100),个人饰品类城市居民消费价格指数(上年=100),个人服务类城市居民消费价格指数(上年=100)
2019,,,,,,,,,,,,
2018,,,,,,,,,,,,
2017,,,,,,,,,,,,
2016,,,,,,,,,,,,
2015,101.85268753,102.62493479,101.1562462,102.97525987,102.14336402,103.87864027,102.45141266,100.31433277,100.23937784,100.87865542,95.14642099,104.08869472
2014,101.2,101.7,100.90387244,103.13990389,100.50388823,104.00256456,100.98705533,100.2,100.60536266,100.90526553,95.10951701,103.98108014
2013,101.2,101.4,100.87419385,103.32304395,100.38840126,102.20272802,100.76447049,100.7,100.99242318,101.97745767,95.03983394,105.02546069
2012,101.95098374,101.67059447,102.69227987,105.00864792,100.22700052,102.49072027,100.58824453,102.50261513,101.29585345,103.66617861,99.88883206,105.2013262
2011,103.38665433,102.87179199,102.4513843,111.67371753,99.56660168,104.49988059,100.52950471,104.41479338,101.13554241,101.89587981,108.87911759,104.82702932
2010,103.2,103.2,104.3,111.2,100.9,101.6,100.8,103.0,100.5,100.4,109.0,102.5
2009,101.06839236,101.33298746,101.85633781,103.01801637,100.79932405,100.98800746,100.85379612,100.50709935,100.75986225,102.1614511,95.79428414,103.37896064
2008,102.76049999,102.11528464,100.30871353,106.4646149,101.05990428,102.01003477,100.12160715,104.16945371,100.57098462,101.596932,110.25230624,104.28216577
2007,101.74680006,101.71111079,98.36460124,107.47585021,98.91944876,101.13068953,101.43781456,101.83586365,100.01306598,100.21367098,104.79814198,102.3445549
2006,100.90760322,100.00474006,97.56940831,100.02455034,98.22707281,100.43412788,102.59789772,103.02838203,99.58964168,99.8451333,111.53443359,102.22234009
2005,99.6203,99.2363,97.7033,96.7514,97.7288,100.0182,104.8402,100.5518,99.1997,99.5007,101.9321,101.3249
2004,99.1776,98.4259,103.2544,98.8631,95.262,99.2018,103.6376,101.0443,98.7512,98.1908,106.0599,101.2585
2003,99.8285,99.7594,100.8288,103.9737,94.1292,98.2124,107.575,99.9897,99.7207,96.2909,104.4548,100.2092
2002,98.0,97.4,97.3,96.3,94.1,96.7,109.1,99.5,100.1,97.0,99.3,102.1
2001,99.3,99.2,98.9,101.1,94.3,96.8,113.0,99.4,100.3,97.6,96.9,103.1
2000,,100.1,99.6,105.3,96.7,,,,,,,
