年份,民族自治地方国内生产总值,民族自治地方第一产业增加值,民族自治地方第二产业增加值,民族自治地方第三产业增加值,民族自治地方人均地区生产总值
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,,,,,
2014,,,,,
2013,59322.4637,9036.99542,28566.5407,21707.52188,33002.6188295645
2012,54078.6183,8145.7006,26550.1447,19382.773,30871.1489705507
2011,47915.6673,7242.7401,23885.1387,16787.7885,27400.8393113692
2010,38989.0,6198.0,18809.0,13982.0,22060.0
2009,27940.2019,5002.0115,13202.1621,9736.0283,15888.9650722128
2008,27940.2019,5002.0115,13202.1621,9736.0283,15888.9650722128
2007,22852.7849,4311.5358,10265.3682,8275.8809,13092.1786241166
2006,18659.12,3622.87,8089.54,6946.71,10759.0
2005,15705.9325939271,3300.19977,6419.0249,5986.70792392711,8991.35115091026
2004,,,,,
2003,,,,,
2002,,,,,
2001,,,,,
2000,7486.149274,2022.303146,2834.431946,2629.414182,4451.35184953947
