年份,中国对非洲劳务合作派出人数,中国对阿尔及利亚劳务合作派出人数,中国对安哥拉劳务合作派出人数,中国对贝宁劳务合作派出人数,中国对博茨瓦纳劳务合作派出人数,中国对布隆迪劳务合作派出人数,中国对喀麦隆劳务合作派出人数,中国对加那利群岛劳务合作派出人数,中国对佛得角劳务合作派出人数,中国对中非劳务合作派出人数,中国对塞卜泰(休达)劳务合作派出人数,中国对乍得劳务合作派出人数,中国对科摩罗劳务合作派出人数,中国对刚果(布)劳务合作派出人数,中国对吉布提劳务合作派出人数,中国对埃及劳务合作派出人数,中国对赤道几内亚劳务合作派出人数,中国对埃塞俄比亚劳务合作派出人数,中国对加蓬劳务合作派出人数,中国对冈比亚劳务合作派出人数,中国对加纳劳务合作派出人数,中国对几内亚劳务合作派出人数,中国对几内亚(比绍)劳务合作派出人数,中国对科特迪瓦劳务合作派出人数,中国对肯尼亚劳务合作派出人数,中国对利比里亚劳务合作派出人数,中国对利比亚劳务合作派出人数,中国对马达加斯加劳务合作派出人数,中国对马拉维劳务合作派出人数,中国对马里劳务合作派出人数,中国对毛里塔尼亚劳务合作派出人数,中国对毛里求斯劳务合作派出人数,中国对摩洛哥劳务合作派出人数,中国对莫桑比克劳务合作派出人数,中国对纳米比亚劳务合作派出人数,中国对尼日尔劳务合作派出人数,中国对尼日利亚劳务合作派出人数,中国对留尼汪劳务合作派出人数,中国对卢旺达劳务合作派出人数,中国对圣多美和普林西比劳务合作派出人数,中国对塞内加尔劳务合作派出人数,中国对塞舌尔劳务合作派出人数,中国对塞拉利昂劳务合作派出人数,中国对索马里劳务合作派出人数,中国对南非劳务合作派出人数,中国对西撒哈拉劳务合作派出人数,中国对苏丹劳务合作派出人数,中国对坦桑尼亚劳务合作派出人数,中国对多哥劳务合作派出人数,中国对突尼斯劳务合作派出人数,中国对乌干达劳务合作派出人数,中国对布基纳法索劳务合作派出人数,中国对刚果(金)劳务合作派出人数,中国对赞比亚劳务合作派出人数,中国对津巴布韦劳务合作派出人数,中国对莱索托劳务合作派出人数,中国对梅利利亚劳务合作派出人数,中国对斯威士兰劳务合作派出人数,中国对厄立特里亚劳务合作派出人数,中国对马约特岛劳务合作派出人数,中国对南苏丹劳务合作派出人数,中国对非洲其他国家(地区)劳务合作派出人数
2019,17347,3671,866,87,,42,84,,,,,6,,68,31,388,200,366,144,10,447,1053,1,73,217,2760,27,40,41,,1141,,8,316,17,6,1507,,62,,264,93,106,,,,1182,129,50,,677,,626,280,63,182,,,2,,14,
2018,23266,8409,5189,63,1.0,6,61,,,,,,,165,225,28,172,250,68,433,93,45,1,51,260,2116,9,26,27,,92,,30,189,23,7,1223,,115,,629,,131,,116.0,,1388,56,81,,240,,465,674,58,38,,,,,13,
2017,25770,7367,2922,7,,1,35,,,36.0,,8,12.0,1072,152,,446,501,115,8,704,102,,27,309,5710,68,44,24,,160,,28,84,14,7,1438,,143,,286,5,564,,111.0,,578,56,408,77.0,536,,380,1090,49,73,,,3,,10,
2016,20111,8148,2509,14,,3,21,,3.0,,,162,,964,206,336,832,565,161,45,90,10,,8,58,1544,36,14,23,11.0,373,,29,102,33,5,1263,,224,,95,39,478,,,,569,179,238,,165,,236,109,99,63,,,5,,44,
2015,25754,10841,4941,6,,208,47,,6.0,,,343,,607,,1,761,238,183,38,349,328,,14,47,1736,79,23,21,80.0,70,,39,149,48,12,780,,556,,43,122,251,,,,862,160,25,,748,,566,218,128,51,,,3,,26,
2014,29501,13413,3596,105,,31,4,,7.0,,,354,,1506,22,,425,759,255,,489,108,2,33,85,2871,9,166,10,74.0,147,50.0,65,277,101,76,649,,198,,3,111,412,,,,1099,133,53,,146,,245,1101,32,137,,,21,,121,
2013,23662,7524,4522,96,2.0,12,91,,11.0,,,6,,2016,,5,320,219,204,,419,46,,58,23,2544,66,330,10,61.0,70,108.0,67,144,,6,1386,,46,,1,,619,,527.0,,674,265,95,,47,,358,359,23,252,,,7,,23,
2012,22717,5662,6080,42,,10,97,,806.0,,,45,,960,2,,943,310,144,,394,86,1,13,27,2796,,19,1,112.0,257,330.0,118,104,,24,1188,,65,,136,65,571,,314.0,,44,69,124,2.0,27,,46,201,17,306,,5.0,119,,,
2011,16427,3692,4574,38,,11,1,,898.0,,,5,,841,,,782,59,208,,71,9,,9,49,881,265,91,,55.0,175,808.0,38,76,,13,1597,,12,,3,21,44,,120.0,,48,153,24,2.0,67,,10,311,20,42,,233.0,70,,1,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
