年份,中国对拉丁美洲劳务合作派出人数,中国对安提瓜和巴布达劳务合作派出人数,中国对阿根廷劳务合作派出人数,中国对阿鲁巴岛劳务合作派出人数,中国对巴哈马劳务合作派出人数,中国对巴巴多斯劳务合作派出人数,中国对伯利兹劳务合作派出人数,中国对玻利维亚劳务合作派出人数,中国对博内尔劳务合作派出人数,中国对巴西劳务合作派出人数,中国对开曼群岛劳务合作派出人数,中国对智利劳务合作派出人数,中国对哥伦比亚劳务合作派出人数,中国对多米尼克劳务合作派出人数,中国对哥斯达黎加劳务合作派出人数,中国对古巴劳务合作派出人数,中国对库腊索岛劳务合作派出人数,中国对多米尼加共和国劳务合作派出人数,中国对厄瓜多尔劳务合作派出人数,中国对法属圭亚那劳务合作派出人数,中国对格林纳达劳务合作派出人数,中国对瓜德罗普岛劳务合作派出人数,中国对危地马拉劳务合作派出人数,中国对圭亚那劳务合作派出人数,中国对海地劳务合作派出人数,中国对洪都拉斯劳务合作派出人数,中国对牙买加劳务合作派出人数,中国对马提尼克岛劳务合作派出人数,中国对墨西哥劳务合作派出人数,中国对蒙特塞拉特劳务合作派出人数,中国对尼加拉瓜劳务合作派出人数,中国对巴拿马劳务合作派出人数,中国对巴拉圭劳务合作派出人数,中国对秘鲁劳务合作派出人数,中国对波多黎各劳务合作派出人数,中国对萨巴劳务合作派出人数,中国对圣卢西亚劳务合作派出人数,中国对圣马丁岛劳务合作派出人数,中国对圣文森特和格林纳丁斯劳务合作派出人数,中国对萨尔瓦多劳务合作派出人数,中国对苏里南劳务合作派出人数,中国对特立尼达和多巴哥劳务合作派出人数,中国对特克斯和凯科斯岛劳务合作派出人数,中国对乌拉圭劳务合作派出人数,中国对委内瑞拉劳务合作派出人数,中国对英属维尔京群岛劳务合作派出人数,中国对圣其茨-尼维斯劳务合作派出人数,中国对荷属安地列斯群岛劳务合作派出人数,中国对拉美其他国家(地区)劳务合作派出人数
2019,18309,17,31,,3137,,715,47,,2,0,196,30,2,20,,,6,287,,,,,37,,18,131,,91,,,13050,,,,,,,219,,19,8,,,39,16,,,
2018,18098,8,43,,3731,15.0,634,76,,1,0,235,,4,6,,,5,316,,,,,8,,36,115,,,,,12396,,,,,,,218,,17,66,,,47,83,,,
2017,35392,7,69,,4473,,2034,74,,,0,163,8,34,,,,64,6,,,,,5,,53,265,,1,,,27335,,,,,,,544,,8,115,,,45,40,,,
2016,23048,12,35,,1169,15.0,1733,,,,0,311,,5,,,,11,48,,,,,13,,9,172,,24,,,18554,,24.0,,,,,728,,,,,,108,60,,,
2015,20287,15,27,,1106,48.0,1010,,,,0,209,27,,72,,,,313,,,,,37,,8,77,,110,,,16086,,169.0,,,,,873,,,,,,77,,0.0,,
2014,25106,13,153,,2834,64.0,841,27,,1,0,301,36,,,,,,386,,,,,40,,4,228,,1,,,18579,,,,,,,1097,,2,,,,421,,0.0,,
2013,19775,2,16,,1683,5.0,943,,,85,0,286,,16,,,,,21,,,,,,,28,161,,2,,,14534,,163.0,,,48.0,,1141,,69,,,,452,32,0.0,,
2012,19264,13,92,,1621,2.0,582,,,48,,255,,16,,,,,117,,,,,,,,8,,68,,,14444,,,,,,,1743,,10,,,,78,,,,
2011,2579,,19,,286,16.0,,,,96,,284,,,,,,,,,,,,,,,15,,31,,,1451,,,,,,,151,,,82,,,70,78,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
