年份,有产品或工艺创新活动的内资企业占规模以上工业企业的比重,有产品或工艺创新活动的国有企业占规模以上工业企业的比重,有产品或工艺创新活动的集体企业占规模以上工业企业的比重,有产品或工艺创新活动的股份合作企业占规模以上工业企业的比重,有产品或工艺创新活动的联营企业占规模以上工业企业的比重,有产品或工艺创新活动的有限责任公司企业占规模以上工业企业的比重,有产品或工艺创新活动的国有独资公司企业占规模以上工业企业的比重,有产品或工艺创新活动的股份有限公司企业占规模以上工业企业的比重,有产品或工艺创新活动的私营企业占规模以上工业企业的比重,有产品或工艺创新活动的其他内资企业占规模以上工业企业的比重,有产品或工艺创新活动的港、澳、台商投资企业占规模以上工业企业的比重,有产品或工艺创新活动的外商投资企业占规模以上工业企业的比重
2019,49.204,29.898,21.043,47.951,25.862,48.093,45.269,72.939,48.676,14.706,53.341,52.702
2018,42.219,26.816,17.836,40.565,26.471,43.479,44.444,68.668,40.671,16.418,49.673,48.762
2017,,,,,,,,,,,,
2016,,,,,,,,,,,,
2015,,,,,,,,,,,,
2014,,,,,,,,,,,,
2013,,,,,,,,,,,,
2012,,,,,,,,,,,,
2011,,,,,,,,,,,,
2010,,,,,,,,,,,,
2009,,,,,,,,,,,,
2008,,,,,,,,,,,,
2007,,,,,,,,,,,,
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
