年份,中国向大洋洲及太平洋群岛出口总额,中国向澳大利亚出口总额,中国向库克群岛出口总额,中国向斐济出口总额,中国向盖比群岛出口总额,中国向瑙鲁出口总额,中国向新喀里多尼亚出口总额,中国向瓦努阿图出口总额,中国向新西兰出口总额,中国向诺福克岛出口总额,中国向巴布亚新几内亚出口总额,中国向社会群岛出口总额,中国向所罗门群岛出口总额,中国向汤加出口总额,中国向土布艾群岛出口总额,中国向萨摩亚出口总额,中国向基里巴斯出口总额,中国向图瓦卢出口总额,中国向密克罗尼西亚联邦出口总额,中国向马绍尔群岛共和国出口总额,中国向帕劳共和国出口总额,中国向法属波利尼西亚出口总额,中国向瓦利斯和浮图纳出口总额,中国向大洋洲其他国家(地区)出口总额
2019,5821535.117,4822955.3608,4265.2721,35029.4094,1.8277,122.6911,15606.353,7725.2088,573630.4819,48.5333,80043.0424,85.6981,9825.669,2944.2677,14.4749,8784.676,2015.985,2173.7807,1864.5796,238333.6287,1862.581,9863.7585,71.4898,4264.7005
2018,5709073.4,4733005.9,518.7,45667.0,5.4,191.1,13409.4,6341.8,577469.6,197.4,78557.5,222.2,11824.1,2494.7,,7060.9,1783.6,1242.5,1854.1,216544.9,1372.6,7531.9,29.4,1748.3
2017,5126407.3,4143822.8,741.9,36549.5,3.0,42.3,8533.0,6558.5,510010.3,223.0,77499.4,305.0,9258.2,2794.2,,6388.1,1539.8,1834.7,2628.7,309640.8,1683.4,5931.8,30.4,388.4
2016,4754870.7,3732740.1,321.5,38405.3,0.4,140.5,8565.5,6373.9,476828.3,261.1,64805.3,280.7,8655.6,3032.7,,6958.8,2486.8,562.7,1418.2,395078.3,1917.8,5175.2,77.2,784.9
2015,5048905.6,4030650.9,1428.9,32674.6,4.9,180.8,10292.0,7030.9,491906.0,64.8,98699.7,375.1,8060.5,2701.2,,6226.6,4246.3,1187.4,1211.1,340315.9,1902.9,9089.4,75.5,580.5
2014,4657213.0442,3914595.036,1942.0258000000001,28725.4471,5.8599,275.1563,9075.384,18023.6368,473793.87350000005,105.66189999999999,63645.7258,401.90520000000004,4944.1578,2394.3302,,5586.6588,2062.0381,464.4545,934.1087,123691.8408,1045.6183,4857.8521,122.3866,519.886
2013,4461455.6,3755416.3,1948.0,24449.8,13.4,107.5,9034.1,38048.3,413168.4,51.7,55307.0,427.9,3680.2,3848.0,,5447.3,1865.7,753.4,493.8,142245.4,318.6,4504.5,71.4,254.9
2012,4486756.5,3772830.9,403.4,21402.3,4.0,97.2,9665.3,13361.2,386454.2,32.3,64009.7,396.4,3668.1,2016.0,,7174.6,3398.3,14344.9,407.9,182320.0,164.0,4381.8,20.1,
2011,4089432.4457,3390993.7531000003,496.6332,17118.6371,19.5909,18.4639,13516.3238,13385.9903,373669.2808,35.7568,45302.4358,345.1841,3067.5932,1327.7397,5.5482,3781.5930999999996,1307.6006,1493.9184,341.2766,219006.70950000003,119.3753,3813.4984,56.3034,209.1695
2010,3301671.1,2722026.4,374.1,12763.6,35.4,2.2,40715.5,2260.4,276449.5,22.1,35249.6,329.4,2841.4,975.4,,7005.2,1138.6,841.7,382.1,194602.9,196.5,3161.0,28.0,270.0
2009,2492696.0,2064177.0,704.0,9655.0,16.0,2.0,5564.0,4744.0,208533.0,40.0,52756.0,323.0,1614.0,800.0,,3724.0,394.0,606.0,463.0,135426.0,130.0,2466.0,,558.0
2008,2587811.7352,2224726.426,87.0316,9108.844500000001,38.1398,,5299.7699,3464.3261,250953.1087,94.0399,34406.1296,391.6325,1190.2154,796.5651,,2525.4157,246.2178,4625.0585,424.2473,45696.219,305.7389,2695.1709,,737.303
2007,2110096.2636,1798965.8537,113.2261,6368.3285000000005,14.2718,4.0306,3075.6331,2094.4401,216016.76,175.1851,21259.2386,358.0705,1017.8881,732.1334,,1154.831,1668.8163,663.8488,917.1672,51721.6794,74.2677,2680.0794,,1016.2451
2006,1600925.6745999998,1362488.2168,82.1438,6799.6961,13.0,,1917.1069,1832.3867,161978.0716,53.4737,12639.663499999999,472.7642,501.1979,374.0467,,1295.1124,118.1138,1088.1678,287.6027,45717.6226,68.5732,1888.5335,,1305.9
2005,1288713.0,1106150.0,44.0,4300.0,1.0,3.0,1515.0,780.0,135344.0,26.0,6659.0,572.0,508.0,294.0,,594.0,141.0,635.0,242.0,28097.0,68.0,1566.0,,1168.0
2004,1017062.3,883825.1,82.6,3253.2,24.8,9.9,825.8,722.8,107736.6,35.9,5252.4,391.0,332.0,627.8,,588.5,87.3,224.4,744.8,10457.7,43.3,758.4,,1038.2
2003,729001.0,626358.0,49.7,2596.6,32.7,5.0,763.2,288.5,80251.0,38.2,6092.6,322.9,211.6,204.3,,283.2,89.1,6.7,274.3,10020.6,18.9,328.8,,755.7
2002,528920.0,458504.0,7.0,3057.0,15.0,42.0,367.0,141.0,59597.0,12.0,2725.0,274.0,107.0,483.0,,279.0,49.0,,130.0,2369.0,29.0,,,733.0
2001,407440.0,357043.0,27.0,2608.0,1.0,39.0,305.0,115.0,43493.0,3.0,1913.0,313.0,102.0,117.0,,232.0,50.0,,186.0,182.0,163.0,,,544.0
2000,391022.0,342888.0,25.0,1514.0,,,,,41603.0,34.0,2486.0,,,,,,,,,,,,,
