年份,艺术表演场馆收入合计,国有艺术表演场馆收入合计,集体艺术表演场馆收入合计,其他艺术表演场馆收入合计_x,执行事业会计制度艺术表演场馆收入合计,执行企业会计制度艺术表演场馆收入合计,文化部门艺术表演场馆收入合计,其他部门艺术表演场馆收入合计,剧场收入合计,影剧院收入合计,书场、曲艺场收入合计,杂技、马戏场收入合计,音乐厅收入合计,综合性艺术表演场馆收入合计,其他艺术表演场馆收入合计_y,中央艺术表演场馆收入合计,省、区、市艺术表演场馆收入合计,地、市艺术表演场馆收入合计,县、市及以下艺术表演场馆收入合计
2019,1772329,473932,3506,1294891,350044,1422285,,,709559,192821,13268,77066,82319,319578,377717,3008,229203,166332,1373787
2018,1324795,427879,3589,893328,313839,1010956,,,701715,172341,5122,95822,47994,220879,80922,3242,198412,158122,965020
2017,1243006.3,419404.6,2950,820651.7,322955.4,920050.9,,,644975.4,134877.3,4516.1,20483.4,53057.8,318980.1,66116.2,9850.3,205217.6,207164.6,820773.8
2016,964563.1,342717.5,3714.9,618130.7,253898.2,710664.9,,,507766.8,111162,1213,9304.4,26979.3,238241.6,69896,9345.2,158033.9,144596.1,652587.9
2015,867630.4,394007.9,3682.7,469939.8,287465.2,580165.2,,,469555.2,141680.8,3072,25126,29296.4,157960,40940,8243.2,187158.2,204834.3,467394.7
2014,403699.1,318888,2125.5,82685.6,233930.3,169768.8,,,214509.8,113052.3,1634.5,336,18599,50673.7,4893.8,5940.6,142123.4,144858,110777.1
2013,426361,329804,2107,94450,245059,181302,,,230011,104009,1687,312,16687,69382,4273,4331,166998,152284,102748
2012,797506.2,294991.9,865.1,501649.2,193535.6,603970.6,241069.2,556437.1,421260.6,134673.2,18729.8,2806.5,46168.1,137113.3,36754.8,3416.6,157902.3,197909.9,438277.5
2011,717136,334823.1,3710,378602.9,242746.7,474389.3,266099.2,451036.8,261959.6,119997.8,3516.7,23989.6,88599.5,152738.4,66334.4,2685.3,229138.4,206012.5,279299.8
2010,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,
