年份,艺术表演场馆演出收入,国有艺术表演场馆演出收入,集体艺术表演场馆演出收入,其他艺术表演场馆演出收入_x,执行事业会计制度艺术表演场馆演出收入,执行企业会计制度艺术表演场馆演出收入,文化部门艺术表演场馆演出收入,其他部门艺术表演场馆演出收入,剧场演出收入,影剧院演出收入,书场、曲艺场演出收入,杂技、马戏场演出收入,音乐厅演出收入,综合性艺术表演场馆演出收入,其他艺术表演场馆演出收入_y,中央艺术表演场馆演出收入,省、区、市艺术表演场馆演出收入,地、市艺术表演场馆演出收入,县、市及以下艺术表演场馆演出收入
2019,559160,93499,654,465006,48231,510928,,,239224,59819,10562,63052,37874,78434,70195,1375,64419,42646,450721
2018,374392,86594,608,287190,52477,321915,,,221893,51864,3868,27367,22230,37319,9851,1568,59327,33556,279942
2017,432753.9,84793.2,586,347374.7,51613.5,381140.4,,,279956.5,12394.9,3778.6,19578.7,29241.9,63028.1,24775.2,5167.6,53161.6,40318.9,334105.8
2016,273060.1,70806.9,87.6,202165.6,43266.9,229793.2,,,174244.4,9343.5,519.4,3509.2,7992.3,59279.3,18172,4821.3,45887.3,25434,196917.5
2015,257173.3,71657.6,128.1,185387.6,44909.6,212263.7,,,172791.7,11592.1,880.4,24155.8,8461.8,29759,9532.5,3981.9,51372.8,28518.4,173300.2
2014,84512.2,62208.4,118.7,22185.1,38965.4,45546.8,,,52237.6,14110,243.9,52.5,4832.2,12155.8,880.2,4028.7,39065.5,26226.7,15191.3
2013,82489,62844,166,19479,43654,38835,,,53729,8825,101,110,4972,13691,1061,2111,43395,21381,15602
2012,281880.7,81400.8,281.6,200198.4,43803.8,238076.9,44453.8,237427.0,187708.8,12826,11770.4,1740.8,17512,29276.4,21046.2,562.7,64403.4,71674.4,145240.2
2011,187188.4,87546.1,2280.5,97361.8,55155,132033.4,51227.3,135961.1,91638,14343.7,2704.6,22163.4,28315.4,21490.5,6532.8,192.6,90360,49708.3,46927.5
2010,137971.9,77734,1576.3,58661.6,,,38309.4,99662.5,52715.3,11701.5,2257.5,2063.5,45491.7,16160.7,7581.7,59.3,82100.2,16548.9,39263.5
2009,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,
