年份,艺术表演场馆坐席数,国有艺术表演场馆坐席数,集体艺术表演场馆坐席数,其他艺术表演场馆坐席数_x,执行事业会计制度艺术表演场馆坐席数,执行企业会计制度艺术表演场馆坐席数,文化部门艺术表演场馆坐席数,其他部门艺术表演场馆坐席数,剧场坐席数,影剧院坐席数,书场、曲艺场坐席数,杂技、马戏场坐席数,音乐厅坐席数,综合性艺术表演场馆坐席数,其他艺术表演场馆坐席数_y,中央艺术表演场馆坐席数,省、区、市艺术表演场馆坐席数,地、市艺术表演场馆坐席数,县、市及以下艺术表演场馆坐席数
2019,1818662,826247,11620,980795,624890,1193772,,,688525,382074,44748,32345,47939,450962,172069,6670,103304,254205,1454483
2018,1920410,989316,11725,919369,778410,1142000,,,876976,518333,5953,116458,21185,231953,149552,6670,93638,262237,1557865
2017,1796055,917341,11721,866993,701788,1094267,,,728034,451774,4656,11712,24577,230499,344803,6592,90644,261535,1437284
2016,1689268,908016,11285,769967,691454,997814,,,851217,426697,2715,14313,20877,265817,107632,6592,92746,262356,1327574
2015,1786688,956390,11550,818748,682370,1104318,,,663009,444132,34980,6262,18184,468628,151493,6671,92366,256149,1431502
2014,1187359,907650,10400,269309,694364,492995,,,445654,431399,566,3462,12831,276571,16876,6684,88552,251788,840335
2013,1027946,920635,10830,96481,710195,317751,,,436776,452527,808,3462,12832,105952,15589,5657,91915,259040,671334
2012,1915677,1121543,13209,780925,751853,1163824,945580.0,970097.0,813118,572684,5991,6760,15852,360238,141034,6661,135739,333458,1439819
2011,1532842,1200137,47551,285154,869963,662879,1080266.0,452576.0,563200,580098,6202,14836,21155,231639,115712,6578,167535,309873,1048856
2010,1617320,1199481,74669,343170,,,1077250.0,540070.0,539348,623656,6927,15849,21272,327609,82659,3758,156272,293411,1163879
2009,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,
