年份,高技术产业研究与试验发展项目数(大中型工业企业口径),医药制造业高技术产业研究与试验发展项目数(大中型工业企业口径),化学药品制造高技术产业研究与试验发展项目数(大中型工业企业口径),中成药制造高技术产业研究与试验发展项目数(大中型工业企业口径),生物、生化制品的制造高技术产业研究与试验发展项目数(大中型工业企业口径),航空航天器制造业高技术产业研究与试验发展项目数(大中型工业企业口径),电子及通信设备制造业高技术产业研究与试验发展项目数(大中型工业企业口径),通信设备制造业高技术产业研究与试验发展项目数(大中型工业企业口径),雷达及配套设备制造业高技术产业研究与试验发展项目数(大中型工业企业口径),广播电视设备制造业高技术产业研究与试验发展项目数(大中型工业企业口径),电子器件制造业高技术产业研究与试验发展项目数(大中型工业企业口径),电子元件制造业高技术产业研究与试验发展项目数(大中型工业企业口径),家用视听设备制造业高技术产业研究与试验发展项目数(大中型工业企业口径),其他电子设备制造高技术产业研究与试验发展项目数(大中型工业企业口径),电子计算机及办公设备制造业高技术产业研究与试验发展项目数(大中型工业企业口径),电子计算机整机制造业高技术产业研究与试验发展项目数(大中型工业企业口径),电子计算机外部设备制造业高技术产业研究与试验发展项目数(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业研究与试验发展项目数(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业研究与试验发展项目数(大中型工业企业口径),仪器仪表制造业高技术产业研究与试验发展项目数(大中型工业企业口径)
2019,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2010,37518.0,8754.0,5597.0,1944.0,709.0,2039.0,17290.0,5062.0,542.0,157.0,3558.0,4504.0,2788.0,679.0,5983.0,3868.0,1875.0,3452.0,487.0,2965.0
2009,31814.0,8272.0,5273.0,1949.0,577.0,1863.0,16554.0,5769.0,524.0,167.0,3434.0,3431.0,2813.0,416.0,1652.0,456.0,868.0,3473.0,541.0,2932.0
2008,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,
