年份,私营工业企业本年应交增值税,煤炭开采和洗选业私营工业企业本年应交增值税,石油和天然气开采业私营工业企业本年应交增值税,黑色金属矿采选业私营工业企业本年应交增值税,有色金属矿采选业私营工业企业本年应交增值税,非金属矿采选业私营工业企业本年应交增值税,开采辅助活动私营工业企业本年应交增值税,其他采矿业私营工业企业本年应交增值税,农副食品加工业私营工业企业本年应交增值税,食品制造业私营工业企业本年应交增值税,酒、饮料和精制茶制造业私营工业企业本年应交增值税,烟草制品业私营工业企业本年应交增值税,纺织业私营工业企业本年应交增值税,纺织服装、服饰业私营工业企业本年应交增值税,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业本年应交增值税,木材加工和木、竹、藤、棕、草制品业私营工业企业本年应交增值税,家具制造业私营工业企业本年应交增值税,造纸和纸制品业私营工业企业本年应交增值税,印刷和记录媒介复制业私营工业企业本年应交增值税,文教、工美、体育和娱乐用品制造业私营工业企业本年应交增值税,石油加工、炼焦和核燃料加工业私营工业企业本年应交增值税,化学原料和化学制品制造业私营工业企业本年应交增值税,医药制造业私营工业企业本年应交增值税,化学纤维制造业私营工业企业本年应交增值税,橡胶和塑料制品业私营工业企业本年应交增值税,非金属矿物制品业私营工业企业本年应交增值税,黑色金属冶炼和压延加工业私营工业企业本年应交增值税,有色金属冶炼和压延加工业私营工业企业本年应交增值税,金属制品业私营工业企业本年应交增值税,通用设备制造业私营工业企业本年应交增值税,专用设备制造业私营工业企业本年应交增值税,汽车制造业私营工业企业本年应交增值税,铁路、船舶、航空航天和其他运输设备私营工业企业本年应交增值税,电气机械和器材制造业私营工业企业本年应交增值税,计算机、通信和其他电子设备制造业私营工业企业本年应交增值税,仪器仪表制造业私营工业企业本年应交增值税,其他制造业私营工业企业本年应交增值税,废弃资源综合利用业私营工业企业本年应交增值税,金属制品、机械和设备修理业私营工业企业本年应交增值税,电力、热力生产和供应业私营工业企业本年应交增值税,燃气生产和供应业私营工业企业本年应交增值税,水的生产和供应业私营工业企业本年应交增值税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,10361.76,291.46,1.47,275.77,75.5,111.42,1.7,0.65,647.55,195.18,145.71,0.41,546.1,284.66,175.97,263.34,107.92,141.55,94.69,188.55,98.96,855.67,271.1,77.39,374.21,941.59,545.74,413.28,532.89,622.36,441.3,299.27,157.73,675.02,250.11,113.15,32.1,66.42,7.52,24.74,8.55,3.06
2013,9961.18,341.66,1.1,308.01,76.95,109.75,1.09,0.71,658.9,184.37,142.74,0.3,521.15,267.28,159.89,246.08,102.31,148.99,80.08,166.23,115.48,796.06,235.44,73.31,369.09,929.82,588.42,398.57,481.19,578.18,400.92,268.55,149.1,616.8,208.01,105.05,32.44,55.18,8.17,22.69,7.62,3.49
2012,8239.81,375.9757,1.32972,250.10135,75.86096,89.86499,0.75579,0.6306,516.382,160.66047,111.84433,0.11978,441.58139,219.80961,136.20698,205.36094,86.23562,136.20782,57.23767,117.55208,118.72107,648.48072,169.73198,61.26745,289.18088,780.13028,495.25088,311.63255,400.78332,459.86536,313.58975,223.44126,134.97844,496.87773,164.79726,86.75683,27.10226,37.73376,8.43121,20.25023,4.34836,2.74423
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
