年份,私营工业企业出口交货值,煤炭开采和洗选业私营工业企业出口交货值,石油和天然气开采业私营工业企业出口交货值,黑色金属矿采选业私营工业企业出口交货值,有色金属矿采选业私营工业企业出口交货值,非金属矿采选业私营工业企业出口交货值,开采辅助活动私营工业企业出口交货值,其他采矿业私营工业企业出口交货值,农副食品加工业私营工业企业出口交货值,食品制造业私营工业企业出口交货值,酒、饮料和精制茶制造业私营工业企业出口交货值,烟草制品业私营工业企业出口交货值,纺织业私营工业企业出口交货值,纺织服装、服饰业私营工业企业出口交货值,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业出口交货值,木材加工和木、竹、藤、棕、草制品业私营工业企业出口交货值,家具制造业私营工业企业出口交货值,造纸和纸制品业私营工业企业出口交货值,印刷和记录媒介复制业私营工业企业出口交货值,文教、工美、体育和娱乐用品制造业私营工业企业出口交货值,石油加工、炼焦和核燃料加工业私营工业企业出口交货值,化学原料和化学制品制造业私营工业企业出口交货值,医药制造业私营工业企业出口交货值,化学纤维制造业私营工业企业出口交货值,橡胶和塑料制品业私营工业企业出口交货值,非金属矿物制品业私营工业企业出口交货值,黑色金属冶炼和压延加工业私营工业企业出口交货值,有色金属冶炼和压延加工业私营工业企业出口交货值,金属制品业私营工业企业出口交货值,通用设备制造业私营工业企业出口交货值,专用设备制造业私营工业企业出口交货值,汽车制造业私营工业企业出口交货值,铁路、船舶、航空航天和其他运输设备私营工业企业出口交货值,电气机械和器材制造业私营工业企业出口交货值,计算机、通信和其他电子设备制造业私营工业企业出口交货值,仪器仪表制造业私营工业企业出口交货值,其他制造业私营工业企业出口交货值,废弃资源综合利用业私营工业企业出口交货值,金属制品、机械和设备修理业私营工业企业出口交货值,电力、热力生产和供应业私营工业企业出口交货值,燃气生产和供应业私营工业企业出口交货值,水的生产和供应业私营工业企业出口交货值
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,21086.86,3.91,,0.68,4.03,11.5,0.04,,1149.8,318.52,75.39,,1408.83,1517.29,1103.02,468.64,617.07,105.28,79.02,1436.99,100.96,1020.32,287.24,190.05,1131.57,585.21,420.21,301.97,1169.72,936.15,677.78,523.0,598.99,1694.83,2717.88,217.1,185.6,2.18,25.95,,0.14,
2015,19407.4,3.96,0.0,1.48,8.32,11.4,0.05,0.0,1208.59,339.78,74.97,0.0,1375.13,1522.64,1035.0,408.93,557.5,94.05,72.3,1461.21,0.95,1058.53,276.02,179.93,980.56,578.16,297.28,261.94,1175.31,886.25,617.85,462.78,470.33,1653.27,1922.66,207.37,173.63,1.97,25.89,0.4,0.6,0.4
2014,19019.69,9.04,0.0,0.0,10.96,8.29,0.0,1.35,1129.21,327.2,71.64,0.0,1397.91,1522.26,1018.26,388.99,512.59,98.14,82.39,1724.26,12.93,1001.48,238.92,172.91,1081.69,630.05,352.77,288.52,1136.65,900.08,561.21,401.28,499.91,1585.22,1471.2,179.49,182.05,1.41,19.44,0.0,0.0,0.0
2013,17084.72,17.4,0.0,0.0,11.66,12.6,0.0,0.0,1178.44,366.6,73.96,0.0,1407.23,1460.21,877.57,396.06,469.38,94.97,73.13,1394.05,36.49,910.88,186.49,154.48,945.24,530.46,285.5,243.51,1115.87,828.62,491.68,366.18,435.54,1428.62,966.34,147.15,168.76,1.86,7.75,0.02,0.01,0.0
2012,14810.62141,2.53114,,3.36618,11.92658,12.10341,,,837.95571,296.85176,59.08778,,1292.54674,1327.48579,769.55038,356.27984,402.30725,78.57422,49.55872,1091.43418,10.17901,831.75671,197.86719,149.71424,719.2943,482.53727,263.06467,209.00783,953.59617,749.18717,374.20289,434.87115,411.65791,1363.13822,743.15286,156.17104,157.91964,2.71775,8.24108,0.52941,0.25522,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
