年份,私营工业企业存货,煤炭开采和洗选业私营工业企业存货,石油和天然气开采业私营工业企业存货,黑色金属矿采选业私营工业企业存货,有色金属矿采选业私营工业企业存货,非金属矿采选业私营工业企业存货,开采辅助活动私营工业企业存货,其他采矿业私营工业企业存货,农副食品加工业私营工业企业存货,食品制造业私营工业企业存货,酒、饮料和精制茶制造业私营工业企业存货,烟草制品业私营工业企业存货,纺织业私营工业企业存货,纺织服装、服饰业私营工业企业存货,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业存货,木材加工和木、竹、藤、棕、草制品业私营工业企业存货,家具制造业私营工业企业存货,造纸和纸制品业私营工业企业存货,印刷和记录媒介复制业私营工业企业存货,文教、工美、体育和娱乐用品制造业私营工业企业存货,石油加工、炼焦和核燃料加工业私营工业企业存货,化学原料和化学制品制造业私营工业企业存货,医药制造业私营工业企业存货,化学纤维制造业私营工业企业存货,橡胶和塑料制品业私营工业企业存货,非金属矿物制品业私营工业企业存货,黑色金属冶炼和压延加工业私营工业企业存货,有色金属冶炼和压延加工业私营工业企业存货,金属制品业私营工业企业存货,通用设备制造业私营工业企业存货,专用设备制造业私营工业企业存货,汽车制造业私营工业企业存货,铁路、船舶、航空航天和其他运输设备私营工业企业存货,电气机械和器材制造业私营工业企业存货,计算机、通信和其他电子设备制造业私营工业企业存货,仪器仪表制造业私营工业企业存货,其他制造业私营工业企业存货,废弃资源综合利用业私营工业企业存货,金属制品、机械和设备修理业私营工业企业存货,电力、热力生产和供应业私营工业企业存货,燃气生产和供应业私营工业企业存货,水的生产和供应业私营工业企业存货
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
