年份,私营工业企业累计折旧,煤炭开采和洗选业私营工业企业累计折旧,石油和天然气开采业私营工业企业累计折旧,黑色金属矿采选业私营工业企业累计折旧,有色金属矿采选业私营工业企业累计折旧,非金属矿采选业私营工业企业累计折旧,开采辅助活动私营工业企业累计折旧,其他采矿业私营工业企业累计折旧,农副食品加工业私营工业企业累计折旧,食品制造业私营工业企业累计折旧,酒、饮料和精制茶制造业私营工业企业累计折旧,烟草制品业私营工业企业累计折旧,纺织业私营工业企业累计折旧,纺织服装、服饰业私营工业企业累计折旧,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业累计折旧,木材加工和木、竹、藤、棕、草制品业私营工业企业累计折旧,家具制造业私营工业企业累计折旧,造纸和纸制品业私营工业企业累计折旧,印刷和记录媒介复制业私营工业企业累计折旧,文教、工美、体育和娱乐用品制造业私营工业企业累计折旧,石油加工、炼焦和核燃料加工业私营工业企业累计折旧,化学原料和化学制品制造业私营工业企业累计折旧,医药制造业私营工业企业累计折旧,化学纤维制造业私营工业企业累计折旧,橡胶和塑料制品业私营工业企业累计折旧,非金属矿物制品业私营工业企业累计折旧,黑色金属冶炼和压延加工业私营工业企业累计折旧,有色金属冶炼和压延加工业私营工业企业累计折旧,金属制品业私营工业企业累计折旧,通用设备制造业私营工业企业累计折旧,专用设备制造业私营工业企业累计折旧,汽车制造业私营工业企业累计折旧,铁路、船舶、航空航天和其他运输设备私营工业企业累计折旧,电气机械和器材制造业私营工业企业累计折旧,计算机、通信和其他电子设备制造业私营工业企业累计折旧,仪器仪表制造业私营工业企业累计折旧,其他制造业私营工业企业累计折旧,废弃资源综合利用业私营工业企业累计折旧,金属制品、机械和设备修理业私营工业企业累计折旧,电力、热力生产和供应业私营工业企业累计折旧,燃气生产和供应业私营工业企业累计折旧,水的生产和供应业私营工业企业累计折旧
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,52749.08,621.52,18.34,400.77,211.96,256.33,14.71,1.22,3974.5,1310.01,767.37,12.39,3143.5,1159.39,725.62,1131.77,464.93,706.19,641.85,667.04,857.8,4886.6,2253.19,684.21,1889.09,4814.37,3465.03,1451.37,2390.37,2699.07,2371.59,1689.76,943.93,2872.14,1465.75,491.35,153.76,107.05,36.06,818.07,105.8,73.33
2016,58918.19,703.65,16.57,811.99,242.78,387.28,15.48,1.93,5243.96,1484.08,806.81,2.71,3656.93,1397.76,814.56,1338.82,551.79,776.9,646.82,861.54,875.71,5069.59,1452.8,594.51,2225.02,5180.93,4487.0,1473.14,2654.23,3032.27,2724.81,1893.76,1025.18,3285.22,1338.65,572.97,178.68,250.26,35.21,643.93,103.26,58.67
2015,54120.33,739.2,17.47,758.85,229.41,362.72,15.31,1.54,5008.52,1331.72,685.61,2.78,3268.52,1234.46,694.8,1200.69,521.31,742.76,563.55,698.6,870.57,4696.8,1324.12,531.14,2106.53,4748.78,4218.43,1673.23,2630.59,2836.46,2390.73,1664.74,803.56,2902.49,1120.24,493.15,155.06,173.38,32.96,552.23,72.39,44.92
2014,49895.89,734.21,15.33,811.21,224.09,386.09,13.04,1.09,4455.14,911.86,635.41,2.07,2956.93,1081.86,604.03,1087.13,461.43,729.69,493.65,588.56,833.37,4402.59,1125.26,428.19,1955.35,4371.23,4524.74,1510.09,2382.3,2826.94,2131.57,1447.2,715.01,2646.32,1089.47,489.84,118.23,154.98,31.85,435.37,49.2,33.99
2013,43358.32,728.47,13.22,579.82,209.96,313.27,6.94,1.05,4209.85,774.33,479.87,1.4,2534.08,908.42,498.13,868.39,395.68,715.21,399.19,441.46,923.6,3790.43,905.78,403.43,1871.29,3630.97,4217.94,1392.77,2025.25,2355.7,1761.22,1234.37,582.78,2314.52,840.74,314.52,91.62,130.9,37.19,386.82,39.07,28.67
2012,31930.96677,591.94538,22.54857,430.69848,147.80259,304.40835,4.12243,0.69265,2850.84291,519.36055,450.42105,0.2703,1954.49788,687.38071,388.97655,636.91864,240.25631,522.20597,264.2359,257.48261,678.3872,2623.26862,506.93044,331.71831,1278.10574,2929.35527,3259.5095,826.08867,1573.06333,1797.28917,1212.9798,984.95625,473.61372,1792.08124,602.093,244.43718,84.65537,96.88925,47.67087,274.70602,19.87646,18.22353
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
