年份,私营工业企业外商资本金,煤炭开采和洗选业私营工业企业外商资本金,石油和天然气开采业私营工业企业外商资本金,黑色金属矿采选业私营工业企业外商资本金,有色金属矿采选业私营工业企业外商资本金,非金属矿采选业私营工业企业外商资本金,开采辅助活动私营工业企业外商资本金,其他采矿业私营工业企业外商资本金,农副食品加工业私营工业企业外商资本金,食品制造业私营工业企业外商资本金,酒、饮料和精制茶制造业私营工业企业外商资本金,烟草制品业私营工业企业外商资本金,纺织业私营工业企业外商资本金,纺织服装、服饰业私营工业企业外商资本金,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业外商资本金,木材加工和木、竹、藤、棕、草制品业私营工业企业外商资本金,家具制造业私营工业企业外商资本金,造纸和纸制品业私营工业企业外商资本金,印刷和记录媒介复制业私营工业企业外商资本金,文教、工美、体育和娱乐用品制造业私营工业企业外商资本金,石油加工、炼焦和核燃料加工业私营工业企业外商资本金,化学原料和化学制品制造业私营工业企业外商资本金,医药制造业私营工业企业外商资本金,化学纤维制造业私营工业企业外商资本金,橡胶和塑料制品业私营工业企业外商资本金,非金属矿物制品业私营工业企业外商资本金,黑色金属冶炼和压延加工业私营工业企业外商资本金,有色金属冶炼和压延加工业私营工业企业外商资本金,金属制品业私营工业企业外商资本金,通用设备制造业私营工业企业外商资本金,专用设备制造业私营工业企业外商资本金,汽车制造业私营工业企业外商资本金,铁路、船舶、航空航天和其他运输设备私营工业企业外商资本金,电气机械和器材制造业私营工业企业外商资本金,计算机、通信和其他电子设备制造业私营工业企业外商资本金,仪器仪表制造业私营工业企业外商资本金,其他制造业私营工业企业外商资本金,废弃资源综合利用业私营工业企业外商资本金,金属制品、机械和设备修理业私营工业企业外商资本金,电力、热力生产和供应业私营工业企业外商资本金,燃气生产和供应业私营工业企业外商资本金,水的生产和供应业私营工业企业外商资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,137.84,0.06,0.0,0.0,0.02,0.0,0.0,0.0,4.03,0.68,9.41,0.0,1.98,0.99,0.97,3.47,0.65,0.01,0.04,1.34,0.69,20.57,4.33,0.18,2.86,11.75,2.78,4.17,26.79,5.37,2.33,0.54,16.99,6.88,1.93,1.74,1.1,0.46,0.0,2.53,0.0,0.2
2016,144.88,,,,0.05,0.01,,,11.31,0.24,1.53,,3.57,1.8,1.38,3.91,1.16,,1.44,6.24,,9.11,1.25,,3.13,8.07,4.09,4.09,40.03,4.13,2.92,4.09,16.69,9.31,1.63,1.55,1.37,0.1,,0.5,,0.2
2015,118.63,0.03,0.0,0.02,0.07,0.02,0.0,0.0,4.3,3.43,2.17,0.0,7.25,3.98,0.8,5.79,1.32,0.02,1.62,2.17,0.01,12.9,0.39,2.12,1.28,5.38,2.36,4.79,14.98,5.51,1.77,3.44,16.57,8.76,3.32,0.32,1.27,0.0,0.0,0.49,0.0,0.0
2014,126.89,0.36,0.0,0.02,0.04,0.22,0.0,0.0,6.29,3.0,4.16,0.0,6.99,2.03,3.13,1.32,0.99,0.02,0.5,2.61,0.04,12.92,2.63,2.34,1.49,8.07,1.62,1.23,13.04,3.6,7.15,3.5,16.59,14.99,3.92,0.2,1.43,0.0,0.0,0.42,0.0,0.0
2013,138.53,0.53,0.0,0.03,0.22,0.46,0.0,0.0,6.17,3.76,4.72,0.0,4.21,3.31,2.82,0.51,1.17,2.48,0.4,2.31,0.0,11.9,3.12,2.41,1.08,7.04,7.92,2.43,11.96,2.33,5.31,3.08,15.06,26.06,2.43,0.65,1.32,1.13,0.0,0.2,0.0,0.0
2012,113.21574,0.0037,,0.0752,0.01115,0.34169,,,3.43384,1.90675,3.66884,,5.11462,2.88262,3.71299,0.88962,1.12707,2.8263,0.91303,1.6544,,5.84512,2.22423,2.41359,1.62906,24.97129,5.25611,2.15302,4.4773,3.39069,6.06663,1.96093,14.64126,4.22173,2.8162,0.3063,1.30181,0.97365,,,0.005,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
