年份,私营工业企业单位数,煤炭开采和洗选业私营工业企业单位数,石油和天然气开采业私营工业企业单位数,黑色金属矿采选业私营工业企业单位数,有色金属矿采选业私营工业企业单位数,非金属矿采选业私营工业企业单位数,开采辅助活动私营工业企业单位数,其他采矿业私营工业企业单位数,农副食品加工业私营工业企业单位数,食品制造业私营工业企业单位数,酒、饮料和精制茶制造业私营工业企业单位数,烟草制品业私营工业企业单位数,纺织业私营工业企业单位数,纺织服装、服饰业私营工业企业单位数,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业单位数,木材加工和木、竹、藤、棕、草制品业私营工业企业单位数,家具制造业私营工业企业单位数,造纸和纸制品业私营工业企业单位数,印刷和记录媒介复制业私营工业企业单位数,文教、工美、体育和娱乐用品制造业私营工业企业单位数,石油加工、炼焦和核燃料加工业私营工业企业单位数,化学原料和化学制品制造业私营工业企业单位数,医药制造业私营工业企业单位数,化学纤维制造业私营工业企业单位数,橡胶和塑料制品业私营工业企业单位数,非金属矿物制品业私营工业企业单位数,黑色金属冶炼和压延加工业私营工业企业单位数,有色金属冶炼和压延加工业私营工业企业单位数,金属制品业私营工业企业单位数,通用设备制造业私营工业企业单位数,专用设备制造业私营工业企业单位数,汽车制造业私营工业企业单位数,铁路、船舶、航空航天和其他运输设备私营工业企业单位数,电气机械和器材制造业私营工业企业单位数,计算机、通信和其他电子设备制造业私营工业企业单位数,仪器仪表制造业私营工业企业单位数,其他制造业私营工业企业单位数,废弃资源综合利用业私营工业企业单位数,金属制品、机械和设备修理业私营工业企业单位数,电力、热力生产和供应业私营工业企业单位数,燃气生产和供应业私营工业企业单位数,水的生产和供应业私营工业企业单位数
2019,243640,2192,10,781,568,2233,122,6,14355,4849,3441,7,13980,9110,6148,7573,4925,4578,3830,5885,1128,12901,3670,1432,13298,25257,3588,4755,17753,16671,12205,8839,2814,16662,9932,2805,1071,1258,185,1900,590,333
2018,235424,2258,9,989,675,2230,57,11,15855,4988,3833,5,13575,8747,5239,6922,4212,4134,3423,5467,1027,12994,3463,1266,11118,21667,3228,4080,15481,14663,10530,7973,2669,13880,7612,2173,983,977,134,1479,376,226
2017,215138,2229,7,986,679,2172,55,13,15527,4885,3764,8,13222,8534,5004,6668,4091,4071,3331,5276,920,12800,3398,1248,10922,21089,5117,4033,13052,14438,10251,7710,2596,13621,7166,2185,1068,879,130,1406,369,218
2016,214309,2621,8,1205,763,2311,43,16,16165,4860,3779,5,13614,8922,5207,6689,3665,3939,3239,5214,933,13377,3308,1260,10631,20883,5503,4019,12774,14106,9957,7328,2629,13086,6493,2059,1056,865,132,1121,326,198
2015,216506,3229,9,1730,915,2381,43,14,15931,4680,3520,4,14016,9034,5130,6784,3433,4037,3119,5079,1034,13828,3242,1364,10610,20910,6243,4182,12993,14727,10065,7114,2690,13088,5964,2026,1000,824,139,900,305,170
2014,213789,3865,12,2335,986,2380,47,14,15486,4389,3280,3,14131,8929,4973,6604,3204,4025,3001,4750,1070,13749,3120,1375,10427,20235,6852,4284,12806,14801,9819,6767,2665,12782,5515,1977,972,809,141,778,283,148
2013,208409,4484,11,2571,1061,2373,44,12,14996,4210,3055,3,14269,8650,4752,6527,3019,4190,2869,4397,1100,13626,2929,1408,10029,19186,7304,4275,12297,14316,9382,6224,2642,12283,5107,1925,924,760,152,678,240,129
2012,189289,4472,12,2493,1038,2136,39,12,13717,3830,2731,4,13573,7789,4254,6192,2642,4165,2243,3607,1056,12543,2610,1305,9064,17084,7087,3999,11166,12832,8123,5414,2511,11080,4201,1731,818,651,162,590,196,117
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
