年份,私营工业企业营业利润,煤炭开采和洗选业私营工业企业营业利润,石油和天然气开采业私营工业企业营业利润,黑色金属矿采选业私营工业企业营业利润,有色金属矿采选业私营工业企业营业利润,非金属矿采选业私营工业企业营业利润,开采辅助活动私营工业企业营业利润,其他采矿业私营工业企业营业利润,农副食品加工业私营工业企业营业利润,食品制造业私营工业企业营业利润,酒、饮料和精制茶制造业私营工业企业营业利润,烟草制品业私营工业企业营业利润,纺织业私营工业企业营业利润,纺织服装、服饰业私营工业企业营业利润,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业营业利润,木材加工和木、竹、藤、棕、草制品业私营工业企业营业利润,家具制造业私营工业企业营业利润,造纸和纸制品业私营工业企业营业利润,印刷和记录媒介复制业私营工业企业营业利润,文教、工美、体育和娱乐用品制造业私营工业企业营业利润,石油加工、炼焦和核燃料加工业私营工业企业营业利润,化学原料和化学制品制造业私营工业企业营业利润,医药制造业私营工业企业营业利润,化学纤维制造业私营工业企业营业利润,橡胶和塑料制品业私营工业企业营业利润,非金属矿物制品业私营工业企业营业利润,黑色金属冶炼和压延加工业私营工业企业营业利润,有色金属冶炼和压延加工业私营工业企业营业利润,金属制品业私营工业企业营业利润,通用设备制造业私营工业企业营业利润,专用设备制造业私营工业企业营业利润,汽车制造业私营工业企业营业利润,铁路、船舶、航空航天和其他运输设备私营工业企业营业利润,电气机械和器材制造业私营工业企业营业利润,计算机、通信和其他电子设备制造业私营工业企业营业利润,仪器仪表制造业私营工业企业营业利润,其他制造业私营工业企业营业利润,废弃资源综合利用业私营工业企业营业利润,金属制品、机械和设备修理业私营工业企业营业利润,电力、热力生产和供应业私营工业企业营业利润,燃气生产和供应业私营工业企业营业利润,水的生产和供应业私营工业企业营业利润
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,22824.85,384.28,1.2,115.16,102.76,189.57,5.04,0.86,1551.28,559.74,435.66,1.36,1066.65,570.12,376.68,525.96,296.75,302.41,243.62,444.1,276.13,1851.8,676.3,154.33,879.04,1991.86,1252.76,696.17,1123.77,1253.97,1059.23,816.08,335.04,1603.61,1062.84,304.1,61.88,78.22,6.11,104.01,47.97,16.45
2016,25496.87,348.07,1.65,311.47,139.68,237.47,4.43,1.07,1899.36,579.99,503.84,5.55,1300.88,664.92,439.23,639.6,312.46,324.73,271.56,523.04,247.59,2162.75,648.25,138.88,1088.7,2196.97,1143.35,832.1,1412.5,1399.39,1141.43,905.62,407.09,1726.74,916.19,298.47,74.89,104.55,6.93,96.52,28.51,10.45
2015,24345.29,326.91,2.14,348.18,156.88,249.47,3.38,1.35,1867.5,557.95,481.45,1.27,1269.29,671.74,436.91,627.74,279.66,328.18,259.85,478.59,160.9,2133.59,609.01,131.27,1018.73,2115.72,999.94,854.16,1310.28,1396.99,1124.0,832.3,386.65,1604.35,731.23,272.4,79.44,112.63,8.11,81.16,25.51,8.49
2014,23917.7,436.82,2.76,552.49,189.01,254.4,6.19,1.2,1834.72,509.69,433.2,2.02,1256.01,650.59,442.0,633.11,255.73,319.41,236.15,433.11,176.99,1965.29,556.82,110.15,984.3,2113.15,1187.33,932.8,1264.25,1402.13,1049.85,693.91,368.61,1532.77,596.76,251.22,69.16,106.81,8.97,60.73,29.71,7.39
2013,24038.21,628.23,1.6,741.65,204.2,256.38,7.72,1.3,1942.42,486.83,407.12,0.62,1221.16,613.55,420.54,634.78,238.08,344.53,210.74,380.85,281.02,1997.99,525.87,112.9,978.34,2084.68,1312.99,917.56,1202.09,1415.8,1034.82,633.45,331.84,1467.42,482.11,234.07,82.27,101.7,17.62,47.58,24.6,9.18
2012,21100.50681,743.02715,3.92277,718.34627,205.62859,217.53236,4.65893,1.67912,1718.70562,449.01916,345.99303,0.34668,1055.66946,499.86204,372.90041,558.62719,215.60036,334.80368,152.91735,286.19138,244.51793,1709.89816,424.50071,106.86956,808.88731,1854.10432,1240.9951,729.49843,1060.72093,1168.48652,853.10265,554.92152,308.56894,1292.22163,410.7555,200.00389,60.43675,110.57741,16.62921,33.65917,17.74018,7.97944
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
