年份,甲乙类法定报告传染病死亡人数,艾滋病死亡人数,肺结核死亡人数,狂犬病死亡人数,病毒性肝炎死亡人数,流行性出血热死亡人数,梅毒死亡人数,甲型H1N1流感死亡人数,乙脑死亡人数,新生儿破伤风死亡人数,疟疾死亡人数,流脑死亡人数,细菌性和阿米巴性痢疾死亡人数,麻疹死亡人数,钩端螺旋体病死亡人数,炭疽死亡人数,百日咳死亡人数,血吸虫病死亡人数,鼠疫死亡人数,淋病死亡人数,脊髓灰质炎死亡人数,猩红热死亡人数,人感染高致病性禽流感死亡人数,伤寒和副伤寒死亡人数,霍乱死亡人数,布鲁氏菌病死亡人数,登革热死亡人数,传染性非典型肺炎死亡人数,白喉死亡人数
2019,,20999,2990,276,575,44,42,,13,5,19,6,1,,2,1,2,,1,,,,,,,1,3,,
2018,,18780,3149,410,531,97,39,,135,4,6,10,1,1.0,1,3,2,,,1.0,,,,2.0,,,1,,
2017,,15251,2823,502,573,64,45,,79,3,6,19,2,5.0,,3,,,1,1.0,,,,3.0,,1,2,,
2016,,14091,2465,592,537,48,53,,47,3,16,10,4,18.0,1,2,3,,,1.0,,,1.0,1.0,,2,,,
2015,,12755,2280,744,474,62,58,,19,17,20,13,7,32.0,1,1,2,,,1.0,,1.0,3.0,1.0,,1,,,
2014,,12030,2240,854,515,79,69,,29,15,24,12,4,28.0,6,3,2,,3,2.0,,,1.0,,,2,6,,
2013,,11437,2576,1128,739,109,69,,64,45,20,21,13,24.0,5,1,,1.0,,1.0,,2.0,2.0,3.0,1.0,,,,
2012,,11575,2662,1361,747,104,79,3.0,59,51,15,24,13,8.0,5,1,1,4.0,1,1.0,,2.0,1.0,3.0,,1,,,
2011,,9224,2840,1879,830,119,75,75.0,63,52,30,25,24,10.0,5,3,2,2.0,1,1.0,1.0,1.0,1.0,1.0,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
