年份,病毒性肝炎发病人数,肺结核发病人数,梅毒发病人数,细菌性和阿米巴性痢疾发病人数,淋病发病人数,猩红热发病人数,布鲁氏菌病发病人数,艾滋病发病人数,伤寒和副伤寒发病人数,流行性出血热发病人数,麻疹发病人数,甲型H1N1流感发病人数,血吸虫病发病人数,疟疾发病人数,百日咳发病人数,狂犬病发病人数,乙脑发病人数,新生儿破伤风发病人数,钩端螺旋体病发病人数,炭疽发病人数,流脑发病人数,登革热发病人数,霍乱发病人数,脊髓灰质炎发病人数,鼠疫发病人数,人感染高致病性禽流感发病人数,传染性非典型肺炎发病人数,白喉发病人数
2019,1286691,775764,535819,81075,117938,81737,44036,71204,9274,9596,2974,,113,2487,30027,290,416,65,214,297,111,22188,16,,5,,,
2018,1280015,823342,494867,91152,133156,78864,37947,64170,10843,11966,3940,,144,2518,22057,422,1800,83,157,336,104,5136,28,,,,,
2017,1283523,835193,475860,109368,138855,74369,38554,57194,10791,11262,5941,,1186,2697,10390,516,1147,93,201,318,118,5893,14,,1,,,
2016,1221479,836236,438199,123283,115024,59282,47139,54360,10899,8853,24820,,2924,3189,5584,644,1237,177,354,374,101,2050,27,,1,,,
2015,1218946,864015,433974,138917,100245,68249,56989,50330,11637,10314,42361,,34143,3116,6658,801,624,306,355,288,106,3858,13,,,6.0,,
2014,1223021,889381,419091,153585,95473,54247,57222,45145,13768,11522,52628,,4212,2921,3408,924,858,426,498,248,170,46864,24,,3,3.0,,
2013,1251872,904434,406772,188669,99659,34207,43486,42286,14136,12810,27646,,5699,3896,1712,1172,2178,492,353,193,213,4663,53,,,2.0,,
2012,1380800,951508,410074,207429,91853,46459,39515,41929,11998,13308,6183,1072.0,4802,2451,2183,1425,1763,656,440,237,195,575,75,,1,1.0,,
2011,1372344,953275,395182,237930,97954,63878,38151,20450,11798,10779,9943,9360.0,4483,4088,2517,1917,1625,785,396,309,228,120,24,20.0,1,1.0,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
