年份,实现组织(管理)创新活动的企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上采矿业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上煤炭开采和洗选业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上石油和天然气开采业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上黑色金属矿采选业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上有色金属矿采选业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上非金属矿采选业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上开采专业及辅助性活动企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上其他采矿业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上制造业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上农副食品加工业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上食品制造业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上酒、饮料和精制茶制造业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上烟草制品业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上纺织业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上纺织服装、服饰业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上皮革、毛皮、羽毛及其制品和制鞋业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上木材加工和木、竹、藤、棕、草制品业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上家具制造业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上造纸和纸制品业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上印刷和记录媒介复制业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上文教、工美、体育和娱乐用品制造业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上石油加工、炼焦和核燃料加工业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上化学原料和化学制品制造业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上医药制造业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上化学纤维制造业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上橡胶和塑料制品业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上非金属矿物制品业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上黑色金属冶炼和压延加工业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上有色金属冶炼和压延加工业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上金属制品业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上通用设备制造业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上专用设备制造业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上汽车制造业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上铁路、船舶、航空航天和其他运输设备制造业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上电气机械和器材制造业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上计算机、通信和其他电子设备制造业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上仪器仪表制造业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上其他制造业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上废弃资源综合利用业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上金属制品、机械和设备修理业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上电力、热力、燃气及水生产和供应业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上电力、热力生产和供应业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上燃气生产和供应业企业占规模以上工业企业的比重,实现组织(管理)创新活动的规模以上水的生产和供应业企业占规模以上工业企业的比重
2019,32.516,18.658,17.827,27.731,17.111,23.133,17.397,28.906,30,33.297,28.364,34.944,32.222,40.187,25.036,20.394,21.063,19.632,29.234,27.926,29.765,27.787,31.816,35.571,46.448,30.074,31.431,26.004,25.328,31.38,31.279,39.784,43.553,40.232,40.965,42.129,46.523,50.787,33.432,24.908,31.602,22.713,21.865,27.473,21.314
2018,29.282,15.628,14.87,29.204,14.521,19.55,14.354,25.743,16.667,29.999,25.406,31.291,30.131,36.111,22.211,18.715,19.037,18.953,23.996,24.288,25.374,24.893,29.412,32.712,44.142,30.159,28.06,22.625,23.88,28.557,27.78,36.327,39.374,37.013,35.443,38.834,43.273,45.602,29.757,21.429,29.275,19.855,19.947,21.455,17.994
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
