省份编码,省份,年份,收入法生产总值(亿元),劳动者报酬(亿元),生产税净额(亿元),固定资产折旧(亿元),营业盈余(亿元)
110000,北京市,2019,,,,,
110000,北京市,2018,,,,,
110000,北京市,2017,29883,16141,3542.6,3911.5,6287.9
110000,北京市,2016,27041.2,14518.9,3405.4,3526.5,5590.4
110000,北京市,2015,24779.1,13435.5,3259.5,3454.9,4629.2
110000,北京市,2014,22926,11679.6,3165.4,3099.8,4981.2
110000,北京市,2013,21134.6,10703.8,3131.2,2972.1,4327.6
110000,北京市,2012,19024.7,9505.1,2865.8,2794.4,3859.4
110000,北京市,2011,17188.8,8337.7,2537.6,2596.5,3717.0
110000,北京市,2010,14964,7228.3,2194.9,2325.7,3215.1
110000,北京市,2009,12900.9,6388.1,1974.3,2036.4,2502.0
110000,北京市,2008,11813.1,5815.8,1934.1,1935.7,2127.5
110000,北京市,2007,10425.5,4402.4,1521.8,1730.6,2770.8
110000,北京市,2006,8387,3697.8,1218.1,1405.7,2065.5
110000,北京市,2005,7149.8,3218.7,1036.5,1206.6,1688.0
110000,北京市,2004,6252.5,2695.3,932.1,1047.9,1577.2
110000,北京市,2003,5267.2,2231.4,800.3,875.8,1359.6
110000,北京市,2002,4525.7,1893.5,684.5,748.2,1199.5
110000,北京市,2001,3861.5,1617.3,579.2,607.6,1057.5
110000,北京市,2000,3277.8,1395.3,484.2,496.4,901.9
120000,天津市,2019,,,,,
120000,天津市,2018,,,,,
120000,天津市,2017,12450.6,5093.6,2035.1,2218.4,3103.5
120000,天津市,2016,11477.2,4578.2,1658.7,1715.3,3525.1
120000,天津市,2015,10879.5,4315.4,1580.0,1584.7,3399.4
120000,天津市,2014,10640.6,4184.7,1558.6,1544.5,3352.8
120000,天津市,2013,9945.4,3904.5,1485.3,1437.7,3117.9
120000,天津市,2012,9043,3454.7,1336.6,1352.2,2899.6
120000,天津市,2011,8112.5,3074.9,1141.7,1283.7,2612.2
120000,天津市,2010,6830.8,2583.5,930.0,1049.2,2268.0
120000,天津市,2009,5709.6,2110.6,795.6,887.4,1915.9
120000,天津市,2008,5182.4,1904.7,712.2,701.4,1864.1
120000,天津市,2007,4158.4,1452.7,667.6,680.8,1357.3
120000,天津市,2006,3538.2,1234.9,581.4,550.5,1171.5
120000,天津市,2005,3158.6,1131.3,546.1,502.1,979.1
120000,天津市,2004,2621.1,873.1,441.7,467.6,838.8
120000,天津市,2003,2257.8,787.6,460.6,393.9,615.7
120000,天津市,2002,1926.9,749.8,368.4,326.6,482.1
120000,天津市,2001,1756.9,710.6,349.6,286.2,410.5
120000,天津市,2000,1591.7,669.9,305.9,250.1,365.8
130000,河北省,2019,,,,,
130000,河北省,2018,,,,,
130000,河北省,2017,30640.8,14860,4146.4,5306.2,6328.2
130000,河北省,2016,28474.1,13868.2,3979.2,4705.1,5921.6
130000,河北省,2015,26398.4,12993.3,3656.7,4343.3,5405.1
130000,河北省,2014,25208.9,12396.4,3600.9,3944.1,5267.4
130000,河北省,2013,24259.6,11896,3528.8,3674.5,5160.2
130000,河北省,2012,23077.5,11101.8,3398.7,3466.1,5110.8
130000,河北省,2011,21384.7,10044.6,3124.9,3179.3,5036.0
130000,河北省,2010,18003.6,8426.6,2577.9,2541.2,4457.9
130000,河北省,2009,15306.9,6966.7,2130.3,2128.0,4082.0
