省份编码,省份,年份,居民消费水平(元),城镇居民消费水平(元),农村居民消费水平(元),居民消费水平指数(上年=100),城镇居民消费水平指数(上年=100),农村居民消费水平指数(上年=100)
110000,北京市,2019,,,,,,
110000,北京市,2018,,,,,,
110000,北京市,2017,52912,57100,26132,105.7,105.8,105.5
110000,北京市,2016,48883,52721,24285,106.2,106.1,107.4
110000,北京市,2015,39200.3886999375,41845.6927235261,22314.9982917663,106.681729231909,106.633958571631,106.532263393934
110000,北京市,2014,36057,38515,20506,104.7,104.3,108.9
110000,北京市,2013,33337,35836,17663,106.6,105.7,118.5
110000,北京市,2012,30349.5193130947,32857.3941663829,14664.0638864241,106.575150502371,106.483630253819,106.73421458395
110000,北京市,2011,27760,30037,13659,106.0,106.4,96.8
110000,北京市,2010,24982,26949,13392,109.7,109.4,108.8
110000,北京市,2009,22023,23812,11917,108.5,108.0,112.6
110000,北京市,2008,20113,21872,10375,105.1,104.4,111.4
110000,北京市,2007,18553,20320,8984,107.1,106.4,112.4
110000,北京市,2006,16487,18185,7580,109.5,107.5,111.8
110000,北京市,2005,14662,16478,6602,105.2,102.8,110.5
110000,北京市,2004,13425,15438,5713,108.2,108.1,104.8
110000,北京市,2003,12014,13826,5275,105.2,105.4,100.2
110000,北京市,2002,10882,12505,5020,117.3,118.6,104.1
110000,北京市,2001,9057,10301,4695,99.6,98.5,106.4
110000,北京市,2000,8820,10145,4277,100.5,100.3,100.6
120000,天津市,2019,,,,,,
120000,天津市,2018,,,,,,
120000,天津市,2017,38975,42067,23952,106.4,106.3,106.5
120000,天津市,2016,36257,39181,22194,106.9,106.4,109.3
120000,天津市,2015,32594.7202130715,35289.9732429822,19921.834288692,106.244136470803,105.670499960372,109.593841660938
120000,天津市,2014,28492,31000,16949,106.9,106.1,112.2
120000,天津市,2013,26261,28779,14954,106.7,105.6,113.2
120000,天津市,2012,22983.9508046276,25568.9407652456,11935.9756097561,109.074278229958,107.463929012903,117.628007547564
120000,天津市,2011,20624.2934872715,23359.7295719478,9658.38743771705,110.0,108.9,110.2
120000,天津市,2010,17852,20482,8076,114.0,113.7,107.6
120000,天津市,2009,15200,17483,7279,109.0,107.9,113.0
120000,天津市,2008,14150,16452,6540,111.8,110.1,113.8
120000,天津市,2007,12034,14218,5409,109.9,109.5,107.8
120000,天津市,2006,10609,12600,4816,109.9,108.7,108.4
120000,天津市,2005,9504,11415,4380,109.4,109.6,105.9
120000,天津市,2004,8621,10348,4079,112.10928455661,112.907842014883,107.785888077859
120000,天津市,2003,7789,9377,3758,108.002000500125,107.906114885732,106.812697234082
120000,天津市,2002,7120,8604,3466,104.685863874346,103.98201669878,106.504547251878
120000,天津市,2001,6763,8231,3267,108.6,108.8,107.1
120000,天津市,2000,6083,7398,2994,108.0,107.1,109.6
130000,河北省,2019,,,,,,
130000,河北省,2018,,,,,,
130000,河北省,2017,15893,20753,10149,109.5,106.6,112.0
130000,河北省,2016,14328,19276,8897,110.7,106.8,114.5
130000,河北省,2015,12829.1110348795,17923.5056254545,7666.45003575769,109.704173312086,105.923262664138,113.977042344401
130000,河北省,2014,12171.2812525907,17588.7132087365,7022.84269341278,109.413695914748,106.15305460053,113.198195382583
130000,河北省,2013,11556.7587680539,17198.4724023635,6460.12560668236,110.777321923207,106.968521688765,115.709136788173
