省份编码,省份,年份,国际旅游外汇收入(百万美元)
110000,北京市,2019,5192.47
110000,北京市,2018,5516.39
110000,北京市,2017,5129.81
110000,北京市,2016,5070.0
110000,北京市,2015,4605.0
110000,北京市,2014,4608.0
110000,北京市,2013,4794.68
110000,北京市,2012,5149.0
110000,北京市,2011,5416.0
110000,北京市,2010,5044.61
110000,北京市,2009,4356.68
110000,北京市,2008,4459.13
110000,北京市,2007,4580.0
110000,北京市,2006,4026.3
110000,北京市,2005,3618.91
110000,北京市,2004,3173.43
110000,北京市,2003,1903.54
110000,北京市,2002,3115.0
110000,北京市,2001,2945.99
110000,北京市,2000,2768.0
120000,天津市,2019,1182.54
120000,天津市,2018,1109.85
120000,天津市,2017,3751.47
120000,天津市,2016,3556.87
120000,天津市,2015,3298.11
120000,天津市,2014,2992.1
120000,天津市,2013,2591.28
120000,天津市,2012,2226.41
120000,天津市,2011,1755.53
120000,天津市,2010,1419.51
120000,天津市,2009,1182.64
120000,天津市,2008,1001.39
120000,天津市,2007,779.0
120000,天津市,2006,625.9
120000,天津市,2005,509.01
120000,天津市,2004,412.53
120000,天津市,2003,329.47
120000,天津市,2002,342.0
120000,天津市,2001,280.17
120000,天津市,2000,231.76
130000,河北省,2019,740.23
130000,河北省,2018,646.67
130000,河北省,2017,578.69
130000,河北省,2016,552.41
130000,河北省,2015,501.91
130000,河北省,2014,534.19
130000,河北省,2013,585.78
130000,河北省,2012,544.94
130000,河北省,2011,447.65
130000,河北省,2010,350.71
130000,河北省,2009,307.81
130000,河北省,2008,273.95
130000,河北省,2007,309.0
130000,河北省,2006,243.1
130000,河北省,2005,209.17
130000,河北省,2004,190.42
130000,河北省,2003,84.6
130000,河北省,2002,167.0
130000,河北省,2001,156.61
130000,河北省,2000,141.9
140000,山西省,2019,409.95
140000,山西省,2018,377.98
140000,山西省,2017,350.14
140000,山西省,2016,317.38
140000,山西省,2015,297.1
140000,山西省,2014,280.73
140000,山西省,2013,822.68
140000,山西省,2012,720.24
140000,山西省,2011,567.19
140000,山西省,2010,464.6
140000,山西省,2009,377.94
140000,山西省,2008,300.65
140000,山西省,2007,222.0
140000,山西省,2006,164.2
140000,山西省,2005,116.22
140000,山西省,2004,81.23
140000,山西省,2003,36.27
140000,山西省,2002,75.0
140000,山西省,2001,59.47
140000,山西省,2000,49.91
150000,内蒙古自治区,2019,1340.09
150000,内蒙古自治区,2018,1272.1
150000,内蒙古自治区,2017,1245.56
150000,内蒙古自治区,2016,1139.03
150000,内蒙古自治区,2015,962.49
150000,内蒙古自治区,2014,1002.96
150000,内蒙古自治区,2013,962.29
150000,内蒙古自治区,2012,771.96
150000,内蒙古自治区,2011,670.97
150000,内蒙古自治区,2010,601.9
150000,内蒙古自治区,2009,558.31
150000,内蒙古自治区,2008,577.19
150000,内蒙古自治区,2007,545.0
150000,内蒙古自治区,2006,403.7
150000,内蒙古自治区,2005,352.07
150000,内蒙古自治区,2004,253.3
150000,内蒙古自治区,2003,138.45
150000,内蒙古自治区,2002,149.0
150000,内蒙古自治区,2001,137.4
150000,内蒙古自治区,2000,126.45
210000,辽宁省,2019,1739.03
210000,辽宁省,2018,1739.58
210000,辽宁省,2017,1778.06
210000,辽宁省,2016,1823.92
210000,辽宁省,2015,1636.5
210000,辽宁省,2014,1618.0
210000,辽宁省,2013,3477.14
210000,辽宁省,2012,3263.69
210000,辽宁省,2011,2713.14
210000,辽宁省,2010,2259.33
210000,辽宁省,2009,1856.21
210000,辽宁省,2008,1526.18
210000,辽宁省,2007,1228.0
210000,辽宁省,2006,934.3
210000,辽宁省,2005,737.77
210000,辽宁省,2004,612.81
210000,辽宁省,2003,454.1
210000,辽宁省,2002,550.0
210000,辽宁省,2001,463.03
210000,辽宁省,2000,382.65
220000,吉林省,2019,614.96
220000,吉林省,2018,685.85
220000,吉林省,2017,765.79
220000,吉林省,2016,791.21
220000,吉林省,2015,724.14
220000,吉林省,2014,583.9
220000,吉林省,2013,552.37
220000,吉林省,2012,494.77
220000,吉林省,2011,385.28
220000,吉林省,2010,304.92
220000,吉林省,2009,242.94
220000,吉林省,2008,211.44
220000,吉林省,2007,179.0
220000,吉林省,2006,137.2
220000,吉林省,2005,119.52
220000,吉林省,2004,96.0
220000,吉林省,2003,66.39
220000,吉林省,2002,86.0
220000,吉林省,2001,75.79
220000,吉林省,2000,58.04
230000,黑龙江省,2019,645.93
230000,黑龙江省,2018,537.06
230000,黑龙江省,2017,479.58
230000,黑龙江省,2016,458.05
230000,黑龙江省,2015,395.33
230000,黑龙江省,2014,563.56
230000,黑龙江省,2013,604.36
230000,黑龙江省,2012,835.48
230000,黑龙江省,2011,917.62
230000,黑龙江省,2010,762.5
230000,黑龙江省,2009,638.68
230000,黑龙江省,2008,869.95
230000,黑龙江省,2007,643.0
230000,黑龙江省,2006,492.0
230000,黑龙江省,2005,340.43
230000,黑龙江省,2004,302.15
230000,黑龙江省,2003,243.64
230000,黑龙江省,2002,297.0
230000,黑龙江省,2001,249.9
230000,黑龙江省,2000,189.05
310000,上海市,2019,8243.51
310000,上海市,2018,7261.39
310000,上海市,2017,6698.65
310000,上海市,2016,6419.2
310000,上海市,2015,5860.44
310000,上海市,2014,5601.85
310000,上海市,2013,5244.7
310000,上海市,2012,5493.23
310000,上海市,2011,5751.18
310000,上海市,2010,6340.92
310000,上海市,2009,4744.02
310000,上海市,2008,4971.72
310000,上海市,2007,4673.0
310000,上海市,2006,3903.9
310000,上海市,2005,3555.88
310000,上海市,2004,3041.24
310000,上海市,2003,2052.66
310000,上海市,2002,2275.0
310000,上海市,2001,1807.71
310000,上海市,2000,1612.67
320000,江苏省,2019,4743.56
320000,江苏省,2018,4648.36
320000,江苏省,2017,4194.72
320000,江苏省,2016,3803.62
320000,江苏省,2015,3527.29
320000,江苏省,2014,3032.71
320000,江苏省,2013,2379.89
320000,江苏省,2012,6299.72
320000,江苏省,2011,5652.97
320000,江苏省,2010,4783.43
320000,江苏省,2009,4016.01
320000,江苏省,2008,3880.2
320000,江苏省,2007,3469.0
320000,江苏省,2006,2786.64
320000,江苏省,2005,2259.74
320000,江苏省,2004,1763.44
320000,江苏省,2003,1131.87
320000,江苏省,2002,1050.0
320000,江苏省,2001,822.02
320000,江苏省,2000,723.84
330000,浙江省,2019,2668.24
330000,浙江省,2018,2595.79
330000,浙江省,2017,3586.44
330000,浙江省,2016,3127.59
330000,浙江省,2015,6788.47
330000,浙江省,2014,5753.48
330000,浙江省,2013,5392.93
330000,浙江省,2012,5151.74
330000,浙江省,2011,4541.73
330000,浙江省,2010,3930.2
330000,浙江省,2009,3223.58
330000,浙江省,2008,3024.08
330000,浙江省,2007,2708.0
330000,浙江省,2006,2132.7
330000,浙江省,2005,1716.26
330000,浙江省,2004,1300.47
330000,浙江省,2003,872.5
330000,浙江省,2002,928.0
330000,浙江省,2001,698.89
330000,浙江省,2000,513.97
340000,安徽省,2019,3387.69
