省份编码,省份,年份,接待国际游客(百万人次),接待外国人游客(百万人次)
110000,北京市,2019,3.769,3.2071
110000,北京市,2018,4.004078,3.397671
110000,北京市,2017,3.9256,3.32
110000,北京市,2016,4.1653,3.5476
110000,北京市,2015,4.1996,3.5756
110000,北京市,2014,4.27452,3.654522
110000,北京市,2013,4.5013,3.8762
110000,北京市,2012,5.0086,4.344
110000,北京市,2011,5.204021,4.474101
110000,北京市,2010,4.900661,4.21625
110000,北京市,2009,4.1251,3.4292
110000,北京市,2008,3.790378,3.357173
110000,北京市,2007,4.354774,3.826081
110000,北京市,2006,3.9029,3.3827
110000,北京市,2005,3.6292,3.1162
110000,北京市,2004,3.15495,2.68099
110000,北京市,2003,1.851245,1.526601
110000,北京市,2002,3.1038,2.6645
110000,北京市,2001,2.8579,2.3988
110000,北京市,2000,2.8209,2.3796
120000,天津市,2019,0.561,0.5076
120000,天津市,2018,0.589644,0.559261
120000,天津市,2017,0.7921,0.6853
120000,天津市,2016,0.8243,0.7189
120000,天津市,2015,0.7848,0.6903
120000,天津市,2014,0.766326,0.674931
120000,天津市,2013,0.7586,0.6604
120000,天津市,2012,0.7375,0.6371
120000,天津市,2011,0.730615,0.635795
120000,天津市,2010,1.660682,1.530461
120000,天津市,2009,1.4102,1.3058
120000,天津市,2008,1.220392,1.130037
120000,天津市,2007,1.032268,0.952372
120000,天津市,2006,0.8805,0.8116
120000,天津市,2005,0.7401,0.6746
120000,天津市,2004,0.6159,0.559291
120000,天津市,2003,0.489017,0.456115
120000,天津市,2002,0.506,0.4532
120000,天津市,2001,0.4214,0.3753
120000,天津市,2000,0.3562,0.3214
130000,河北省,2019,0.9708,0.7356
130000,河北省,2018,0.98863,0.745025
130000,河北省,2017,0.9101,0.704
130000,河北省,2016,0.8379,0.6599
130000,河北省,2015,0.7664,0.5989
130000,河北省,2014,0.756129,0.602563
130000,河北省,2013,0.8427,0.6999
130000,河北省,2012,1.2932,1.0671
130000,河北省,2011,1.141439,0.982681
130000,河北省,2010,0.977447,0.85311
130000,河北省,2009,0.8422,0.7469
130000,河北省,2008,0.750182,0.67021
130000,河北省,2007,0.817599,0.738386
130000,河北省,2006,0.7248,0.654
130000,河北省,2005,0.6265,0.5739
130000,河北省,2004,0.580662,0.536486
