年份,保险系统机构数,保险集团公司机构数,中资保险公司机构数,中资保险公司总公司机构数,中资保险公司省级分公司机构数,中资保险公司中心支分公司机构数,中资保险公司支公司机构数,中资保险公司营业部机构数,中资保险公司营销服务部机构数,中外合资保险公司机构数,中外合资保险公司总公司机构数,中外合资保险公司省级分公司机构数
2019,235,14,160,160,1928,10033,29200,2293,40169,61,61,400
2018,229,12,158,158,2152,10474,28480,2491,41734,59,59,374
2017,222,12,145,145,1701,9322,26824,2407,40741,57,57,354
2016,203,11,135,135,1605,8880,25788,2370,40760,57,57,327
2015,194,11,126,126,1558,8585,23877,2380,40911,57,57,304
2014,180,10,113,113,1490,8117,21861,2343,41240,57,57,276
2013,174,10,109,109,1476,7863,20334,2382,42077,55,55,224
2012,164,10,101,101,1644,7377,18353,2410,42973,52,52,212
2011,152,10,90,90,1259,6378,15710,2506,43413,51,51,360
2010,142,8,81,81,1126,5812,13176,2535,45519,53,53,168
2009,138,8,68,68,1058,5671,11813,2771,45701,52,52,150
2008,130,8,64,64,1055,5224,10348,2529,43818,48,48,117
2007,120,8,59,59,851,3835,9251,3082,39794,43,43,90
2006,107,7,50,40,669,3121,7473,2728,34431,41,36,67
2005,93,6,42,42,572,2740,6899,2674,29041,40,40,47
2004,68,5,27,27,568,1505,3914,1703,215855,36,36,20
2003,62,,26,10,92,,,,,36,,
2002,44,,16,5,75,,,,,28,,
2001,35,,14,5,72,,,,,21,,
2000,33,,13,4,63,,,,,21,,
