省份编码,省份,年份,城市最低生活保障平均标准(元/人、月),城市最低生活保障支出水平(元/人、月),农村最低生活保障平均标准(元/人、月),农村最低生活保障支出水平(元/人、月)
110000,北京市,2019,,,,
110000,北京市,2018,,,,
110000,北京市,2017,,,,
110000,北京市,2016,,,,
110000,北京市,2015,,,,
110000,北京市,2014,,,,
110000,北京市,2013,,,,
110000,北京市,2012,,,,
110000,北京市,2011,,,,
110000,北京市,2010,430,361.038772560243,273.1,156
110000,北京市,2009,410,359.987356874984,,
110000,北京市,2008,,,,
110000,北京市,2007,,,,
110000,北京市,2006,,,,
110000,北京市,2005,,,,
110000,北京市,2004,,,,
110000,北京市,2003,,,,
110000,北京市,2002,,,,
110000,北京市,2001,,,,
110000,北京市,2000,,,,
120000,天津市,2019,,,,
120000,天津市,2018,,,,
120000,天津市,2017,,,,
120000,天津市,2016,,,,
120000,天津市,2015,,,,
120000,天津市,2014,,,,
120000,天津市,2013,,,,
120000,天津市,2012,,,,
120000,天津市,2011,,,,
120000,天津市,2010,450,422.738534248031,302.8,138
120000,天津市,2009,430,350.110290255943,,
120000,天津市,2008,,,,
120000,天津市,2007,,,,
120000,天津市,2006,,,,
120000,天津市,2005,,,,
120000,天津市,2004,,,,
120000,天津市,2003,,,,
120000,天津市,2002,,,,
120000,天津市,2001,,,,
120000,天津市,2000,,,,
130000,河北省,2019,,,,
130000,河北省,2018,,,,
130000,河北省,2017,,,,
130000,河北省,2016,,,,
130000,河北省,2015,,,,
130000,河北省,2014,,,,
130000,河北省,2013,,,,
130000,河北省,2012,,,,
130000,河北省,2011,,,,
130000,河北省,2010,265.34,164.095392176747,110.0,67
130000,河北省,2009,245.22,167.268352164021,,
130000,河北省,2008,,,,
130000,河北省,2007,,,,
130000,河北省,2006,,,,
130000,河北省,2005,,,,
130000,河北省,2004,,,,
130000,河北省,2003,,,,
130000,河北省,2002,,,,
130000,河北省,2001,,,,
130000,河北省,2000,,,,
140000,山西省,2019,,,,
140000,山西省,2018,,,,
140000,山西省,2017,,,,
140000,山西省,2016,,,,
140000,山西省,2015,,,,
140000,山西省,2014,,,,
140000,山西省,2013,,,,
140000,山西省,2012,,,,
140000,山西省,2011,,,,
140000,山西省,2010,231.26,164.043501631953,93.5,75
140000,山西省,2009,212.62,160.323773704689,,
140000,山西省,2008,,,,
140000,山西省,2007,,,,
140000,山西省,2006,,,,
140000,山西省,2005,,,,
140000,山西省,2004,,,,
140000,山西省,2003,,,,
140000,山西省,2002,,,,
140000,山西省,2001,,,,
140000,山西省,2000,,,,
150000,内蒙古自治区,2019,,,,
150000,内蒙古自治区,2018,,,,
150000,内蒙古自治区,2017,,,,
150000,内蒙古自治区,2016,,,,
150000,内蒙古自治区,2015,,,,
150000,内蒙古自治区,2014,,,,
150000,内蒙古自治区,2013,,,,
150000,内蒙古自治区,2012,,,,
150000,内蒙古自治区,2011,,,,
150000,内蒙古自治区,2010,298.95,263.844923834868,161.4,108
150000,内蒙古自治区,2009,241.35,223.102196777238,,
150000,内蒙古自治区,2008,,,,
150000,内蒙古自治区,2007,,,,
150000,内蒙古自治区,2006,,,,
150000,内蒙古自治区,2005,,,,
150000,内蒙古自治区,2004,,,,
150000,内蒙古自治区,2003,,,,
150000,内蒙古自治区,2002,,,,
150000,内蒙古自治区,2001,,,,
