省份编码,省份,年份,年末参加生育保险人数(万人),享受生育保险待遇人数(万人),生育保险基金收入(万元),生育保险基金支出(万元),生育保险累计结余(万元)
110000,北京市,2019,1164.4428,61.1739,,,
110000,北京市,2018,1104.0143,61.428,760863.95037,825816.215881,226053.756375
110000,北京市,2017,1035.2132,68.5709,806629.0,883277.0,291006.0
110000,北京市,2016,980.9944,51.8933,567256.0,527431.0,367653.0
110000,北京市,2015,941.6495,52.791,509990.0,526816.0,327828.0
110000,北京市,2014,915.5717,53.2061,424199.0,444956.0,344655.0
110000,北京市,2013,883.1613,41.1025,375229.0,344890.0,365413.0
110000,北京市,2012,844.6904,27.9454,303227.0,209203.0,335074.0
110000,北京市,2011,395.2973,14.9124,142352.0,98216.0,241050.0
110000,北京市,2010,372.2,12.6,122000.0,77000.0,197000.0
110000,北京市,2009,346.8439,12.7825,106784.0,73157.0,151880.0
110000,北京市,2008,324.1065,11.7564,90764.0,61343.0,118254.0
110000,北京市,2007,290.5572,9.8443,74986.0,46993.0,88833.0
110000,北京市,2006,263.2985,6.6512,63215.0,28371.0,60840.0
110000,北京市,2005,,,,,
110000,北京市,2004,,,,,
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,341.262,24.4611,,,
120000,天津市,2018,330.4178,25.0379,120941.415197,179755.88698,47572.41372
120000,天津市,2017,296.9452,27.4385,126930.0,197086.0,106387.0
120000,天津市,2016,284.9634,28.1042,90709.0,114079.0,176543.0
120000,天津市,2015,269.732,19.3677,111082.0,103765.0,199913.0
120000,天津市,2014,260.7279,22.1997,108589.0,94122.0,192595.0
120000,天津市,2013,249.1365,24.8027,96681.0,74920.0,178129.0
120000,天津市,2012,242.718,8.0419,82502.0,56167.0,156368.0
120000,天津市,2011,234.5983,6.5883,68400.0,45664.0,130032.0
120000,天津市,2010,212.0,5.6,56000.0,46000.0,107000.0
120000,天津市,2009,204.6084,4.8471,49177.0,33853.0,97075.0
120000,天津市,2008,196.4852,4.7096,43752.0,28801.0,81751.0
120000,天津市,2007,194.0337,3.8559,44123.0,20883.0,66800.0
120000,天津市,2006,180.1036,7.6724,26588.0,11587.0,21655.0
120000,天津市,2005,,,,,
120000,天津市,2004,,,,,
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,810.9731,35.5183,,,
130000,河北省,2018,774.2032,31.4394,228413.853909,213963.900781,176856.723933
130000,河北省,2017,737.8164,36.2905,149823.0,187299.0,162414.0
130000,河北省,2016,710.3406,33.7887,128171.0,142200.0,220304.0
130000,河北省,2015,712.9592,18.4508,144619.0,99608.0,241675.0
130000,河北省,2014,684.0173,22.4546,131778.0,101223.0,196663.0
130000,河北省,2013,667.5837,15.6864,112369.0,75397.0,166111.0
130000,河北省,2012,634.7847,9.7052,93423.0,55660.0,129139.0
130000,河北省,2011,593.0985,5.469,58229.0,34417.0,91374.0
130000,河北省,2010,561.5,5.2,47000.0,25000.0,68000.0
130000,河北省,2009,489.8992,6.6983,37645.0,20973.0,45757.0
130000,河北省,2008,408.5355,5.1617,24957.0,11905.0,29085.0
130000,河北省,2007,338.4645,2.4726,12920.0,8972.0,16030.0
130000,河北省,2006,264.1852,1.6597,10222.0,5695.0,12082.0
130000,河北省,2005,,,,,
130000,河北省,2004,,,,,
130000,河北省,2003,,,,,
130000,河北省,2002,,,,,
130000,河北省,2001,,,,,
130000,河北省,2000,,,,,
140000,山西省,2019,489.6065,15.7309,,,
140000,山西省,2018,481.9208,14.1841,115052.711583,100466.830878,210788.792436
140000,山西省,2017,464.2245,14.2193,83059.0,93589.0,196203.0
140000,山西省,2016,458.4863,8.8882,76118.0,56270.0,216159.0
140000,山西省,2015,456.5215,7.9687,86184.0,61703.0,196310.0
140000,山西省,2014,454.2141,7.3712,86217.0,51410.0,171830.0
140000,山西省,2013,445.5513,5.1561,78415.0,34983.0,137023.0
140000,山西省,2012,407.5997,3.0558,56627.0,23698.0,93591.0
140000,山西省,2011,253.7402,2.1105,37524.0,17077.0,60661.0
140000,山西省,2010,211.6,1.7,22000.0,12000.0,40000.0
140000,山西省,2009,185.7921,0.9048,18884.0,7979.0,30099.0
140000,山西省,2008,148.3354,0.7172,12362.0,4260.0,19194.0
140000,山西省,2007,104.4377,0.3258,6203.0,2301.0,11092.0
140000,山西省,2006,98.0998,0.3598,3371.0,1767.0,7190.0
140000,山西省,2005,,,,,
140000,山西省,2004,,,,,
140000,山西省,2003,,,,,
140000,山西省,2002,,,,,
140000,山西省,2001,,,,,
140000,山西省,2000,,,,,
150000,内蒙古自治区,2019,320.6377,11.0309,,,
150000,内蒙古自治区,2018,319.4643,10.9627,106428.416777,82568.606183,206968.648991
150000,内蒙古自治区,2017,307.5727,11.4761,92529.0,81297.0,182557.0
150000,内蒙古自治区,2016,305.2783,8.4557,83540.0,53650.0,171323.0
150000,内蒙古自治区,2015,302.5716,7.7741,80295.0,51718.0,141433.0
150000,内蒙古自治区,2014,293.7268,7.9721,74647.0,56953.0,113022.0
150000,内蒙古自治区,2013,284.9965,6.5458,62789.0,42547.0,95333.0
150000,内蒙古自治区,2012,274.795,4.3005,52447.0,34931.0,75091.0
150000,内蒙古自治区,2011,263.2765,4.7887,38424.0,21152.0,57305.0
150000,内蒙古自治区,2010,233.9,2.2,27000.0,15000.0,40000.0
150000,内蒙古自治区,2009,182.9304,1.9524,18251.0,9511.0,28362.0
150000,内蒙古自治区,2008,154.5846,1.5603,16661.0,9011.0,19602.0
150000,内蒙古自治区,2007,139.0996,1.6772,10546.0,6462.0,11953.0
150000,内蒙古自治区,2006,122.1344,2.0902,7601.0,4364.0,7870.0
150000,内蒙古自治区,2005,,,,,
150000,内蒙古自治区,2004,,,,,
150000,内蒙古自治区,2003,,,,,
150000,内蒙古自治区,2002,,,,,
150000,内蒙古自治区,2001,,,,,
150000,内蒙古自治区,2000,,,,,
210000,辽宁省,2019,789.3673,43.5446,,,
210000,辽宁省,2018,777.8066,40.4771,188592.611037,153450.06373,180049.977725
210000,辽宁省,2017,782.4002,44.2128,175531.0,169875.0,144907.0
210000,辽宁省,2016,790.1027,31.7348,203013.0,200106.0,146421.0
210000,辽宁省,2015,789.2539,29.5637,188565.0,185235.0,142538.0
210000,辽宁省,2014,783.9374,28.4735,185550.0,179618.0,139208.0
210000,辽宁省,2013,752.2533,25.8556,123758.0,132331.0,133276.0
210000,辽宁省,2012,713.8588,19.3849,132053.0,111839.0,141848.0
210000,辽宁省,2011,664.7092,15.0884,106458.0,69665.0,121635.0
210000,辽宁省,2010,593.0,13.5,74000.0,57000.0,85000.0
210000,辽宁省,2009,531.1646,13.4521,56782.0,42599.0,68060.0
210000,辽宁省,2008,460.226,11.744,46876.0,33232.0,53878.0
210000,辽宁省,2007,422.9587,13.2279,32602.0,26280.0,40264.0
210000,辽宁省,2006,378.6603,4.8942,24056.0,14379.0,33942.0
210000,辽宁省,2005,,,,,
210000,辽宁省,2004,,,,,
210000,辽宁省,2003,,,,,
210000,辽宁省,2002,,,,,
210000,辽宁省,2001,,,,,
210000,辽宁省,2000,,,,,
220000,吉林省,2019,326.2889,22.2577,,,
220000,吉林省,2018,370.3446,15.291,85542.062895,74064.572676,139306.951771
220000,吉林省,2017,370.1348,17.0596,75854.0,86828.0,127830.0
220000,吉林省,2016,367.8193,17.1135,74091.0,57622.0,138802.0
220000,吉林省,2015,367.5272,13.989,65203.0,47528.0,122332.0
220000,吉林省,2014,366.9526,14.0474,55870.0,45709.0,104658.0
220000,吉林省,2013,365.8554,11.1686,47840.0,31214.0,94497.0
220000,吉林省,2012,350.379,9.3739,37644.0,21115.0,77871.0
220000,吉林省,2011,335.8835,6.6751,28306.0,13609.0,57996.0
220000,吉林省,2010,310.5,5.6,22000.0,11000.0,43000.0
220000,吉林省,2009,289.9276,4.6049,17698.0,8494.0,32509.0
220000,吉林省,2008,227.9083,2.5361,13730.0,5885.0,23305.0
220000,吉林省,2007,173.5964,1.5794,9109.0,3828.0,15460.0
220000,吉林省,2006,117.6517,0.6455,4855.0,1467.0,10179.0
220000,吉林省,2005,,,,,
220000,吉林省,2004,,,,,
220000,吉林省,2003,,,,,
220000,吉林省,2002,,,,,
220000,吉林省,2001,,,,,
220000,吉林省,2000,,,,,
230000,黑龙江省,2019,343.5226,9.0607,,,
230000,黑龙江省,2018,350.2376,8.4416,74573.183296,54234.528644,173827.588645
230000,黑龙江省,2017,355.0675,8.9427,67577.0,63694.0,153489.0
230000,黑龙江省,2016,358.0052,9.4469,62824.0,68651.0,149606.0
230000,黑龙江省,2015,357.0684,6.4092,70927.0,45401.0,155432.0
230000,黑龙江省,2014,356.0533,7.833,66578.0,55862.0,123859.0
230000,黑龙江省,2013,355.0631,6.8584,57025.0,40308.0,113142.0
230000,黑龙江省,2012,353.1316,4.2182,50707.0,35134.0,96424.0
230000,黑龙江省,2011,350.0513,3.5815,40268.0,23663.0,80850.0
230000,黑龙江省,2010,290.1,3.4,30000.0,19000.0,64000.0
230000,黑龙江省,2009,270.039,3.2621,25767.0,15573.0,53647.0
230000,黑龙江省,2008,241.8808,3.219,25322.0,12961.0,43449.0
230000,黑龙江省,2007,216.7567,3.075,21251.0,10054.0,31089.0
230000,黑龙江省,2006,172.6703,3.1004,15030.0,8170.0,19892.0
230000,黑龙江省,2005,,,,,
230000,黑龙江省,2004,,,,,
230000,黑龙江省,2003,,,,,
230000,黑龙江省,2002,,,,,
230000,黑龙江省,2001,,,,,
230000,黑龙江省,2000,,,,,
310000,上海市,2019,989.6325,32.3865,,,
310000,上海市,2018,984.9195,32.1802,888756.054358,648684.8054,660631.963263
310000,上海市,2017,972.0393,36.383,785679.0,681425.0,420561.0
310000,上海市,2016,956.0914,28.2024,650747.0,506320.0,316306.0
310000,上海市,2015,735.4144,22.9222,487142.0,382237.0,171879.0
310000,上海市,2014,717.5371,23.9919,431501.0,375905.0,66973.0
310000,上海市,2013,713.8971,21.9945,334709.0,325842.0,11377.0
310000,上海市,2012,711.5321,11.6742,272498.0,288801.0,2510.0
310000,上海市,2011,703.0789,8.7627,181647.0,169748.0,18813.0
310000,上海市,2010,657.3,7.7,120000.0,133000.0,7000.0
310000,上海市,2009,625.1404,6.5355,104524.0,108359.0,19514.0
310000,上海市,2008,609.8949,7.1103,91269.0,115002.0,23350.0
310000,上海市,2007,591.9644,7.3071,77572.0,114981.0,47083.0
310000,上海市,2006,555.0885,16.8216,68152.0,80227.0,84492.0
310000,上海市,2005,,,,,
310000,上海市,2004,,,,,
310000,上海市,2003,,,,,
310000,上海市,2002,,,,,
310000,上海市,2001,,,,,
310000,上海市,2000,,,,,
320000,江苏省,2019,1868.7566,143.4598,,,
320000,江苏省,2018,1694.4543,166.7724,780564.292434,762772.843959,292019.531755
320000,江苏省,2017,1582.0124,167.1313,566691.0,723145.0,274228.0
320000,江苏省,2016,1510.3206,170.3035,389481.0,601335.0,456141.0
320000,江苏省,2015,1471.6829,95.2765,348076.0,430156.0,667995.0
320000,江苏省,2014,1374.5634,93.5605,400411.0,341828.0,750076.0
320000,江苏省,2013,1355.6153,78.6595,363008.0,269448.0,691492.0
320000,江苏省,2012,1276.2458,55.5044,319927.0,222160.0,597933.0
320000,江苏省,2011,1199.2058,44.1572,258040.0,158176.0,500167.0
320000,江苏省,2010,1086.4,24.4,194000.0,123000.0,400000.0
320000,江苏省,2009,962.4633,23.3495,162414.0,109904.0,329105.0
320000,江苏省,2008,907.2324,19.4501,149801.0,81743.0,276596.0
320000,江苏省,2007,794.1135,14.479,111866.0,69268.0,208537.0
320000,江苏省,2006,711.4923,12.7872,86656.0,49638.0,165939.0
320000,江苏省,2005,,,,,
320000,江苏省,2004,,,,,
320000,江苏省,2003,,,,,
320000,江苏省,2002,,,,,
320000,江苏省,2001,,,,,
320000,江苏省,2000,,,,,
330000,浙江省,2019,1561.0669,71.648,,,
330000,浙江省,2018,1477.3385,72.3029,621322.979438,696467.304924,291466.528851
330000,浙江省,2017,1392.9682,77.2389,454345.0,501318.0,366611.0
330000,浙江省,2016,1294.3636,62.1004,378245.0,367376.0,413583.0
330000,浙江省,2015,1285.1767,51.0017,386954.0,297518.0,402714.0
330000,浙江省,2014,1248.9416,46.0619,314532.0,266864.0,313277.0
330000,浙江省,2013,1173.1673,39.9463,252130.0,213435.0,265608.0
330000,浙江省,2012,1084.7805,19.3972,219222.0,174608.0,226912.0
330000,浙江省,2011,979.7916,14.8913,161078.0,121463.0,182299.0
330000,浙江省,2010,863.7,12.4,125000.0,98000.0,143000.0
330000,浙江省,2009,750.6695,10.4229,95451.0,79110.0,115162.0
330000,浙江省,2008,689.9767,8.0863,77149.0,59260.0,98821.0
330000,浙江省,2007,504.9564,6.099,53643.0,42158.0,80933.0
330000,浙江省,2006,382.7164,6.8642,38782.0,26990.0,69448.0
330000,浙江省,2005,,,,,
330000,浙江省,2004,,,,,
330000,浙江省,2003,,,,,
330000,浙江省,2002,,,,,
330000,浙江省,2001,,,,,
330000,浙江省,2000,,,,,
340000,安徽省,2019,622.2701,27.8662,,,
340000,安徽省,2018,586.3147,25.7922,123010.683628,114857.120994,123917.731452
