省份编码,省份,年份,工伤保险年末参保人数(万人),享受工伤待遇的人数(万人),工伤保险基金收入(万元),工伤保险基金支出(万元),工伤保险累计结余(万元)
110000,北京市,2019,1242.2459,4.4333,450804,390548,580464
110000,北京市,2018,1187.0115,4.4431,402345,364905,520208
110000,北京市,2017,1117.9172,4.4072,379093,330149,482768
110000,北京市,2016,1060.1805,4.5734,304927,292717,433824
110000,北京市,2015,1020.0565,4.6709,328515,265081,421615
110000,北京市,2014,961.024,4.952,287278,221824,358182
110000,北京市,2013,920.274,4.7723,256390,182717,292729
110000,北京市,2012,897.1812,4.8191,205076,172398,219057
110000,北京市,2011,862.436,4.7198,155551,141846,186379
110000,北京市,2010,823.8,4.4,130000,107000,173000
110000,北京市,2009,747.0824,4.1052,113380,90892,149939
110000,北京市,2008,666.549,1.8163,111529,71193,127451
110000,北京市,2007,609.1961,1.6116,85097,52587,87115
110000,北京市,2006,465.3399,1.4524,56796,44654,
110000,北京市,2005,,,,,
110000,北京市,2004,,,,,
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,400.2172,3.9839,126025,122951,176666
120000,天津市,2018,398.5162,3.6939,143315,116906,173593
120000,天津市,2017,395.3286,3.5509,110415,113340,147183
120000,天津市,2016,388.1123,3.4411,98513,113072,150109
120000,天津市,2015,385.6128,3.3684,112887,105569,164668
120000,天津市,2014,345.1826,3.3167,108585,88913,157350
120000,天津市,2013,335.0638,3.3455,94957,82222,137677
120000,天津市,2012,330.0576,3.37,82176,74389,124942
120000,天津市,2011,320.4215,3.7569,70555,65562,117155
120000,天津市,2010,304.5,4.1,59000,47000,112000
120000,天津市,2009,292.2051,3.1156,49657,35781,99981
120000,天津市,2008,274.8974,2.6996,43902,26136,86105
120000,天津市,2007,257.1705,2.3372,43114,20017,68339
120000,天津市,2006,209.6722,1.7272,31618,15312,40718
120000,天津市,2005,,,,,
120000,天津市,2004,,,,,
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,951.441,10.0446,564784,490462,525087
130000,河北省,2018,880.3438,10.3236,542374,444862,450765
130000,河北省,2017,860.6637,9.969,463987,395700,353252
130000,河北省,2016,840.0396,9.8313,406306,360259,284963
130000,河北省,2015,809.7205,9.6372,378358,341245,238917
130000,河北省,2014,778.6695,10.3702,334228,329651,201804
130000,河北省,2013,737.0409,10.4841,281906,303351,197228
130000,河北省,2012,694.8055,9.1334,247435,235190,218674
130000,河北省,2011,640.3925,8.6464,211180,192455,206429
130000,河北省,2010,594.4,7.5,161000,133000,188000
130000,河北省,2009,559.2848,5.9649,127326,101914,159563
130000,河北省,2008,520.8351,5.2972,105692,76505,134152
130000,河北省,2007,481.2642,5.9986,81102,46242,104966
130000,河北省,2006,402.4381,2.4063,60668,32771,61434
130000,河北省,2005,,,,,
130000,河北省,2004,,,,,
130000,河北省,2003,,,,,
130000,河北省,2002,,,,,
130000,河北省,2001,,,,,
130000,河北省,2000,,,,,
140000,山西省,2019,624.1522,7.4397,382328,415225,574329
140000,山西省,2018,596.6421,6.7831,383681,386612,607227
140000,山西省,2017,582.571,6.2585,351359,324615,610156
140000,山西省,2016,576.0,11.3891,308374,283862,583413
140000,山西省,2015,573.0855,10.1301,328749,276635,558900
140000,山西省,2014,563.1132,11.1456,313597,255529,506784
140000,山西省,2013,549.9528,9.729,283399,220805,448718
140000,山西省,2012,529.5623,8.3803,239582,176182,386123
140000,山西省,2011,337.5688,5.5318,252839,114121,322722
140000,山西省,2010,292.4,4.9,129000,80000,184000
140000,山西省,2009,280.6861,4.2767,97748,77431,134955
140000,山西省,2008,260.9885,4.5737,97878,64201,114638
140000,山西省,2007,229.06,3.9386,70010,46998,80961
140000,山西省,2006,201.4205,3.3016,47823,29662,47811
140000,山西省,2005,,,,,
140000,山西省,2004,,,,,
140000,山西省,2003,,,,,
140000,山西省,2002,,,,,
140000,山西省,2001,,,,,
140000,山西省,2000,,,,,
150000,内蒙古自治区,2019,338.2426,2.4471,122039,117963,456847
150000,内蒙古自治区,2018,325.5403,2.4221,146015,113787,456692
150000,内蒙古自治区,2017,307.7603,2.4104,141006,109032,424466
150000,内蒙古自治区,2016,303.1891,2.6609,129146,102291,389749
150000,内蒙古自治区,2015,297.0769,2.3628,139205,86031,362894
150000,内蒙古自治区,2014,289.9328,2.3349,141826,84563,308732
150000,内蒙古自治区,2013,277.4277,2.2374,125864,78072,251386
150000,内蒙古自治区,2012,248.8772,2.4999,121594,58321,203592
150000,内蒙古自治区,2011,225.2934,3.2198,106179,44082,138606
150000,内蒙古自治区,2010,207.5,1.8,54000,29000,80000
150000,内蒙古自治区,2009,199.0639,1.5985,42226,24159,55872
150000,内蒙古自治区,2008,185.3865,1.4439,35681,18899,39470
150000,内蒙古自治区,2007,163.5948,1.3489,25509,14587,24636
150000,内蒙古自治区,2006,131.6119,0.8119,12310,6206,11184
150000,内蒙古自治区,2005,,,,,
150000,内蒙古自治区,2004,,,,,
150000,内蒙古自治区,2003,,,,,
150000,内蒙古自治区,2002,,,,,
150000,内蒙古自治区,2001,,,,,
150000,内蒙古自治区,2000,,,,,
210000,辽宁省,2019,816.846,13.1435,396358,335062,516518
210000,辽宁省,2018,841.0548,13.6638,380725,326959,455221
210000,辽宁省,2017,862.0863,13.8492,373521,315970,401455
210000,辽宁省,2016,886.5672,13.7746,329768,307021,343904
210000,辽宁省,2015,918.6394,13.7518,278289,300926,321158
210000,辽宁省,2014,903.096,13.1726,213614,282875,343794
210000,辽宁省,2013,856.6563,13.162,253862,253024,413055
210000,辽宁省,2012,819.14,13.9601,267034,223088,412215
210000,辽宁省,2011,779.0925,11.2616,278729,149607,368269
210000,辽宁省,2010,730.0,10.0,154000,104000,239000
210000,辽宁省,2009,695.8187,8.9783,134157,86514,188681
210000,辽宁省,2008,659.6259,8.5394,107855,67593,141037
210000,辽宁省,2007,572.3019,9.0729,79314,49935,100830
210000,辽宁省,2006,510.0495,8.5057,58076,41528,69138
210000,辽宁省,2005,,,,,
210000,辽宁省,2004,,,,,
210000,辽宁省,2003,,,,,
210000,辽宁省,2002,,,,,
210000,辽宁省,2001,,,,,
210000,辽宁省,2000,,,,,
220000,吉林省,2019,445.8501,3.9379,116840,136206,376116
220000,吉林省,2018,441.4399,3.874,129936,116240,395481
220000,吉林省,2017,441.3997,5.1311,158255,110736,381785
220000,吉林省,2016,440.7309,4.8699,182031,118763,334267
220000,吉林省,2015,435.6266,11.3439,186281,103622,271000
220000,吉林省,2014,415.5511,4.6366,143973,104495,188340
220000,吉林省,2013,392.0856,5.2938,115790,85909,148862
220000,吉林省,2012,359.4128,4.2209,94631,68697,118981
220000,吉林省,2011,331.5997,3.3072,86079,45975,93045
220000,吉林省,2010,300.5,3.7,46000,39000,53000
220000,吉林省,2009,272.1528,3.01,39468,28567,45493
220000,吉林省,2008,234.9398,4.0738,30991,21895,34592
220000,吉林省,2007,206.8338,2.5931,20195,13558,18080
220000,吉林省,2006,174.6591,2.9936,13832,9810,3879
220000,吉林省,2005,,,,,
220000,吉林省,2004,,,,,
220000,吉林省,2003,,,,,
220000,吉林省,2002,,,,,
220000,吉林省,2001,,,,,
220000,吉林省,2000,,,,,
230000,黑龙江省,2019,464.0867,5.9456,268755,263619,313198
230000,黑龙江省,2018,520.1075,6.866,249053,261072,308060
230000,黑龙江省,2017,519.1054,6.2083,237014,240097,320081
230000,黑龙江省,2016,522.2217,6.5085,232014,233628,323165
230000,黑龙江省,2015,512.0167,6.46,222779,212577,324776
230000,黑龙江省,2014,505.5017,6.3219,216847,203506,313929
230000,黑龙江省,2013,493.128,7.2,211217,187898,300587
230000,黑龙江省,2012,470.6222,6.8375,189114,166440,277268
230000,黑龙江省,2011,450.0037,8.1713,250317,126996,254595
230000,黑龙江省,2010,415.1,6.2,116000,92000,131000
230000,黑龙江省,2009,401.7803,5.5986,93900,68869,106813
230000,黑龙江省,2008,390.8708,4.4585,86182,60622,81780
230000,黑龙江省,2007,351.7468,4.9248,62101,43822,56220
230000,黑龙江省,2006,303.0382,3.8806,49560,34973,36553
230000,黑龙江省,2005,,,,,
230000,黑龙江省,2004,,,,,
230000,黑龙江省,2003,,,,,
230000,黑龙江省,2002,,,,,
230000,黑龙江省,2001,,,,,
230000,黑龙江省,2000,,,,,
310000,上海市,2019,1084.1326,6.3581,336179,370879,618358
310000,上海市,2018,972.8852,6.4878,316625,345846,653057
310000,上海市,2017,958.0565,6.395,387640,307174,682279
310000,上海市,2016,943.5473,6.5346,327812,297945,601814
310000,上海市,2015,932.8659,7.0223,363354,312157,571946
310000,上海市,2014,920.4857,6.8586,322469,281793,520749
310000,上海市,2013,904.0802,6.5901,269265,261097,480074
310000,上海市,2012,898.94,6.1195,219623,209360,471905
310000,上海市,2011,939.5099,2.4988,165094,81093,461642
310000,上海市,2010,961.0,1.7,129000,52000,378000
310000,上海市,2009,934.0271,1.2978,113354,44429,300127
310000,上海市,2008,950.384,1.1555,97993,36185,231204
310000,上海市,2007,884.3571,0.9364,80669,26541,169397
310000,上海市,2006,817.67,0.7114,68912,21810,115269
310000,上海市,2005,,,,,
310000,上海市,2004,,,,,
310000,上海市,2003,,,,,
310000,上海市,2002,,,,,
310000,上海市,2001,,,,,
310000,上海市,2000,,,,,
320000,江苏省,2019,2016.3137,15.0888,720650,744209,1614205
320000,江苏省,2018,1777.4968,14.7949,809486,669365,1637764
320000,江苏省,2017,1690.1863,14.3251,853097,588743,1369258
320000,江苏省,2016,1633.925,15.0757,781322,552360,1104904
320000,江苏省,2015,1594.1403,14.6632,790602,610777,875942
320000,江苏省,2014,1540.1054,14.2759,733480,610828,696118
320000,江苏省,2013,1487.2723,13.5683,570025,481180,573466
320000,江苏省,2012,1420.743,12.2904,437060,386654,484620
320000,江苏省,2011,1326.993,10.6674,320774,239744,434214
320000,江苏省,2010,1205.5,9.8,187000,139000,353000
320000,江苏省,2009,1118.0978,9.3242,157415,119180,304958
320000,江苏省,2008,1056.6233,8.4114,161167,98467,266723
320000,江苏省,2007,920.9766,6.5506,121229,70517,203793
320000,江苏省,2006,812.6946,5.6263,90509,54074,149601
320000,江苏省,2005,,,,,
320000,江苏省,2004,,,,,
320000,江苏省,2003,,,,,
320000,江苏省,2002,,,,,
320000,江苏省,2001,,,,,
320000,江苏省,2000,,,,,
330000,浙江省,2019,2257.442,22.1754,592895,629480,1006364
330000,浙江省,2018,2087.8449,21.5781,664394,557704,1042949
330000,浙江省,2017,1977.1746,19.4221,582314,510087,936259
330000,浙江省,2016,1880.7197,18.6815,527994,451154,864031
330000,浙江省,2015,1930.1168,20.4431,568057,431241,787191
330000,浙江省,2014,1899.4095,22.62,482608,404178,650376
330000,浙江省,2013,1826.0585,22.6099,419256,346277,571946
330000,浙江省,2012,1731.6762,23.8335,372783,303403,498966
330000,浙江省,2011,1610.7626,22.2264,278762,224980,429586
330000,浙江省,2010,1475.1,20.2,220000,141000,376000
330000,浙江省,2009,1331.085,18.007,170934,106916,296829
330000,浙江省,2008,1261.8398,16.8817,141208,87150,232810
330000,浙江省,2007,1002.903,11.1722,99881,54075,178752
330000,浙江省,2006,603.9377,7.4232,66860,38582,132946
330000,浙江省,2005,,,,,
330000,浙江省,2004,,,,,
330000,浙江省,2003,,,,,
330000,浙江省,2002,,,,,
330000,浙江省,2001,,,,,
330000,浙江省,2000,,,,,
340000,安徽省,2019,639.0581,6.9721,176674,227957,469794
340000,安徽省,2018,603.5228,11.339,240437,205923,521078
340000,安徽省,2017,565.5081,10.5496,244742,175864,486563
340000,安徽省,2016,544.5933,8.7434,206878,164092,417686
340000,安徽省,2015,528.8777,8.3495,216014,162048,374900
340000,安徽省,2014,508.3382,8.293,200120,149667,320938
340000,安徽省,2013,473.2232,8.1034,190532,126429,270486
340000,安徽省,2012,457.9314,8.757,143057,109450,206383
340000,安徽省,2011,422.019,5.6164,121395,58686,172776
340000,安徽省,2010,351.1,4.4,60000,36000,110000
340000,安徽省,2009,320.5659,3.8638,48313,30261,85923
340000,安徽省,2008,292.897,2.8679,44813,20525,67857
340000,安徽省,2007,248.6942,2.1609,30630,15496,43568
340000,安徽省,2006,200.1773,2.0247,21814,11040,27603
340000,安徽省,2005,,,,,
340000,安徽省,2004,,,,,
340000,安徽省,2003,,,,,
340000,安徽省,2002,,,,,
340000,安徽省,2001,,,,,
340000,安徽省,2000,,,,,
350000,福建省,2019,891.1487,4.7919,198099,208836,628451
350000,福建省,2018,853.9393,4.6744,202313,186038,639238
350000,福建省,2017,798.723,4.33,200214,158614,622963
350000,福建省,2016,733.7687,4.1674,176257,135404,581363
350000,福建省,2015,691.0348,3.8895,193893,130128,540509
350000,福建省,2014,627.3276,3.9047,221114,145476,476744
350000,福建省,2013,607.5445,3.4709,158073,83352,401106
350000,福建省,2012,540.9188,3.3646,118116,69679,326385
350000,福建省,2011,496.9357,2.7704,98517,44316,277947
350000,福建省,2010,417.7,2.4,59000,29000,224000
350000,福建省,2009,379.2843,2.2624,50277,25063,193316
350000,福建省,2008,346.1131,2.1579,51370,18834,168102
350000,福建省,2007,294.781,1.8849,43309,15717,135566
350000,福建省,2006,260.9889,1.5212,32602,11843,10273
350000,福建省,2005,,,,,
350000,福建省,2004,,,18200,7300,66900
350000,福建省,2003,,,,,
350000,福建省,2002,,,,,
350000,福建省,2001,,,,,
350000,福建省,2000,,,,,
360000,江西省,2019,539.4286,4.1616,189906,161431,547519
360000,江西省,2018,534.6174,5.2361,245891,156997,519044
360000,江西省,2017,517.0899,5.1279,198444,139287,430152
