省份编码,省份,年份,火灾发生数(起),火灾死亡人数(人),火灾受伤人数(人),火灾直接经济损失(万元),人口火灾发生率(1/10万人)
110000,北京市,2019,,,,,
110000,北京市,2018,,,,,
110000,北京市,2017,,,,,
110000,北京市,2016,,,,,
110000,北京市,2015,,,,,
110000,北京市,2014,,,,,
110000,北京市,2013,,,,,
110000,北京市,2012,3409,30,6,2967.9,26.2216528856202
110000,北京市,2011,4044,30,41,5035.0,31.57
110000,北京市,2010,5468,32,13,4361.0,43.34
110000,北京市,2009,5615,33,50,15926.1,45.01
110000,北京市,2008,6018,28,10,841.2181,48.8363034375304
110000,北京市,2007,8450,28,40,913.575,70.4187557564208
110000,北京市,2006,11906,33,79,1088.8,100.545348308223
110000,北京市,2005,9781,50,114,1671.0,83.758706418241
110000,北京市,2004,9302,59,127,3525.9,80.6
110000,北京市,2003,7548,42,112,2149.6,66.0465570475824
110000,北京市,2002,9784,67,93,3247.8,85.6
110000,北京市,2001,,,,,
110000,北京市,2000,6875,41,106,2355.4206,62.1497971927818
120000,天津市,2019,,,,,
120000,天津市,2018,,,,,
120000,天津市,2017,,,,,
120000,天津市,2016,,,,,
120000,天津市,2015,,,,,
120000,天津市,2014,,,,,
120000,天津市,2013,,,,,
120000,天津市,2012,2123,41,22,4742.7,21.3072301865341
120000,天津市,2011,842,17,10,842.4,8.42
120000,天津市,2010,1148,23,3,624.7,11.6
120000,天津市,2009,1328,15,13,940.8,13.49
120000,天津市,2008,1483,25,14,291.8381,15.2215875161223
120000,天津市,2007,1898,25,19,1344.3079,19.9311273488776
120000,天津市,2006,4200,21,19,480.5,44.5389471353451
120000,天津市,2005,4728,40,30,2040.5,50.3797179439065
120000,天津市,2004,4659,34,27,1766.0,50.0
120000,天津市,2003,5261,30,23,1843.0,56.7537808255501
120000,天津市,2002,8000,27,26,1650.1,86.3
120000,天津市,2001,,,,,
120000,天津市,2000,7519,43,46,1683.6851,82.0702350500701
130000,河北省,2019,,,,,
130000,河北省,2018,,,,,
130000,河北省,2017,,,,,
130000,河北省,2016,,,,,
130000,河北省,2015,,,,,
130000,河北省,2014,,,,,
130000,河北省,2013,,,,,
130000,河北省,2012,5012,16,13,9113.6,6.75784826929038
130000,河北省,2011,4557,16,27,6731.5,6.2
130000,河北省,2010,4757,29,14,5692.6,6.52
130000,河北省,2009,3052,34,16,4105.5,4.23
130000,河北省,2008,2529,45,12,3859.2608,3.54308117014031
130000,河北省,2007,4750,57,19,3141.7167,6.84524888208079
130000,河北省,2006,6770,57,51,2143.6,9.86210547735948
130000,河北省,2005,7041,92,65,4605.1,10.3210147822261
130000,河北省,2004,7690,74,68,4106.3,11.3
130000,河北省,2003,7746,81,123,4457.7,11.4896571948193
130000,河北省,2002,9972,83,95,5457.3,14.8
130000,河北省,2001,,,,,
130000,河北省,2000,7627,102,177,5174.5563,11.5522835344486
140000,山西省,2019,,,,,
140000,山西省,2018,,,,,
140000,山西省,2017,,,,,
140000,山西省,2016,,,,,
140000,山西省,2015,,,,,
140000,山西省,2014,,,,,
140000,山西省,2013,,,,,
140000,山西省,2012,3897,12,3,6105.9,11.1322933518413
140000,山西省,2011,4679,14,9,4643.5,13.37
140000,山西省,2010,4439,26,14,6331.7,12.78
140000,山西省,2009,4777,7,14,3608.8,13.79
