省份编码,省份,年份,城乡居民社会养老保险参保人数(万人),城乡居民社会养老保险实际领取待遇人数(万人),城乡居民社会养老保险基金收入(亿元),城乡居民社会养老保险基金支出(亿元),城乡居民社会养老保险累计结余(亿元)
110000,北京市,2019,204.7447,90.7985,68.1198,58.477,165.4625
110000,北京市,2018,208.9932,88.8788,55.8551,47.2959,155.82
110000,北京市,2017,213.1186,86.6459,45.8873,37.6391,147.2608
110000,北京市,2016,215.7293,85.3797,41.7085,30.2309,139.0126
110000,北京市,2015,187.6275,39.4571,37.2881,26.5362,127.5349
110000,北京市,2014,186.2507,35.1076,36.6563,21.2919,116.7831
110000,北京市,2013,180.0521,31.6272,29.8862,17.1356,101.4187
110000,北京市,2012,176.7808,27.1217,26.846502,13.553173000000001,88.668453
110000,北京市,2011,,,,,
110000,北京市,2010,,,,,
110000,北京市,2009,,,,,
110000,北京市,2008,,,,,
110000,北京市,2007,,,,,
110000,北京市,2006,,,,,
110000,北京市,2005,,,,,
110000,北京市,2004,,,,,
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,164.4912,82.2443,60.6562,45.3147,279.3554
120000,天津市,2018,161.152,81.7679,60.9755,41.2805,264.0139
120000,天津市,2017,156.4856,79.4917,78.4543,36.1668,244.3188
120000,天津市,2016,134.4667,77.4819,72.4737,30.7173,202.0313
120000,天津市,2015,121.1016,74.9307,46.4887,26.9204,147.2575
120000,天津市,2014,106.1098,71.297,41.6298,20.3375,127.6892
120000,天津市,2013,95.5069,70.9719,50.0173,16.6921,106.3969
120000,天津市,2012,89.3073,69.7985,31.119863,13.997759,73.071804
120000,天津市,2011,,,,,
120000,天津市,2010,,,,,
120000,天津市,2009,,,,,
120000,天津市,2008,,,,,
120000,天津市,2007,,,,,
120000,天津市,2006,,,,,
120000,天津市,2005,,,,,
120000,天津市,2004,,,,,
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,3524.0956,1052.1465,222.645,153.3195,408.7261
130000,河北省,2018,3511.6178,1024.0668,194.7587,146.4821,339.4005
130000,河北省,2017,3474.1354,996.4957,162.671,120.7029,291.1241
130000,河北省,2016,3445.9533,969.4302,141.5577,103.5728,249.156
130000,河北省,2015,3440.3236,927.3255,140.3406,98.4633,211.1709
130000,河北省,2014,3404.3755,885.3239,100.4181,64.3682,169.2935
