省份编码,省份,年份,新型农村社会养老保险试点参保人数(万人),新型农村社会养老保险试点达到领取待遇年龄参保人数(万人),新型农村社会养老保险试点基金收入(亿元),新型农村社会养老保险试点基金支出(亿元),新型农村社会养老保险试点基金累计结余(亿元)
110000,北京市,2019,,,,,
110000,北京市,2018,,,,,
110000,北京市,2017,,,,,
110000,北京市,2016,,,,,
110000,北京市,2015,,,,,
110000,北京市,2014,,,,,
110000,北京市,2013,,,,,
110000,北京市,2012,,,,,
110000,北京市,2011,173.4187,22.0601,22.53491,10.165368,75.357958
110000,北京市,2010,168.509,17.7478,21.201923,7.138503,57.216578
110000,北京市,2009,,,,,
110000,北京市,2008,,,,,
110000,北京市,2007,,,,,
110000,北京市,2006,,,,,
110000,北京市,2005,,,,,
110000,北京市,2004,,,,,
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,,,,,
120000,天津市,2018,,,,,
120000,天津市,2017,,,,,
120000,天津市,2016,,,,,
120000,天津市,2015,,,,,
120000,天津市,2014,,,,,
120000,天津市,2013,,,,,
120000,天津市,2012,,,,,
120000,天津市,2011,84.9576,67.0336,30.97651736,11.42738568,55.9662
120000,天津市,2010,79.3976,65.6225,28.48195769,9.73626278,36.41700446
120000,天津市,2009,,,,,
120000,天津市,2008,,,,,
120000,天津市,2007,,,,,
120000,天津市,2006,,,,,
120000,天津市,2005,,,,,
120000,天津市,2004,,,,,
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,,,,,
130000,河北省,2018,,,,,
130000,河北省,2017,,,,,
130000,河北省,2016,,,,,
130000,河北省,2015,,,,,
130000,河北省,2014,,,,,
130000,河北省,2013,,,,,
130000,河北省,2012,,,,,
130000,河北省,2011,2317.7023,511.2975,52.5251661837,25.6413585031,47.818363
130000,河北省,2010,840.3065,179.465,24.84644543,9.86368081,20.88717687
130000,河北省,2009,,,,,
130000,河北省,2008,,,,,
130000,河北省,2007,,,,,
130000,河北省,2006,,,,,
130000,河北省,2005,,,,,
130000,河北省,2004,,,,,
130000,河北省,2003,,,,,
130000,河北省,2002,,,,,
130000,河北省,2001,,,,,
130000,河北省,2000,,,,,
140000,山西省,2019,,,,,
140000,山西省,2018,,,,,
140000,山西省,2017,,,,,
140000,山西省,2016,,,,,
140000,山西省,2015,,,,,
140000,山西省,2014,,,,,
140000,山西省,2013,,,,,
140000,山西省,2012,,,,,
140000,山西省,2011,949.4813,214.3537,23.06395485,9.98976269,27.17143175
140000,山西省,2010,249.7578,68.8423,5.74359968,3.39192522,7.95653686
140000,山西省,2009,,,,,
140000,山西省,2008,,,,,
140000,山西省,2007,,,,,
140000,山西省,2006,,,,,
140000,山西省,2005,,,,,
140000,山西省,2004,,,,,
140000,山西省,2003,,,,,
140000,山西省,2002,,,,,
140000,山西省,2001,,,,,
140000,山西省,2000,,,,,
150000,内蒙古自治区,2019,,,,,
150000,内蒙古自治区,2018,,,,,
150000,内蒙古自治区,2017,,,,,
150000,内蒙古自治区,2016,,,,,
150000,内蒙古自治区,2015,,,,,
150000,内蒙古自治区,2014,,,,,
150000,内蒙古自治区,2013,,,,,
150000,内蒙古自治区,2012,,,,,
