年份,年末总人口,0-14岁人口,15-64岁人口,65岁及以上人口,总抚养比,少儿抚养比,老年抚养比
2019,140005,23492,98910,17603,41.5,23.8,17.8
2018,139538,23523,99357,16658,40.4410358605836,23.6752317400888,16.7658041204948
2017,139008,23348,99829,15831,39.2461108495527,23.3879934688317,15.858117380721
2016,138271,23008,100260,15003,37.9,22.9,15.0
2015,137462,22715,100361,14386,36.9675471547713,22.6332938093483,14.334253345423
2014,136782,22558,100469,13755,36.2,22.45269685,13.69079019
2013,136072,22329,100582,13161,35.2846433755543,22.19979718041,13.0848461951443
2012,135404,22287,100403,12714,34.8605121360916,22.1975438980907,12.6629682380009
2011,134735,22164,100283,12288,34.3547759839654,22.101452888326,12.2533230956393
2010,134091,22259,99938,11894,34.2,22.3,11.9
2009,133450,24659,97484,11307,36.8942595708014,25.2954330967133,11.5988264740881
2008,132802,25166,96680,10956,37.3624327678941,26.0302027306578,11.3322300372362
2007,132129,25660,95833,10636,37.8742186929346,26.7757453069402,11.0984733859944
2006,131448,25961,95068,10419,38.2673454790255,27.3078217696807,10.9595237093449
2005,130756,26504,94197,10055,38.8112147945264,28.1367771797403,10.674437614786
2004,129988,27947,92184,9857,41.0092857762735,30.3165408313807,10.6927449448928
2003,129227,28559,90976,9692,42.0451547660922,31.3917956384101,10.653359127682
2002,128453,28774,90302,9377,42.2482337046798,31.864189054506,10.3840446501739
2001,127627,28716.075,89849.408,9062,42.0459921116008,31.9602272727273,10.0857648388735
2000,126743,29012,88910,8821,42.55966123,32.63658171,9.923079522
