年份,人口普查总人口,人口普查男性人口数,人口普查女性人口数,人口普查性别比,人口普查城镇人口数,人口普查乡村人口数,人口普查家庭户规模,人口普查0-14岁人口占总人口比重,人口普查15-64岁人口占总人口比重,人口普查65岁及以上人口占总人口比重,人口普查汉族人口数,人口普查汉族占总人口比重,人口普查少数民族人口数,人口普查少数民族占总人口比重,人口普查每十万人口中受大专及以上教育人口数,人口普查每十万人口中受高中和中专教育人口数,人口普查每十万人口中受初中教育人口数,人口普查每十万人口中受小学教育人口数,人口普查文盲人口数,人口普查文盲率,人口普查城镇化率,人口普查平均预期寿命,人口普查男性平均预期寿命,人口普查女性平均预期寿命
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,133972.0,68685.0,65287.0,105.2,66557.0,67415.0,3.1,16.6,74.53,8.87,122593.0,91.51,11379.0,8.49,8930.0,14032.0,38788.0,26779.0,5466.0,4.08,49.68,74.83,72.38,77.37
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,126583.0,65355.0,61228.0,106.74,45844.0,80739.0,3.44,22.89,70.15,6.95999999999999,115940.0,91.59,10643.0,8.41,3611.0,11146.0,33961.0,35701.0,8507.0,6.72049169319735,36.22,71.4,69.63,73.33
