省份编码,省份,年份,房地产开发企业住宅竣工套数(套),房地产开发企业别墅、高档公寓竣工套数(套),房地产开发企业住宅销售套数(套),房地产开发企业别墅、高档公寓销售套数(套)
110000,北京市,2019,62367,1481,75557,2103
110000,北京市,2018,79744,1214,49412,2110
110000,北京市,2017,62796,1183,57950,2763
110000,北京市,2016,135606,2530,92387,4859
110000,北京市,2015,137357,2547,113181,2536
110000,北京市,2014,200971,1550,125951,1826
110000,北京市,2013,177942,4639,137029,4655
110000,北京市,2012,156606,5769,147153,5277
110000,北京市,2011,133039,4533,102908,4168
110000,北京市,2010,152244,9328,112952,8109
110000,北京市,2009,140934,10383,165000,19206
110000,北京市,2008,116664,12026,94200,9307
110000,北京市,2007,157692,11529,139465,15324
110000,北京市,2006,176488,9891,184767,14060
110000,北京市,2005,229293,18295,239019,13921
110000,北京市,2004,,,,
110000,北京市,2003,193270,7497,,
110000,北京市,2002,170561,9003,,
110000,北京市,2001,,,,
110000,北京市,2000,,,,
120000,天津市,2019,131137,5142,129196,4749
120000,天津市,2018,177624,3439,107316,5912
120000,天津市,2017,149400,3340,125150,5536
120000,天津市,2016,219734,5416,242287,10005
120000,天津市,2015,251813,5114,167083,4420
120000,天津市,2014,219038,10379,156473,3687
120000,天津市,2013,288327,4747,177133,3153
120000,天津市,2012,183572,5334,153686,4030
120000,天津市,2011,177568,8490,138500,5193
120000,天津市,2010,172604,8679,136240,10396
120000,天津市,2009,158315,4364,146994,5748
120000,天津市,2008,139831,4387,119369,2759
120000,天津市,2007,115080,4066,130617,3397
120000,天津市,2006,108089,4167,116830,3929
120000,天津市,2005,92943,5815,108901,6453
120000,天津市,2004,,,,
120000,天津市,2003,78954,3914,,
120000,天津市,2002,69230,3735,,
120000,天津市,2001,,,,
120000,天津市,2000,,,,
130000,河北省,2019,186404,1303,436573,2522
130000,河北省,2018,187153,912,449855,2169
130000,河北省,2017,259478,3524,513767,6017
130000,河北省,2016,319948,3192,565634,4012
130000,河北省,2015,311110,2377,501954,3050
130000,河北省,2014,303316,1622,489542,1913
130000,河北省,2013,331497,1972,493344,4076
130000,河北省,2012,381529,3602,444959,5566
130000,河北省,2011,418562,3105,509061,2947
130000,河北省,2010,306116,2501,425199,4899
130000,河北省,2009,182511,2913,277645,3525
130000,河北省,2008,138924,2605,209169,2361
130000,河北省,2007,108258,2146,182316,4806
130000,河北省,2006,109281,2105,152895,4516
130000,河北省,2005,80008,667,118891,1505
130000,河北省,2004,,,,
130000,河北省,2003,84787,946,,
130000,河北省,2002,57818,337,,
130000,河北省,2001,,,,
130000,河北省,2000,,,,
140000,山西省,2019,173581,865,182563,2545
140000,山西省,2018,101379,193,191333,4830
140000,山西省,2017,129811,383,196486,2602
140000,山西省,2016,178002,654,166423,1307
140000,山西省,2015,140003,258,130673,1522
140000,山西省,2014,148916,616,123440,591
140000,山西省,2013,181251,456,129403,962
140000,山西省,2012,131677,522,122431,215
140000,山西省,2011,240524,253,103243,80
140000,山西省,2010,92453,254,91799,81
140000,山西省,2009,67771,123,85957,247
140000,山西省,2008,65874,953,78948,820
140000,山西省,2007,60594,400,76159,693
140000,山西省,2006,51137,300,65715,448
140000,山西省,2005,41739,363,52186,226
140000,山西省,2004,,,,
140000,山西省,2003,34321,35,,
140000,山西省,2002,34036,105,,
140000,山西省,2001,,,,
140000,山西省,2000,,,,
150000,内蒙古自治区,2019,62638,289,153962,2516
150000,内蒙古自治区,2018,100722,2629,157230,1473
150000,内蒙古自治区,2017,126256,749,158195,1921
150000,内蒙古自治区,2016,106592,3301,195175,2095
150000,内蒙古自治区,2015,138048,862,185031,789
