省份编码,省份,年份,500万元以下固定资产投资(不含农户)(亿元),500万元-1亿元固定资产投资(不含农户)(亿元),1-5亿元固定资产投资(不含农户)(亿元),5-10亿元固定资产投资(不含农户)(亿元),10亿元以上固定资产投资(不含农户)(亿元)
110000,北京市,2019,,,,,
110000,北京市,2018,,,,,
110000,北京市,2017,,353.0257,747.5972,498.612,3015.5584
110000,北京市,2016,,342.7237,730.1772,534.0964,2281.1179
110000,北京市,2015,,470.4674,660.8475,654.2444,1483.4124
110000,北京市,2014,,371.419,691.5362,586.2073,1508.9442
110000,北京市,2013,,456.3091,762.2776,630.8682,1464.6779
110000,北京市,2012,,282.8556,664.9251,430.3385,1533.298
110000,北京市,2011,,477.5959,546.9667,290.8927,1168.0732
110000,北京市,2010,10.7,239.8,436.8,246.0,1082.2
110000,北京市,2009,10.0774,246.2107,404.0584,205.5407,946.029
110000,北京市,2008,10.3354,218.1696,317.6855,220.8113,845.2065
110000,北京市,2007,8.1119,182.273,373.4646,188.8341,848.7854
110000,北京市,2006,5.051,181.2918,352.9679,211.9402,541.3319
110000,北京市,2005,3.2436,130.13,288.3577,167.2648,481.4037
110000,北京市,2004,3.4891,144.7511,277.6131,98.5063,335.3591
110000,北京市,2003,3.6534,,660.7783,360.9991,773.2362
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,,,,,
120000,天津市,2018,,,,,
120000,天津市,2017,,5961.2555,816.8158,497.965,1765.2649
120000,天津市,2016,,6058.7497,1301.1691,883.0137,2213.4161
120000,天津市,2015,,5246.1348,1545.3117,1233.9449,1917.6334
120000,天津市,2014,,2916.3139,2721.4122,1113.8868,2039.1031
120000,天津市,2013,,2484.6809,2099.8444,1029.7609,2007.9095
120000,天津市,2012,,2113.3411,1547.4842,912.816,2079.6221
120000,天津市,2011,,1700.3647,1013.8224,553.6001,2692.647
120000,天津市,2010,0.2,922.7,707.4,598.5,2801.1
120000,天津市,2009,30.3418,817.9371,453.274,303.3486,2106.4828
120000,天津市,2008,19.7448,495.9428,424.8664,196.2115,1384.6471
120000,天津市,2007,11.0727,272.126,367.934,121.0696,914.6712
120000,天津市,2006,10.9763,225.3374,219.4509,100.9374,719.9622
120000,天津市,2005,10.0267,232.8033,233.3919,82.0987,478.1423
120000,天津市,2004,10.2543,164.3917,169.9855,91.3436,430.8759
120000,天津市,2003,9.0793,,270.2693,88.9746,367.2429
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,,,,,
130000,河北省,2018,,,,,
130000,河北省,2017,,6139.4615,8653.7828,5146.876,8248.2019
130000,河北省,2016,,7194.1053,7337.4119,4631.2478,7481.669
130000,河北省,2015,,7800.5806,5448.7413,3758.8467,7612.2987
130000,河北省,2014,,5845.9793,5479.4239,3395.8017,7366.2742
130000,河北省,2013,,5781.333,4497.1542,2716.1582,6189.7084
130000,河北省,2012,,5384.0815,3925.9844,2242.5676,4465.4748
130000,河北省,2011,,5007.4553,3194.0666,1518.4907,3005.6545
130000,河北省,2010,242.4,3618.8,2655.6,1396.2,2744.7
130000,河北省,2009,203.5068,4090.0802,1846.3235,968.3991,1848.1531
130000,河北省,2008,92.8304,3119.3414,1051.0424,525.6341,1590.4841
